,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.04716666666666688,-58.67533333333375,0.8267475714807944,0.0,43.0,1.981,0.022,34.668,36.649
01-02,0.016980000000000217,1.1319999999995645,0.8030629872569219,0.0,43.0,0.714,0.007,34.735,35.449
01-03,0.07861111111111106,-118.73422222222214,0.7317342195890972,0.0,43.0,3.302,0.037,36.837,40.139
01-04,0.12128571428571432,-209.74342857142864,0.6811872341207239,0.0,43.0,5.094,0.058,30.281,35.375
01-05,0.11320000000000002,-192.44000000000005,0.6673797886777946,0.0,43.0,4.754,0.05,31.583,36.337
01-06,0.17751818181818182,-322.7743636363636,0.2885046883951783,0.0,43.0,7.456,0.086,28.534,35.99
01-07,0.2672777777777778,-495.7845555555555,0.10034964667338708,0.0,43.0,11.226,0.132,33.158,44.384
01-08,0.33016666666666694,-615.0533333333339,0.07935007804780181,1.0,43.0,13.868,0.142,38.346,52.214
01-09,-0.20942000000000008,460.72400000000016,0.2751565965147127,-0.0,43.0,-8.796,-0.082,46.282,37.486
01-10,-0.36385714285714293,771.5792857142858,0.0033597103052405153,-3.0,43.0,-15.282,-0.154,51.506,36.224
01-11,0.20340625,-358.98550000000006,0.3133336673504432,0.0,43.0,8.544,0.088,43.555,52.099
01-12,0.26885000000000003,-498.92900000000003,0.01627155245054701,2.0,43.0,11.292,0.11,33.125,44.417
01-13,0.20067272727272725,-364.2724545454545,0.017109141838607123,2.0,43.0,8.428,0.081,32.859,41.287
01-14,0.07924000000000006,-122.82200000000013,0.24341415009144063,0.0,43.0,3.328,0.037,33.994,37.322
01-15,0.04655806451612905,-58.873129032258106,0.5277224131106721,0.0,43.0,1.956,0.027,33.265,35.221
01-16,-0.0347685714285714,101.5161428571428,0.6656061258512092,-0.0,43.0,-1.46,-0.022,32.709,31.249
01-17,-0.22866399999999998,492.41999999999996,0.0001204888325072595,-3.0,43.0,-9.604,-0.145,39.894,30.29
01-18,-0.286430303030303,605.405606060606,0.10400692770976683,-0.0,43.0,-12.03,-0.166,38.56,26.53
01-19,-0.41705263157894734,875.1402631578948,0.2949266547049727,-0.0,43.0,-17.516,-0.175,49.793,32.277
01-20,-1.6647058823529406,3382.615764705881,0.01121474533870237,-2.0,43.0,-69.918,-0.543,88.163,18.245
01-21,-1.5565000000000009,3171.8640000000014,0.003743948585789969,-3.0,43.0,-65.373,-0.425,91.55,26.177
01-22,-0.8452266666666667,1738.2803333333334,0.0047920648203678695,-3.0,43.0,-35.5,-0.216,65.577,30.077
01-23,-0.3396000000000008,729.8570000000016,0.1051469442169608,-0.0,43.0,-14.264,-0.097,57.789,43.525
01-24,-0.2932909090909091,641.4838181818183,0.19813000722386875,-0.0,43.0,-12.318,-0.102,61.061,48.743
01-25,-0.4447142857142857,938.6705714285714,0.185623930444486,-0.0,43.0,-18.678,-0.177,58.581,39.903
01-26,-0.3207333333333331,685.8976666666662,0.19726831122063304,-0.0,43.0,-13.47,-0.113,51.166,37.696
01-27,-0.38407142857142773,828.7048571428554,0.15180902747471348,-0.0,43.0,-16.131,-0.116,68.627,52.496
01-28,-0.40406111111111126,866.1372222222225,0.16148617418954458,-0.0,43.0,-16.97,-0.114,66.5,49.53
01-29,-0.2503461538461539,552.1983076923077,0.3755367572493624,-0.0,43.0,-10.514,-0.064,56.763,46.249
01-30,-0.44889655172413795,950.7141034482759,0.21493454604705287,-0.0,43.0,-18.854,-0.126,62.348,43.494
01-31,-0.5188333333333333,1092.8516666666665,0.22902184573897189,-0.0,43.0,-21.792,-0.19,66.081,44.289
02-01,-0.735799999999999,1533.010999999998,0.019022884933184825,-2.0,43.0,-30.904,-0.305,76.863,45.959
02-02,-1.1171052631578948,2293.0745263157896,3.4616361663797335e-06,-3.0,43.0,-46.918,-0.427,82.323,35.405
02-03,-0.9621999999999999,1978.7359999999999,0.00012794298559759554,-3.0,43.0,-40.412,-0.351,74.542,34.13
02-04,-1.157727272727273,2372.6205454545457,7.852273786745911e-07,-3.0,43.0,-48.624,-0.438,81.478,32.854
02-05,-1.098705882352941,2253.445764705882,7.024048431780727e-07,-3.0,43.0,-46.146,-0.377,79.107,32.961
02-06,-1.2984040000000001,2666.7090000000003,4.2549217542653395e-06,-3.0,43.0,-54.532,-0.374,97.167,42.635
02-07,-1.3206666666666669,2701.8953333333334,0.00015773242594852022,-3.0,43.0,-55.468,-0.365,88.296,32.828
02-08,-0.7924,1641.3999999999999,0.0016589048139006302,-3.0,43.0,-33.28,-0.256,73.24,39.96
02-09,-0.6524722222222221,1356.4504444444442,0.00023823282185242434,-3.0,43.0,-27.404,-0.288,65.208,37.804
02-10,-1.3745714285714281,2797.8188571428564,4.891377597848745e-06,-3.0,43.0,-57.732,-0.714,77.542,19.81
02-11,-1.4150000000000003,2888.581,0.0003201050001415684,-3.0,43.0,-59.43,-0.612,88.296,28.866
02-12,-1.012842105263158,2095.019210526316,0.0003407836420648014,-3.0,43.0,-42.54,-0.321,90.605,48.065
02-13,-0.5182437499999999,1103.5584999999996,0.26120366808929596,-0.0,43.0,-21.766,-0.136,77.954,56.188
02-14,-0.26278571428571446,581.6054285714289,0.513649326700965,-0.0,43.0,-11.038,-0.075,61.553,50.515
02-15,-0.21224999999999952,491.00499999999903,0.27661947611550675,-0.0,43.0,-8.914,-0.071,70.962,62.048
02-16,-0.42450000000000027,910.4110000000005,0.13817378588344642,-0.0,43.0,-17.83,-0.143,70.326,52.496
02-17,-0.5348700000000001,1128.604,0.1483801313923503,-0.0,43.0,-22.464,-0.166,70.096,47.632
