,mean,slp,chg,pvalue
01-01,2.399,-0.004,-0.172,0.726
01-02,2.505,0.01,0.42,0.39
01-03,2.265,0.03,1.26,0.256
01-04,2.198,0.012,0.502,0.665
01-05,2.093,-0.004,-0.188,0.844
01-06,2.302,-0.009,-0.366,0.503
01-07,2.294,-0.007,-0.297,0.562
01-08,2.232,-0.001,-0.059,0.967
01-09,3.088,0.012,0.489,0.341
01-10,2.74,0.007,0.297,0.647
01-11,2.951,0.004,0.174,0.816
01-12,2.96,0.04,1.687,0.232
01-13,3.838,0.022,0.926,0.305
01-14,3.017,0.031,1.312,0.143
01-15,2.778,0.012,0.489,0.393
01-16,2.412,0.004,0.187,0.701
01-17,3.262,0.042,1.757,0.004
01-18,3.616,0.004,0.149,0.805
01-19,3.022,-0.025,-1.069,0.416
01-20,2.798,-0.041,-1.74,0.323
01-21,2.812,-0.038,-1.601,0.34
01-22,2.851,-0.043,-1.796,0.149
01-23,5.316,0.008,0.331,0.86
01-24,4.396,-0.013,-0.538,0.78
01-25,4.581,0.007,0.293,0.818
01-26,4.499,0.003,0.112,0.934
01-27,4.374,-0.024,-1.012,0.398
01-28,3.646,-0.043,-1.803,0.285
01-29,3.43,-0.06,-2.524,0.081
01-30,3.102,-0.076,-3.174,0.008
01-31,3.217,-0.092,-3.86,0.0
02-01,3.016,-0.093,-3.911,0.003
02-02,2.844,-0.047,-1.986,0.036
02-03,3.158,-0.024,-1.025,0.134
02-04,2.862,-0.015,-0.64,0.308
02-05,2.887,-0.019,-0.782,0.145
02-06,2.768,-0.041,-1.727,0.01
02-07,2.686,-0.04,-1.669,0.084
02-08,2.71,-0.04,-1.688,0.053
02-09,2.532,-0.062,-2.613,0.002
02-10,3.502,-0.042,-1.768,0.239
02-11,3.448,-0.038,-1.589,0.029
02-12,3.754,-0.034,-1.417,0.086
02-13,4.98,0.0,0.011,1.0
02-14,4.316,0.0,0.02,0.956
02-15,3.482,-0.038,-1.599,0.137
02-16,4.079,-0.027,-1.148,0.23
02-17,4.004,-0.031,-1.299,0.008
02-18,3.632,-0.042,-1.777,0.018
02-19,3.884,-0.024,-1.002,0.097
02-20,3.334,-0.02,-0.859,0.314
02-21,3.818,-0.021,-0.89,0.361
02-22,4.393,0.006,0.233,0.967
02-23,5.092,-0.029,-1.208,0.083
02-24,4.801,-0.043,-1.788,0.405
02-25,4.084,-0.024,-1.023,0.656
02-26,4.394,-0.04,-1.683,0.1
02-27,4.144,-0.047,-1.963,0.006
02-28,3.598,-0.045,-1.871,0.008
03-01,3.899,-0.044,-1.844,0.072
03-02,4.694,-0.067,-2.828,0.009
03-03,4.139,-0.09,-3.798,0.003
03-04,5.31,-0.079,-3.339,0.009
03-05,4.51,-0.147,-6.183,0.008
03-06,3.684,-0.09,-3.791,0.026
03-07,3.314,-0.071,-2.962,0.044
03-08,3.008,-0.041,-1.717,0.084
03-09,3.189,-0.014,-0.596,0.616
03-10,2.992,-0.005,-0.222,0.829
03-11,2.82,-0.007,-0.274,0.783
03-12,2.724,-0.004,-0.164,0.854
03-13,2.675,0.0,0.0,1.0
03-14,2.626,0.001,0.028,0.944
03-15,2.945,0.004,0.15,0.931
03-16,3.054,-0.001,-0.028,0.955
03-17,2.572,-0.023,-0.947,0.284
03-18,3.052,-0.012,-0.516,0.4
03-19,3.04,-0.003,-0.135,0.846
03-20,3.2,-0.027,-1.132,0.137
03-21,2.867,-0.032,-1.35,0.132
03-22,2.634,-0.027,-1.14,0.277
03-23,2.526,-0.032,-1.347,0.056
03-24,2.506,-0.023,-0.956,0.137
03-25,2.483,0.002,0.092,0.937
03-26,2.478,0.002,0.084,0.803
03-27,2.818,-0.024,-1.015,0.043
03-28,3.148,-0.024,-1.019,0.126
03-29,3.173,-0.024,-1.022,0.154
03-30,3.248,-0.014,-0.606,0.449
03-31,2.89,-0.037,-1.553,0.013
04-01,3.461,-0.023,-0.96,0.2
04-02,3.051,-0.023,-0.96,0.075
04-03,2.728,-0.031,-1.31,0.07
04-04,2.634,-0.017,-0.73,0.322
04-05,2.804,-0.008,-0.318,0.701
04-06,3.125,-0.01,-0.418,0.592
04-07,2.954,-0.001,-0.028,1.0
04-08,2.872,0.008,0.351,0.588
04-09,2.6,0.003,0.119,0.806
04-10,2.324,0.003,0.114,0.811
04-11,2.314,0.016,0.668,0.098
04-12,2.562,0.005,0.196,0.687
04-13,2.371,0.014,0.574,0.114
04-14,2.316,0.008,0.317,0.546
04-15,3.03,0.02,0.825,0.093
04-16,2.746,0.014,0.605,0.421
04-17,2.246,0.001,0.028,0.964
04-18,1.978,0.008,0.349,0.27
04-19,1.901,0.021,0.874,0.01
04-20,1.914,0.012,0.517,0.175
04-21,1.862,0.008,0.324,0.579
04-22,1.615,0.0,0.0,0.986
04-23,1.76,-0.003,-0.142,0.937
04-24,1.898,-0.005,-0.206,0.804
04-25,2.319,-0.007,-0.308,0.49
04-26,2.11,0.004,0.153,0.88
04-27,2.192,-0.012,-0.506,0.581
04-28,1.751,-0.01,-0.401,0.305
04-29,1.756,0.004,0.173,0.719
04-30,1.626,0.014,0.584,0.613
05-01,1.428,0.009,0.374,0.647
05-02,1.73,-0.01,-0.412,0.509
05-03,1.682,-0.002,-0.079,0.81
05-04,1.38,0.004,0.157,0.751
05-05,1.595,-0.013,-0.566,0.241
05-06,1.564,-0.011,-0.444,0.098
05-07,1.494,-0.007,-0.315,0.213
05-08,1.385,-0.014,-0.568,0.259
05-09,1.241,-0.012,-0.522,0.284
05-10,1.244,-0.01,-0.435,0.511
05-11,1.362,0.002,0.066,0.917
05-12,1.236,0.004,0.172,0.667
05-13,1.1,0.007,0.291,0.553
05-14,1.27,-0.003,-0.125,0.696
05-15,1.457,-0.019,-0.797,0.012
05-16,1.176,-0.033,-1.374,0.112
05-17,1.093,-0.021,-0.9,0.126
05-18,1.002,-0.012,-0.492,0.174
05-19,0.902,-0.013,-0.525,0.127
05-20,0.786,-0.016,-0.672,0.056
05-21,0.759,-0.014,-0.607,0.02
05-22,0.765,-0.013,-0.564,0.015
05-23,0.847,-0.012,-0.491,0.066
05-24,0.864,-0.007,-0.308,0.264
05-25,0.845,-0.007,-0.28,0.452
05-26,0.794,-0.008,-0.323,0.38
05-27,0.786,-0.006,-0.243,0.525
05-28,0.951,-0.003,-0.11,0.765
05-29,0.918,-0.002,-0.064,0.899
05-30,0.982,-0.006,-0.237,0.589
05-31,1.066,-0.009,-0.387,0.34
