,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.04244999999999999,-80.48519999999998,0.0002628714102346219,3.0,43.0,1.783,0.332,3.523,5.306
01-02,0.021224999999999994,-38.06349999999998,0.07587613228545798,1.0,43.0,0.891,0.162,3.941,4.832
01-03,0.022147826086956535,-39.711052173913075,0.09834718582173574,1.0,43.0,0.931,0.17,4.119,5.05
01-04,0.023946153846153822,-43.36430769230764,0.08068856314312156,1.0,43.0,1.006,0.18,4.025,5.031
01-05,0.026203703703703705,-47.59640740740741,0.15212315947253785,0.0,43.0,1.1,0.187,4.261,5.361
01-06,0.020680769230769218,-36.80523846153844,0.14922741753464952,0.0,43.0,0.869,0.155,4.122,4.991
01-07,0.017923333333333336,-30.979066666666668,0.2606112290193956,0.0,43.0,0.753,0.14,4.491,5.244
01-08,0.014447894736842107,-24.367789473684216,0.5225777317069893,0.0,43.0,0.606,0.106,4.225,4.831
01-09,0.01444275862068965,-24.5273172413793,0.35541602374068404,0.0,43.0,0.606,0.107,4.055,4.661
01-10,0.017687499999999967,-31.158299999999937,0.35112671205527834,0.0,43.0,0.743,0.137,3.845,4.588
01-11,0.03135945945945947,-58.67201891891894,0.18539521277762194,0.0,43.0,1.317,0.252,3.388,4.705
01-12,0.029275862068965524,-54.278424137931054,0.004917927030769542,3.0,43.0,1.229,0.243,3.659,4.888
01-13,0.07751739130434783,-150.33698260869565,1.3504930507224344e-10,3.0,43.0,3.256,0.621,3.07,6.326
01-14,0.06313076923076923,-121.93163846153845,2.4929301334353227e-07,3.0,43.0,2.652,0.498,3.004,5.656
01-15,0.06966153846153847,-134.96487692307696,1.3503859164210041e-07,3.0,43.0,2.926,0.582,2.895,5.821
01-16,0.05306250000000001,-101.62530000000004,9.294962435291154e-07,3.0,43.0,2.229,0.445,3.385,5.614
01-17,0.03584666666666667,-67.75963333333334,0.0008510380258963668,3.0,43.0,1.505,0.303,3.181,4.686
01-18,0.03183750000000002,-59.85450000000004,0.008441554698464415,3.0,43.0,1.337,0.277,3.152,4.489
01-19,0.04447142857142857,-84.95255714285715,0.0026194034887081497,3.0,43.0,1.868,0.366,3.056,4.924
01-20,0.035374999999999934,-66.53329999999987,0.013889609305009154,2.0,43.0,1.486,0.283,3.474,4.96
01-21,0.025839130434782632,-47.34836086956526,0.07137078632921967,1.0,43.0,1.086,0.201,3.787,4.873
01-22,0.020898461538461532,-37.52362307692306,0.02986638719640311,2.0,43.0,0.878,0.161,3.834,4.712
01-23,0.026123076923076933,-48.08605384615386,0.03434749521877256,2.0,43.0,1.097,0.202,3.612,4.709
01-24,0.014150000000000018,-24.30970000000004,0.2836366684994087,0.0,43.0,0.594,0.111,3.693,4.287
01-25,0.011320000000000026,-18.62140000000005,0.5786935268845061,0.0,43.0,0.475,0.085,3.781,4.256
01-26,-0.005053571428571435,14.29554285714287,0.6003906222193396,-0.0,43.0,-0.213,-0.034,4.295,4.082
01-27,-0.004429565217391303,12.736230434782605,0.8117242929682376,-0.0,43.0,-0.186,-0.028,3.97,3.784
01-28,0.008085714285714283,-12.322628571428565,0.7547760901699436,0.0,43.0,0.34,0.054,3.679,4.019
01-29,0.011791666666666664,-19.81943333333333,0.43556716280099295,0.0,43.0,0.496,0.077,3.516,4.012
01-30,0.015436363636363632,-26.571127272727264,0.3684807985148637,0.0,43.0,0.649,0.102,3.977,4.626
01-31,0.01831176470588236,-32.803029411764726,0.17336547026160942,0.0,43.0,0.769,0.124,3.436,4.205
02-01,0.0074473684210526175,-10.989336842105233,0.5930669490955061,0.0,43.0,0.313,0.055,3.749,4.062
02-02,-0.005660000000000043,15.168800000000086,0.6512570184693285,-0.0,43.0,-0.238,-0.046,3.968,3.73
02-03,-0.021482272727272725,46.785045454545454,0.00700833774464793,-3.0,43.0,-0.903,-0.172,4.272,3.369
02-04,-0.014149999999999996,32.74309999999999,0.32551309500155234,-0.0,43.0,-0.594,-0.106,4.74,4.146
02-05,-0.005053571428571451,14.691742857142902,0.7893655978465757,-0.0,43.0,-0.213,-0.037,4.691,4.478
02-06,0.0018080555555555582,0.8552888888888837,0.8186313183327596,0.0,43.0,0.076,0.014,4.433,4.509
02-07,0.0018866666666667105,0.7263666666665785,0.7112375402900672,0.0,43.0,0.079,0.015,4.46,4.539
02-08,0.0004527999999999999,3.1130000000000004,0.9696562280878485,0.0,43.0,0.019,0.004,4.009,4.028
02-09,0.002176923076923093,-1.071046153846186,0.7932051550978736,0.0,43.0,0.092,0.019,3.237,3.329
02-10,0.007447368421052641,-11.159136842105283,0.5440784632298594,0.0,43.0,0.313,0.064,3.579,3.892
02-11,0.006603333333333324,-9.782366666666647,0.5106857630058779,0.0,43.0,0.277,0.06,3.286,3.563
02-12,-0.0020680769230769437,7.503853846153888,0.853816655044999,-0.0,43.0,-0.087,-0.019,3.411,3.324
02-13,-0.011319999999999997,26.318999999999996,0.3266060617452675,-0.0,43.0,-0.476,-0.103,3.917,3.441
02-14,-0.016171428571428566,36.13505714285713,0.2986590588001694,-0.0,43.0,-0.679,-0.144,4.132,3.453
02-15,-0.017384285714285713,38.56077142857142,0.15806390153492056,-0.0,43.0,-0.73,-0.155,4.157,3.427
02-16,-0.01463793103448273,33.152962068965465,0.16747866939660172,-0.0,43.0,-0.614,-0.119,4.184,3.57
02-17,0.0040428571428571414,-4.265214285714283,0.8123530195324156,0.0,43.0,0.169,0.031,3.736,3.905
02-18,-0.0070750000000000535,17.970500000000108,0.5179497985770951,-0.0,43.0,-0.297,-0.054,3.969,3.672
02-19,-0.005895833333333341,15.78196666666668,0.4382719484351716,-0.0,43.0,-0.248,-0.046,4.114,3.866
02-20,-0.0035375000000000267,11.291700000000054,0.7050039969025208,-0.0,43.0,-0.149,-0.027,4.291,4.142
02-21,-0.031444444444444435,66.96408888888887,0.0025702877862980866,-3.0,43.0,-1.321,-0.231,4.736,3.415
02-22,-0.03730454545454547,78.79749090909095,0.0012806484905698579,-3.0,43.0,-1.567,-0.271,4.972,3.405
02-23,-0.038912500000000017,81.95680000000004,5.361045112239893e-05,-3.0,43.0,-1.634,-0.274,4.949,3.315
02-24,-0.037733333333333355,79.73996666666672,0.0005415391614378429,-3.0,43.0,-1.585,-0.247,5.066,3.481
02-25,-0.03961999999999999,84.22079999999998,0.0007213750428287646,-3.0,43.0,-1.664,-0.244,5.813,4.149
02-26,-0.02337826086956522,51.454321739130435,0.06272603672755395,-1.0,43.0,-0.982,-0.14,5.189,4.207
02-27,-0.008085714285714283,20.840928571428563,0.7704366284581534,-0.0,43.0,-0.339,-0.045,4.839,4.5
02-28,0.02716800000000003,-49.32690000000006,0.09761834814537362,1.0,43.0,1.141,0.148,4.439,5.58
03-01,0.011652941176470599,-18.608082352941196,0.32518316335594566,0.0,43.0,0.49,0.072,4.453,4.943
03-02,0.004716666666666629,-5.018533333333257,0.5644418563568141,0.0,43.0,0.198,0.03,4.316,4.514
03-03,0.019914814814814816,-35.35822962962963,0.021220347725461775,2.0,43.0,0.837,0.128,4.053,4.89
03-04,0.017479411764705896,-30.487423529411792,0.05750232385649667,1.0,43.0,0.734,0.112,4.104,4.838
03-05,0.009905000000000008,-14.546200000000017,0.18914614699827625,0.0,43.0,0.416,0.062,5.056,5.472
03-06,0.00339599999999999,-1.3300999999999803,0.8243822285337272,0.0,43.0,0.142,0.019,5.391,5.533
03-07,-0.004468421052631589,13.493142105263178,0.646955455797227,-0.0,43.0,-0.188,-0.025,4.65,4.462
03-08,-0.010376666666666671,26.186933333333343,0.6568207946334281,-0.0,43.0,-0.436,-0.06,5.652,5.216
03-09,-0.020214285714285803,45.91877142857161,0.2168745815584745,-0.0,43.0,-0.849,-0.103,5.915,5.066
03-10,-0.028300000000000214,62.11850000000043,0.07835078838739395,-1.0,43.0,-1.189,-0.152,6.113,4.924
03-11,-0.03773333333333332,81.46626666666664,0.013847339792704805,-2.0,43.0,-1.585,-0.201,6.792,5.207
03-12,-0.06225999999999999,130.57619999999997,0.0014425973520726387,-3.0,43.0,-2.615,-0.295,7.364,4.749
03-13,-0.0589583333333333,123.9728666666666,0.007568261516784025,-3.0,43.0,-2.476,-0.266,7.294,4.818
03-14,-0.07075000000000031,148.32030000000063,0.004115188507474166,-3.0,43.0,-2.971,-0.296,8.306,5.335
03-15,-0.05929523809523812,124.98627619047625,0.009374907183349546,-3.0,43.0,-2.49,-0.245,7.641,5.151
03-16,-0.021224999999999977,48.47789999999995,0.22954726588526153,-0.0,43.0,-0.892,-0.099,6.474,5.582
03-17,-0.007718181818181796,21.379363636363593,0.659113442666631,-0.0,43.0,-0.324,-0.038,6.105,5.781
03-18,-0.03265384615384613,72.12799230769225,0.21622400450191792,-0.0,43.0,-1.371,-0.152,7.506,6.135
03-19,-0.02490400000000001,56.91130000000002,0.16051434959000854,-0.0,43.0,-1.046,-0.112,7.626,6.58
03-20,-0.03708275862068966,81.26881724137932,0.06946106610481606,-1.0,43.0,-1.557,-0.163,7.882,6.325
03-21,-0.05255714285714285,112.1043857142857,0.0024981761943512204,-3.0,43.0,-2.208,-0.236,8.094,5.886
03-22,-0.08843750000000002,183.69530000000003,1.9087720910526684e-06,-3.0,43.0,-3.714,-0.4,8.677,4.963
03-23,-0.09433333333333331,195.54356666666664,5.8130101069586715e-05,-3.0,43.0,-3.962,-0.422,8.858,4.896
03-24,-0.09905000000000008,205.28820000000016,9.290406757900271e-06,-3.0,43.0,-4.16,-0.435,9.268,5.108
03-25,-0.1006222222222223,208.37604444444457,6.9896667944657764e-06,-3.0,43.0,-4.226,-0.429,9.245,5.019
03-26,-0.12976585365853657,267.00290731707315,1.0500348368580603e-08,-3.0,43.0,-5.45,-0.528,10.196,4.746
03-27,-0.16360937500000003,336.0200500000001,1.3700152123874432e-13,-3.0,43.0,-6.871,-0.637,12.237,5.366
03-28,-0.1448294117647059,298.8280235294118,4.302772840247826e-07,-3.0,43.0,-6.083,-0.575,12.211,6.128
03-29,-0.060373333333333376,130.28376666666674,0.013372135380271377,-2.0,43.0,-2.536,-0.238,10.805,8.269
03-30,-0.0403060606060606,90.1775212121212,0.17971274598549036,-0.0,43.0,-1.693,-0.154,10.412,8.719
03-31,-0.0474709677419355,104.648835483871,0.08398321927516528,-1.0,43.0,-1.994,-0.17,10.704,8.71
04-01,-0.022857692307692325,55.73358461538465,0.43853912223825064,-0.0,43.0,-0.96,-0.083,10.498,9.538
04-02,-0.023946153846153857,57.76900769230771,0.25682274719469,-0.0,43.0,-1.006,-0.089,10.38,9.374
04-03,-0.018009090909090922,45.668481818181846,0.418717171558155,-0.0,43.0,-0.756,-0.064,10.028,9.272
04-04,-0.0104263157894736,31.0689315789472,0.5493798233930944,-0.0,43.0,-0.438,-0.037,10.435,9.997
04-05,-0.056600000000000004,124.23700000000001,0.005284537475404472,-3.0,43.0,-2.378,-0.198,12.226,9.848
04-06,-0.05511052631578949,120.40905263157897,0.0006858033130161534,-3.0,43.0,-2.314,-0.195,11.345,9.031
04-07,-0.03568260869565219,81.01551739130439,0.2027686652830658,-0.0,43.0,-1.499,-0.126,10.4,8.901
04-08,-0.010376666666666642,29.979133333333284,0.5969284554171306,-0.0,43.0,-0.436,-0.036,9.444,9.008
04-09,0.01238125000000001,-15.14050000000002,0.5810488129765654,0.0,43.0,0.52,0.044,9.362,9.882
04-10,-0.015875609756097604,40.86381951219521,0.7025659999639782,-0.0,43.0,-0.667,-0.057,9.446,8.779
04-11,-0.050939999999999944,111.78499999999988,0.14850507960474313,-0.0,43.0,-2.14,-0.18,10.975,8.835
04-12,-0.041163636363636354,91.9209727272727,0.09889139876410225,-1.0,43.0,-1.729,-0.141,10.458,8.729
04-13,-0.0056600000000000044,21.22500000000001,0.9410279548243654,-0.0,43.0,-0.238,-0.019,10.024,9.786
04-14,0.02264000000000017,-35.45990000000034,0.33475062032523084,0.0,43.0,0.951,0.077,9.345,10.296
04-15,-0.018866666666666712,47.75153333333343,0.4392541549963829,-0.0,43.0,-0.792,-0.067,10.414,9.622
04-16,-0.0039034482758620983,17.740196551724196,0.7668779360578739,-0.0,43.0,-0.164,-0.014,10.015,9.851
04-17,0.043538461538461595,-77.14362307692319,0.0006214728914766265,3.0,43.0,1.829,0.157,9.019,10.848
04-18,0.041776190476190474,-74.35488095238095,0.0012943005579924005,3.0,43.0,1.755,0.157,8.32,10.075
04-19,0.01959230769230767,-30.892715384615336,0.4856993111506607,0.0,43.0,0.823,0.073,7.88,8.703
04-20,-0.006288888888888838,20.473477777777674,0.6649844479786995,-0.0,43.0,-0.264,-0.025,8.028,7.764
04-21,-0.009433333333333356,26.422766666666714,0.5080085636012739,-0.0,43.0,-0.396,-0.039,7.754,7.358
04-22,0.011652941176470573,-16.061082352941146,0.6911483225262176,0.0,43.0,0.49,0.052,7.0,7.49
04-23,0.0502325,-92.9089,0.000458165090406526,3.0,43.0,2.11,0.242,6.501,8.611
04-24,0.05483125,-102.5026,0.004062278624537008,3.0,43.0,2.303,0.265,6.008,8.311
04-25,0.01831176470588231,-29.067429411764614,0.17063145736203778,0.0,43.0,0.769,0.092,7.172,7.941
04-26,0.010954838709677416,-14.749777419354828,0.38865978167596005,0.0,43.0,0.46,0.056,6.93,7.39
04-27,-0.0025727272727272517,12.163854545454504,0.8938325944885792,-0.0,43.0,-0.108,-0.013,7.072,6.964
04-28,-0.027387096774193556,61.42469354838711,0.06112124004751873,-1.0,43.0,-1.151,-0.146,7.226,6.075
04-29,-0.055551851851851845,117.5844037037037,0.0014397542192445822,-3.0,43.0,-2.333,-0.288,7.647,5.314
04-30,-0.06269538461538461,132.77706923076923,0.021664432241381704,-2.0,43.0,-2.633,-0.316,8.703,6.07
05-01,-0.05224615384615383,111.25600769230766,0.14487890813155824,-0.0,43.0,-2.194,-0.275,7.861,5.667
05-02,-0.027356666666666682,61.27893333333336,0.3383843614904718,-0.0,43.0,-1.149,-0.149,7.14,5.991
05-03,-0.011734146341463405,30.48669268292681,0.6567147816192431,-0.0,43.0,-0.493,-0.064,7.265,6.772
05-04,-0.012660526315789464,32.05645263157893,0.5235772322940324,-0.0,43.0,-0.531,-0.072,7.001,6.47
05-05,-0.007718181818181755,21.66236363636351,0.47611080261085714,-0.0,43.0,-0.324,-0.045,6.388,6.064
05-06,-0.014150000000000329,34.27130000000066,0.6131625791448132,-0.0,43.0,-0.594,-0.086,6.268,5.674
05-07,0.010612500000000025,-15.70650000000005,0.49742938900545,0.0,43.0,0.445,0.066,5.296,5.741
05-08,-0.0038243243243243413,13.138848648648683,0.876723552079747,-0.0,43.0,-0.161,-0.024,5.571,5.41
05-09,-0.0026348275862068996,10.505155172413799,0.8548387750674153,-0.0,43.0,-0.111,-0.018,5.291,5.18
05-10,-0.003773333333333362,12.668966666666723,0.8212639201409313,-0.0,43.0,-0.159,-0.027,5.202,5.043
05-11,-0.007861111111111097,21.099222222222192,0.644737701030089,-0.0,43.0,-0.33,-0.053,5.542,5.212
05-12,-0.022993750000000007,51.647500000000015,0.1501618593609313,-0.0,43.0,-0.966,-0.16,6.143,5.177
05-13,-0.04502272727272727,95.36585454545454,0.002108347051617887,-3.0,43.0,-1.891,-0.32,6.266,4.375
05-14,-0.04001034482758622,84.97318965517243,0.018923709110733933,-2.0,43.0,-1.681,-0.274,5.793,4.112
05-15,-0.028300000000000065,61.354400000000126,0.0038912119283021074,-3.0,43.0,-1.189,-0.206,5.349,4.16
05-16,-0.011973076923076928,28.70055384615386,0.09043307981714266,-1.0,43.0,-0.503,-0.083,5.006,4.503
05-17,0.008782758620689645,-12.64131724137929,0.3670241055266452,0.0,43.0,0.369,0.06,4.74,5.109
