,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.03172727147727272,-62.216952047329535,0.00023595668995524122,3.0,40.0,1.333,0.63,0.571,1.904
01-02,0.033449991833333345,-65.6998087289167,0.00010001489179245482,3.0,40.0,1.405,0.676,0.498,1.903
01-03,0.034002849373219374,-66.81469447237893,5.704133871331507e-05,3.0,40.0,1.428,0.696,0.477,1.905
01-04,0.032726190714285716,-64.2732921425,5.2074468325225e-05,3.0,40.0,1.374,0.682,0.492,1.866
01-05,0.030995530153256706,-60.77956696128353,3.790449677221197e-05,3.0,40.0,1.301,0.655,0.561,1.862
01-06,0.03452751196172248,-67.82323265550238,8.885952551773713e-06,3.0,40.0,1.45,0.742,0.507,1.957
01-07,0.037411371672240804,-73.60162628697324,2.3106270576889187e-06,3.0,40.0,1.572,0.821,0.435,2.007
01-08,0.03917420583710407,-77.11965041545248,1.4811268300718439e-06,3.0,40.0,1.645,0.878,0.406,2.051
01-09,0.03892708135416667,-76.63077203630209,5.338120725451034e-07,3.0,40.0,1.635,0.892,0.406,2.041
01-10,0.03869078657894737,-76.13853697802632,2.231880160685762e-07,3.0,40.0,1.625,0.899,0.431,2.056
01-11,0.03949404807539683,-77.78885507868057,1.206521171859265e-08,3.0,40.0,1.659,0.928,0.37,2.029
01-12,0.03680769038461539,-72.40516923365387,2.3042008368001632e-07,3.0,40.0,1.546,0.878,0.437,1.983
01-13,0.0377291662797619,-74.32673881010416,1.6245137968162737e-07,3.0,40.0,1.585,0.92,0.339,1.924
01-14,0.03546235275294118,-69.79151197675294,6.294919738802918e-07,3.0,40.0,1.49,0.881,0.388,1.878
01-15,0.03655133770089286,-72.01234840523438,9.581102267119945e-08,3.0,40.0,1.535,0.931,0.323,1.858
01-16,0.03550000061111111,-69.92775121130556,9.708133696939569e-08,3.0,40.0,1.491,0.929,0.327,1.818
01-17,0.03385999990222223,-66.65970985959113,2.174978994684551e-07,3.0,40.0,1.422,0.894,0.349,1.771
01-18,0.032207265320512816,-63.40321974304486,2.682836766076946e-07,3.0,40.0,1.353,0.869,0.335,1.688
01-19,0.03191428492857143,-62.886198439750004,9.440759418666289e-08,3.0,40.0,1.341,0.891,0.272,1.613
01-20,0.03149367850574713,-61.93861649873564,2.9764488940209333e-07,3.0,40.0,1.323,0.88,0.387,1.71
01-21,0.03266666466666667,-64.20432933633334,8.94093235004334e-08,3.0,40.0,1.372,0.906,0.443,1.815
01-22,0.03004940461904762,-58.99873508116667,2.0815951300434676e-06,3.0,40.0,1.262,0.836,0.469,1.731
01-23,0.028229162604166656,-55.409981469427066,2.600236996608274e-06,3.0,40.0,1.185,0.786,0.456,1.641
01-24,0.0286691181197479,-56.27923256731618,3.5929575399329394e-06,3.0,40.0,1.204,0.788,0.457,1.661
01-25,0.029155305170454546,-57.236877383153406,2.155309513529602e-06,3.0,40.0,1.225,0.806,0.461,1.686
01-26,0.030132051506410257,-59.239904930560904,7.033337081630009e-07,3.0,40.0,1.266,0.858,0.391,1.657
01-27,0.030925271956521738,-60.879656015108694,6.690538134623836e-07,3.0,40.0,1.299,0.895,0.321,1.62
01-28,0.03077639065217392,-60.57561672336958,8.912639346547735e-07,3.0,40.0,1.292,0.902,0.331,1.623
01-29,0.031329430978260873,-61.673367795054354,1.5146981962033124e-06,3.0,40.0,1.315,0.923,0.328,1.643
