,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.10521739565217392,-204.7217477652174,9.864436798512344e-05,3.0,38.0,4.42,0.78,3.503,7.923
01-02,0.10166666388888888,-197.77416106805555,0.00010382863048397084,3.0,38.0,4.27,0.768,3.424,7.694
01-03,0.0931818272727273,-180.95069992727275,0.00011102463173751076,3.0,38.0,3.914,0.72,3.456,7.37
01-04,0.09571427857142857,-186.02427124642858,8.901702727270866e-05,3.0,38.0,4.02,0.752,3.394,7.414
01-05,0.09562499999999999,-185.84593754999997,3.248687200874123e-05,3.0,38.0,4.016,0.763,3.396,7.412
01-06,0.09444444444444446,-183.5077778277778,3.2961041225965104e-05,3.0,38.0,3.966,0.767,3.398,7.364
01-07,0.09833331666666667,-191.23580009166668,1.6389564215568697e-05,3.0,38.0,4.13,0.812,3.366,7.496
01-08,0.09142862857142856,-177.58868537142854,8.470793956050215e-06,3.0,38.0,3.84,0.767,3.349,7.189
01-09,0.08421052105263155,-163.29051575263153,1.4443574259281888e-05,3.0,38.0,3.537,0.718,3.362,6.899
01-10,0.08116668333333332,-157.29544995833334,4.392500469241334e-05,3.0,38.0,3.409,0.705,3.333,6.742
01-11,0.07833334999999993,-151.82086652499984,3.0805245837761674e-05,3.0,38.0,3.29,0.694,3.201,6.491
01-12,0.076749998125,-148.7981213046875,4.191997091806954e-05,3.0,38.0,3.224,0.692,3.09,6.314
01-13,0.07599999833333333,-147.40499672083334,4.174733865025537e-05,3.0,38.0,3.192,0.697,2.999,6.191
01-14,0.07319999699999999,-141.88199400749997,4.861988013016294e-05,3.0,38.0,3.074,0.684,2.981,6.055
01-15,0.07500000000000001,-145.64250015000002,1.4025067617273734e-05,3.0,38.0,3.15,0.713,2.782,5.932
01-16,0.0727777888888889,-141.27863340555558,1.4872144761923778e-05,3.0,38.0,3.056,0.702,2.749,5.805
01-17,0.07138888055555556,-138.65428885972221,6.390397142341797e-06,3.0,38.0,2.999,0.702,2.624,5.623
01-18,0.0691666611111111,-134.3504054694444,7.3843895120884184e-06,3.0,38.0,2.905,0.699,2.53,5.435
01-19,0.06892858214285713,-133.9848428803571,2.5424859187328508e-05,3.0,38.0,2.895,0.714,2.425,5.32
01-20,0.06500000555555555,-126.2375110472222,2.760572203608369e-05,3.0,38.0,2.731,0.687,2.397,5.128
01-21,0.06555555185185186,-127.41721487407409,6.274699349129165e-05,3.0,38.0,2.754,0.708,2.317,5.071
01-22,0.0600000107142857,-116.45002140178569,8.97112855868798e-05,3.0,38.0,2.52,0.663,2.29,4.81
01-23,0.05727273181818182,-111.10228175681819,8.367867952085994e-05,3.0,38.0,2.406,0.643,2.24,4.646
