,mean,slp,chg,pvalue
01-01,3.96,0.05,2.1,0.091
01-02,4.87,0.02,0.854,0.39
01-03,4.56,0.062,2.625,0.0
01-04,4.87,0.075,3.15,0.001
01-05,4.44,0.059,2.482,0.001
01-06,4.24,0.057,2.386,0.011
01-07,3.99,0.046,1.942,0.002
01-08,3.34,0.033,1.37,0.051
01-09,3.2,0.017,0.7,0.161
01-10,3.11,0.02,0.84,0.272
01-11,2.91,0.009,0.385,0.133
01-12,4.47,0.095,4.01,0.008
01-13,4.22,0.097,4.086,0.0
01-14,3.54,0.063,2.634,0.0
01-15,3.62,0.016,0.66,0.398
01-16,3.59,0.037,1.55,0.014
01-17,3.23,0.043,1.79,0.002
01-18,3.37,0.049,2.042,0.001
01-19,4.27,0.021,0.884,0.254
01-20,3.34,0.021,0.876,0.305
01-21,3.25,-0.008,-0.328,0.907
01-22,2.83,-0.009,-0.38,0.71
01-23,3.17,0.024,0.987,0.172
01-24,3.42,0.023,0.962,0.18
01-25,4.58,0.071,2.966,0.023
01-26,3.74,0.013,0.56,0.366
01-27,3.88,0.01,0.432,0.526
01-28,3.88,0.007,0.31,0.674
01-29,3.37,0.007,0.3,0.746
01-30,3.25,0.021,0.9,0.247
01-31,3.17,0.001,0.046,0.886
02-01,3.34,-0.002,-0.102,0.911
02-02,4.61,-0.018,-0.77,0.156
02-03,4.9,-0.026,-1.092,0.12
02-04,4.39,-0.036,-1.508,0.023
02-05,4.16,0.003,0.12,0.847
02-06,3.88,0.026,1.076,0.138
02-07,4.53,0.094,3.966,0.004
02-08,5.01,0.119,4.988,0.0
02-09,4.61,0.109,4.59,0.0
02-10,3.96,0.078,3.28,0.0
02-11,4.13,0.053,2.24,0.01
02-12,4.73,0.051,2.132,0.062
02-13,4.27,0.053,2.247,0.011
02-14,4.39,0.048,2.018,0.037
02-15,4.05,0.043,1.794,0.014
02-16,4.7,0.06,2.52,0.068
02-17,4.9,0.048,2.014,0.035
02-18,4.87,0.034,1.442,0.097
02-19,4.7,-0.001,-0.026,1.0
02-20,5.86,-0.077,-3.225,0.223
02-21,5.21,-0.092,-3.878,0.066
02-22,5.55,-0.049,-2.048,0.045
02-23,6.31,-0.089,-3.746,0.0
02-24,6.76,-0.147,-6.16,0.007
02-25,7.84,-0.042,-1.786,0.387
02-26,8.01,-0.025,-1.05,0.561
02-27,7.56,0.057,2.38,0.175
02-28,6.85,0.01,0.42,0.662
03-01,6.17,0.014,0.596,0.52
03-02,6.08,0.034,1.436,0.109
03-03,5.41,0.039,1.62,0.065
