,mean,slp,chg,pvalue
01-01,6.068,-0.012,-0.512,0.046
01-02,5.926,-0.015,-0.613,0.038
01-03,5.788,-0.012,-0.486,0.056
01-04,5.764,-0.006,-0.265,0.363
01-05,5.787,-0.013,-0.56,0.038
01-06,5.73,-0.01,-0.412,0.058
01-07,5.786,-0.014,-0.592,0.016
01-08,5.79,-0.01,-0.413,0.042
01-09,5.76,-0.01,-0.412,0.147
01-10,5.786,-0.013,-0.553,0.024
01-11,5.94,0.0,0.0,0.913
01-12,5.934,-0.006,-0.263,0.672
01-13,6.074,-0.006,-0.236,0.468
01-14,5.932,-0.007,-0.305,0.275
01-15,5.784,-0.016,-0.655,0.003
01-16,5.818,-0.012,-0.499,0.046
01-17,5.758,-0.012,-0.498,0.105
01-18,5.816,-0.014,-0.604,0.058
01-19,5.788,-0.013,-0.543,0.054
01-20,5.68,-0.01,-0.42,0.101
01-21,5.65,-0.009,-0.399,0.224
01-22,5.762,-0.008,-0.357,0.218
01-23,5.803,0.003,0.134,0.659
01-24,5.804,0.004,0.151,0.629
01-25,5.939,-0.001,-0.054,0.695
01-26,5.889,-0.002,-0.071,0.779
01-27,5.799,-0.002,-0.069,0.72
01-28,5.77,-0.001,-0.021,0.906
01-29,5.942,0.001,0.053,0.628
01-30,5.94,0.0,0.0,0.985
01-31,5.89,0.0,0.0,0.941
02-01,5.908,-0.001,-0.051,0.711
02-02,5.91,0.0,0.0,0.806
02-03,5.829,-0.001,-0.046,0.691
02-04,5.94,0.0,0.0,0.866
02-05,5.72,0.0,0.0,0.923
02-06,5.66,0.0,0.0,0.705
02-07,5.739,-0.001,-0.05,0.764
02-08,5.66,0.0,0.0,0.761
02-09,5.658,-0.002,-0.069,0.593
02-10,5.662,0.002,0.076,0.618
02-11,5.66,0.0,0.0,0.883
02-12,5.66,0.0,0.017,0.359
02-13,5.66,0.0,0.0,1.0
02-14,5.66,0.0,0.0,0.808
02-15,5.662,0.001,0.055,0.744
02-16,5.652,-0.008,-0.315,0.148
02-17,5.651,-0.009,-0.38,0.132
02-18,5.684,-0.006,-0.252,0.343
02-19,5.71,-0.01,-0.408,0.261
02-20,5.849,-0.011,-0.466,0.248
02-21,5.728,-0.012,-0.496,0.198
02-22,5.648,-0.012,-0.506,0.173
02-23,5.588,-0.012,-0.512,0.162
02-24,5.59,-0.01,-0.412,0.188
02-25,5.591,-0.009,-0.364,0.191
02-26,5.651,-0.009,-0.386,0.15
02-27,5.588,-0.012,-0.493,0.01
02-28,5.585,-0.015,-0.638,0.006
03-01,5.786,-0.014,-0.584,0.067
03-02,5.782,-0.018,-0.758,0.008
03-03,5.755,-0.015,-0.63,0.018
03-04,5.64,-0.019,-0.801,0.017
03-05,5.64,-0.02,-0.84,0.003
03-06,5.783,-0.017,-0.718,0.001
03-07,5.786,-0.014,-0.58,0.219
03-08,5.896,-0.014,-0.592,0.152
