,mean,slp,chg,pvalue
0,2.72,0.005,0.21,0.728
1,2.68,0.007,0.3,0.677
2,2.65,0.007,0.3,0.615
3,2.63,0.005,0.21,0.598
4,2.58,0.007,0.315,0.673
5,2.54,0.004,0.186,0.646
6,2.52,0.004,0.158,0.676
7,2.49,0.002,0.094,0.851
8,2.46,0.003,0.108,0.834
9,2.43,0.001,0.04,0.888
10,2.43,0.004,0.154,0.577
11,2.43,0.006,0.256,0.573
12,2.41,0.006,0.24,0.606
13,2.38,0.005,0.216,0.485
14,2.35,0.007,0.308,0.48
15,2.32,0.007,0.294,0.473
16,2.29,0.007,0.284,0.409
17,2.32,0.009,0.374,0.47
18,2.29,0.008,0.344,0.443
19,2.24,0.007,0.3,0.443
20,2.24,0.005,0.19,0.428
21,2.24,0.005,0.198,0.336
22,2.24,0.005,0.222,0.351
23,2.18,0.006,0.258,0.337
24,2.18,0.005,0.22,0.358
25,2.15,0.005,0.194,0.321
26,2.12,0.005,0.2,0.424
27,2.07,0.004,0.172,0.489
28,2.04,0.002,0.096,0.575
29,2.01,0.003,0.124,0.673
30,1.95,0.002,0.084,0.721
31,1.98,0.001,0.042,0.843
32,1.95,0.001,0.03,0.816
33,1.95,0.0,0.0,0.905
34,1.95,0.002,0.092,0.704
35,1.9,0.002,0.104,0.663
36,1.9,0.003,0.136,0.594
37,1.87,0.004,0.152,0.49
38,1.84,0.004,0.15,0.508
39,1.84,0.003,0.11,0.485
40,1.78,0.003,0.12,0.499
41,1.78,0.003,0.108,0.315
42,1.75,0.003,0.136,0.225
43,1.75,0.003,0.14,0.232
44,1.73,0.004,0.152,0.234
45,1.7,0.003,0.14,0.23
46,1.7,0.003,0.108,0.276
47,1.67,0.003,0.116,0.241
48,1.7,0.003,0.11,0.257
49,1.68,0.003,0.126,0.339
50,1.7,0.003,0.118,0.341
51,1.67,0.003,0.146,0.372
52,1.64,0.002,0.068,0.503
53,1.61,0.001,0.06,0.614
54,1.58,0.0,0.016,0.728
55,1.58,0.001,0.042,0.568
56,1.67,0.002,0.082,0.405
57,1.67,0.002,0.082,0.475
58,1.61,0.001,0.046,0.652
59,1.61,0.001,0.036,0.674
60,1.58,0.0,0.0,0.862
61,1.56,0.0,0.0,0.796
62,1.56,0.0,0.0,0.932
63,1.56,0.0,0.0,0.978
64,1.56,0.0,0.0,0.934
65,1.55,0.0,0.0,0.909
66,1.53,-0.0,-0.018,0.839
67,1.51,-0.001,-0.036,0.577
68,1.53,0.0,0.0,0.93
69,1.47,0.0,0.0,1.0
70,1.47,0.0,0.0,0.867
71,1.44,0.0,0.0,0.978
72,1.43,0.0,0.0,0.917
73,1.44,0.0,0.0,0.842
74,1.47,-0.001,-0.024,0.854
75,1.47,-0.0,-0.014,0.826
76,1.44,0.0,0.0,0.986
