,mean,slp,chg,pvalue
01-01,0.09,0.0,0.02,0.213
01-02,0.09,0.0,0.0,0.274
01-03,0.096,0.0,0.017,0.057
01-04,0.12,0.0,0.0,0.215
01-05,0.125,0.0,0.0,0.421
01-06,0.13,0.0,0.0,0.404
01-07,0.125,0.0,0.0,0.238
01-08,0.095,0.0,0.0,0.309
01-09,0.095,0.0,0.0,0.285
01-10,0.08,0.0,0.016,0.206
01-11,0.096,0.002,0.084,0.032
01-12,0.101,0.002,0.07,0.033
01-13,0.116,0.001,0.062,0.002
01-14,0.121,0.001,0.058,0.001
01-15,0.12,0.001,0.053,0.008
01-16,0.115,0.001,0.053,0.01
01-17,0.111,0.003,0.12,0.0
01-18,0.146,0.002,0.094,0.011
01-19,0.13,0.002,0.065,0.063
01-20,0.106,0.001,0.059,0.075
01-21,0.11,0.0,0.0,0.181
01-22,0.115,0.0,0.0,0.804
01-23,0.115,0.001,0.025,0.316
01-24,0.106,0.001,0.037,0.199
01-25,0.096,0.001,0.039,0.09
01-26,0.11,0.001,0.03,0.04
01-27,0.11,0.001,0.035,0.051
01-28,0.1,0.001,0.033,0.159
01-29,0.116,0.001,0.05,0.039
01-30,0.13,0.001,0.041,0.084
01-31,0.136,0.001,0.041,0.198
02-01,0.13,0.001,0.027,0.458
02-02,0.18,0.0,0.0,0.828
02-03,0.19,0.0,0.0,1.0
02-04,0.216,0.001,0.029,0.338
02-05,0.256,0.001,0.058,0.135
02-06,0.201,0.001,0.06,0.253
02-07,0.187,0.003,0.14,0.002
02-08,0.232,0.004,0.158,0.069
02-09,0.192,0.004,0.155,0.003
02-10,0.217,0.003,0.123,0.006
02-11,0.221,0.004,0.153,0.041
02-12,0.221,0.002,0.092,0.099
02-13,0.2,0.001,0.049,0.109
02-14,0.2,0.001,0.057,0.206
02-15,0.275,-0.0,-0.01,0.911
02-16,0.26,-0.001,-0.055,0.254
02-17,0.278,-0.003,-0.131,0.207
02-18,0.372,-0.006,-0.246,0.046
02-19,0.418,-0.005,-0.219,0.232
02-20,0.656,0.001,0.051,0.455
02-21,0.641,0.001,0.059,0.683
02-22,0.668,-0.003,-0.135,0.727
02-23,0.566,-0.009,-0.364,0.208
02-24,0.464,-0.003,-0.111,0.128
02-25,0.448,-0.002,-0.105,0.386
02-26,0.41,-0.001,-0.033,0.643
02-27,0.406,0.001,0.023,0.697
02-28,0.41,-0.002,-0.077,0.523
03-01,0.285,0.0,0.0,0.959
03-02,0.348,-0.003,-0.14,0.162
03-03,0.359,-0.002,-0.088,0.303
03-04,0.339,-0.002,-0.09,0.554
03-05,0.388,-0.004,-0.156,0.313
03-06,0.424,-0.001,-0.049,0.782
03-07,0.488,-0.004,-0.17,0.265
03-08,0.492,-0.005,-0.229,0.165
03-09,0.486,0.011,0.449,0.172
03-10,0.442,0.015,0.627,0.07
03-11,0.42,0.01,0.42,0.063
03-12,0.472,0.014,0.58,0.004
03-13,0.488,0.017,0.717,0.001
03-14,0.462,0.014,0.596,0.0
03-15,0.418,0.007,0.301,0.138
03-16,0.361,0.001,0.055,0.773
03-17,0.335,0.0,0.0,0.978
03-18,0.358,-0.003,-0.146,0.143
03-19,0.307,-0.005,-0.21,0.378
03-20,0.292,-0.006,-0.24,0.337
03-21,0.303,-0.004,-0.16,0.295
03-22,0.3,-0.001,-0.041,0.499
03-23,0.296,0.001,0.059,0.535
03-24,0.437,0.004,0.16,0.109
03-25,0.482,0.003,0.117,0.256
03-26,0.582,0.005,0.197,0.213
03-27,0.374,0.007,0.311,0.071
03-28,0.375,0.008,0.353,0.002
03-29,0.478,0.016,0.693,0.011
03-30,0.481,0.012,0.486,0.178
03-31,0.778,0.016,0.685,0.0
04-01,0.571,0.011,0.474,0.01
04-02,0.454,0.008,0.315,0.085
04-03,0.424,0.008,0.321,0.002
04-04,0.39,0.01,0.402,0.0
04-05,0.404,0.009,0.371,0.017
04-06,0.418,0.005,0.217,0.118
04-07,0.362,0.005,0.221,0.01
04-08,0.362,0.005,0.21,0.053
04-09,0.317,0.005,0.192,0.119
04-10,0.373,0.006,0.256,0.101
04-11,0.412,0.005,0.207,0.098
04-12,0.401,0.004,0.163,0.295
04-13,0.399,-0.002,-0.096,0.605
04-14,0.48,0.0,0.0,1.0
04-15,0.471,0.002,0.086,0.562
04-16,0.558,-0.002,-0.097,0.499
04-17,0.5,0.0,0.019,0.881
04-18,0.506,0.002,0.088,0.598
04-19,0.415,0.0,0.0,1.0
04-20,0.376,0.003,0.143,0.036
