,mean,slp,chg,pvalue
0,25.276,0.276,11.59,0.0
1,24.292,0.291,12.239,0.0
2,23.897,0.296,12.453,0.0
3,22.735,0.235,9.874,0.0
4,26.202,0.202,8.491,0.0
5,25.659,0.159,6.68,0.001
6,27.834,0.234,9.824,0.0
7,26.606,0.307,12.875,0.0
8,25.615,0.315,13.25,0.0
9,24.807,0.307,12.886,0.0
10,24.278,0.278,11.672,0.0
11,24.214,0.313,13.153,0.0
12,24.91,0.31,13.031,0.0
13,23.968,0.368,15.454,0.0
14,22.776,0.376,15.798,0.0
15,21.869,0.369,15.514,0.0
16,21.043,0.343,14.408,0.0
17,20.114,0.313,13.163,0.0
18,20.586,0.286,12.0,0.0
19,20.978,0.278,11.672,0.0
20,20.351,0.251,10.55,0.0
21,19.714,0.215,9.011,0.0
22,19.193,0.193,8.094,0.0
23,20.923,0.223,9.354,0.0
24,20.652,0.252,10.575,0.0
25,20.589,0.289,12.138,0.0
26,20.474,0.274,11.519,0.0
27,20.268,0.268,11.264,0.0
28,19.944,0.244,10.229,0.0
29,18.737,0.237,9.94,0.0
30,19.373,0.273,11.466,0.0
31,18.964,0.263,11.067,0.0
32,18.558,0.258,10.847,0.0
33,18.442,0.242,10.177,0.0
34,19.207,0.206,8.671,0.0
35,18.874,0.174,7.291,0.002
36,18.175,0.175,7.35,0.0
37,17.556,0.155,6.531,0.0
38,17.15,0.15,6.3,0.0
39,16.952,0.153,6.417,0.0
40,16.55,0.15,6.3,0.0
41,16.052,0.152,6.37,0.0
42,15.632,0.132,5.563,0.0
43,15.224,0.124,5.202,0.0
44,14.721,0.121,5.086,0.0
45,14.621,0.121,5.076,0.0
46,14.022,0.122,5.133,0.0
47,16.046,0.146,6.122,0.0
48,16.062,0.163,6.833,0.0
49,15.575,0.176,7.381,0.0
50,15.68,0.18,7.56,0.0
51,15.365,0.165,6.92,0.0
52,15.757,0.157,6.588,0.0
53,14.848,0.148,6.208,0.0
54,14.952,0.152,6.386,0.0
55,14.649,0.149,6.27,0.0
56,15.166,0.165,6.935,0.0
57,15.47,0.169,7.119,0.0
58,15.17,0.17,7.124,0.0
59,14.666,0.165,6.945,0.0
60,14.154,0.155,6.495,0.0
61,13.96,0.16,6.722,0.0
62,13.656,0.156,6.531,0.0
63,13.948,0.148,6.212,0.0
64,14.346,0.146,6.145,0.0
65,14.542,0.142,5.957,0.001
66,14.955,0.155,6.516,0.036
67,14.668,0.168,7.052,0.032
68,15.46,0.159,6.685,0.028
69,15.056,0.155,6.523,0.014
70,15.372,0.171,7.197,0.005
71,16.068,0.168,7.05,0.004
72,15.974,0.175,7.333,0.001
73,15.988,0.187,7.867,0.002
74,16.1,0.2,8.4,0.003
75,16.5,0.2,8.4,0.003
76,17.296,0.196,8.238,0.002
77,17.165,0.165,6.944,0.009
78,16.718,0.117,4.931,0.027
79,16.203,0.103,4.337,0.088
80,16.086,0.087,3.647,0.149
81,16.759,0.059,2.466,0.498
82,18.246,0.046,1.922,0.458
83,17.723,0.023,0.96,0.745
84,18.032,0.032,1.357,0.776
85,18.869,-0.031,-1.308,0.8
86,22.981,-0.019,-0.79,0.805
87,24.949,-0.051,-2.146,0.634
88,25.08,-0.12,-5.048,0.248
89,24.994,-0.206,-8.643,0.014
90,29.762,-0.138,-5.804,0.344
91,33.426,-0.074,-3.12,0.706
92,33.686,-0.014,-0.605,0.953
93,35.307,-0.093,-3.904,0.587
94,33.506,-0.094,-3.953,0.466
95,37.759,-0.241,-10.13,0.087
96,41.18,-0.32,-13.436,0.066
97,51.37,-0.63,-26.464,0.02
98,60.338,-0.662,-27.8,0.012
99,62.455,-0.745,-31.298,0.003
100,61.614,-0.686,-28.825,0.015
101,78.107,-0.393,-16.527,0.255
102,84.518,-0.381,-16.009,0.149
103,90.035,0.035,1.459,0.914
104,108.262,0.263,11.033,0.525
105,128.259,0.259,10.88,0.234
106,134.148,0.147,6.187,0.649
107,150.0,0.0,0.0,1.0
108,161.397,0.397,16.672,0.326
109,170.789,0.789,33.134,0.019
110,186.279,1.28,53.745,0.0
111,208.667,1.667,70.0,0.0
112,261.299,2.299,96.554,0.0
113,277.018,3.019,126.777,0.0
114,291.354,2.354,98.875,0.004
115,288.192,2.193,92.089,0.0
116,298.276,2.275,95.559,0.003
117,306.389,1.389,58.334,0.345
118,325.633,0.633,26.6,0.78
119,326.382,-0.618,-25.964,0.731
120,329.049,-0.951,-39.94,0.343
121,356.028,-0.972,-40.833,0.058
122,359.374,-0.627,-26.325,0.602
123,322.115,1.115,46.826,0.012
124,342.882,2.882,121.042,0.0
125,335.348,3.348,140.612,0.0
126,308.5,3.5,147.0,0.0
127,285.265,3.265,137.126,0.0
128,313.952,2.952,123.998,0.0
129,329.941,0.941,39.53,0.055
130,312.135,2.135,89.664,0.003
131,268.974,1.974,82.895,0.01
132,246.31,1.31,55.024,0.063
133,212.432,0.432,18.136,0.574
134,190.255,0.255,10.729,0.801
135,171.426,0.426,17.884,0.225
136,169.775,0.775,32.55,0.121
137,166.571,0.571,24.0,0.203
138,156.466,0.465,19.549,0.25
139,146.586,0.586,24.608,0.022
140,142.972,0.972,40.833,0.005
141,138.54,0.541,22.713,0.226
142,125.322,0.323,13.547,0.56
143,118.46,0.46,19.337,0.287
144,110.449,0.449,18.84,0.244
145,101.312,0.313,13.141,0.108
146,95.725,0.225,9.45,0.393
147,96.533,0.333,13.988,0.096
148,98.334,0.235,9.869,0.192
149,92.494,0.394,16.555,0.014
150,86.65,0.25,10.494,0.215
151,84.972,0.072,3.022,0.627
152,81.013,0.013,0.56,0.923
153,73.998,-0.002,-0.091,0.975
154,71.608,0.008,0.332,0.973
155,71.304,0.003,0.131,1.0
156,68.727,0.228,9.575,0.058
157,63.861,0.161,6.781,0.054
158,60.315,0.215,9.05,0.125
159,64.826,0.326,13.683,0.013
160,60.798,0.398,16.709,0.002
161,59.6,0.3,12.6,0.003
162,58.511,0.411,17.268,0.0
163,58.396,0.296,12.45,0.033
164,56.466,0.266,11.183,0.025
165,53.918,0.318,13.354,0.001
166,49.545,0.245,10.284,0.005
167,49.813,0.213,8.952,0.023
168,48.554,0.254,10.666,0.002
169,47.52,0.321,13.475,0.0
170,47.67,0.569,23.903,0.0
171,45.928,0.527,22.143,0.0
172,45.475,0.374,15.719,0.0
173,44.707,0.207,8.7,0.013
174,44.972,0.173,7.247,0.026
175,45.191,0.191,8.018,0.018
176,45.158,0.058,2.419,0.503
177,44.782,0.082,3.43,0.555
178,45.566,0.166,6.97,0.194
179,44.908,0.208,8.734,0.125
180,45.899,0.299,12.544,0.065
181,42.852,0.252,10.58,0.062
182,43.433,0.233,9.8,0.037
183,41.116,0.216,9.087,0.039
184,45.362,0.163,6.835,0.23
185,46.062,0.163,6.839,0.263
186,48.262,0.261,10.975,0.248
187,46.712,-0.088,-3.71,0.725
188,43.87,-0.13,-5.454,0.514
189,52.558,-0.043,-1.787,0.563
190,48.725,0.025,1.05,0.897
191,48.204,0.005,0.201,0.978
192,48.74,-0.161,-6.741,0.301
193,46.01,-0.291,-12.211,0.201
194,44.43,-0.27,-11.352,0.159
195,43.008,-0.291,-12.235,0.122
196,42.77,-0.43,-18.056,0.021
197,39.144,-0.356,-14.952,0.008
198,39.094,-0.405,-17.021,0.006
199,37.17,-0.33,-13.864,0.01
200,36.258,-0.442,-18.581,0.003
201,34.885,-0.315,-13.25,0.038
202,34.454,-0.346,-14.517,0.006
203,38.665,-0.334,-14.043,0.006
204,37.406,-0.294,-12.367,0.015
205,35.008,-0.291,-12.225,0.064
206,33.104,-0.196,-8.215,0.098
207,33.598,-0.102,-4.29,0.457
208,33.632,-0.168,-7.054,0.185
209,34.828,-0.072,-3.039,0.404
210,33.096,-0.104,-4.349,0.303
211,34.84,0.039,1.653,0.768
212,30.764,0.065,2.713,0.53
213,28.388,0.088,3.69,0.406
214,30.495,0.095,3.99,0.34
215,28.998,0.099,4.145,0.229
216,30.554,0.054,2.262,0.44
217,29.246,0.046,1.933,0.536
218,29.162,-0.138,-5.804,0.187
219,30.636,-0.064,-2.68,0.223
220,28.042,-0.058,-2.446,0.458
221,27.677,-0.023,-0.968,0.699
222,29.238,-0.062,-2.604,0.176
223,27.542,-0.158,-6.641,0.054
224,24.092,-0.108,-4.515,0.316
225,25.332,-0.168,-7.044,0.018
226,25.628,-0.172,-7.222,0.104
227,24.517,-0.183,-7.7,0.06
228,23.8,-0.2,-8.4,0.047
229,22.562,-0.138,-5.798,0.016
230,21.452,-0.149,-6.245,0.009
231,20.916,-0.185,-7.767,0.0
232,23.572,-0.228,-9.574,0.0
233,22.062,-0.238,-9.996,0.001
234,22.111,-0.189,-7.946,0.027
235,21.594,-0.206,-8.636,0.008
236,22.446,-0.255,-10.697,0.0
237,23.1,-0.3,-12.6,0.0
238,21.022,-0.278,-11.659,0.0
239,22.807,-0.293,-12.308,0.0
240,21.918,-0.282,-11.859,0.0
241,20.786,-0.215,-9.015,0.001
242,19.7,-0.2,-8.4,0.004
243,22.152,-0.149,-6.245,0.105
244,21.626,-0.174,-7.291,0.01
245,22.7,-0.2,-8.4,0.003
246,21.218,-0.182,-7.636,0.006
247,20.324,-0.175,-7.371,0.01
248,18.844,-0.156,-6.552,0.005
249,19.594,-0.206,-8.667,0.0
250,18.954,-0.146,-6.115,0.001
251,19.411,-0.089,-3.748,0.265
252,21.031,-0.169,-7.086,0.027
253,19.906,-0.195,-8.177,0.0
254,22.208,-0.192,-8.07,0.001
255,20.231,-0.169,-7.098,0.001
256,20.246,-0.155,-6.499,0.001
257,19.766,-0.134,-5.63,0.049
