,mean,slp,chg,pvalue
0,3.31,0.04,1.68,0.001
1,3.42,0.033,1.38,0.01
2,3.54,0.03,1.26,0.018
3,3.14,0.039,1.62,0.022
4,3.23,0.042,1.748,0.001
5,3.14,0.038,1.602,0.0
6,3.4,0.024,1.008,0.0
7,3.37,0.017,0.724,0.039
8,3.51,0.011,0.462,0.243
9,3.11,0.01,0.406,0.286
10,3.25,0.021,0.872,0.012
11,3.45,0.025,1.036,0.014
12,3.23,0.027,1.136,0.033
13,3.45,0.031,1.294,0.007
14,3.37,0.033,1.382,0.005
15,3.17,0.027,1.134,0.01
16,3.23,0.03,1.274,0.003
17,3.34,0.02,0.856,0.074
18,3.25,0.018,0.742,0.074
19,3.59,0.001,0.054,0.881
20,3.79,0.0,0.0,0.975
21,3.4,-0.003,-0.14,0.692
22,3.48,0.009,0.358,0.287
23,3.65,0.013,0.55,0.229
24,3.45,0.013,0.534,0.416
25,3.31,0.026,1.085,0.05
26,3.28,0.028,1.19,0.007
27,3.31,0.021,0.866,0.037
28,3.11,0.023,0.98,0.016
29,3.08,0.02,0.86,0.003
30,3.0,0.009,0.36,0.304
31,3.11,0.019,0.814,0.01
32,3.68,0.011,0.452,0.479
33,3.85,0.028,1.186,0.037
34,3.99,0.027,1.128,0.001
35,3.93,0.03,1.276,0.0
36,3.82,0.035,1.47,0.108
37,3.88,0.048,2.024,0.007
38,3.42,0.044,1.842,0.0
39,3.31,0.033,1.4,0.0
40,3.31,0.019,0.812,0.021
41,3.17,0.026,1.085,0.02
42,3.08,0.04,1.68,0.011
43,3.48,0.031,1.296,0.197
44,3.31,0.027,1.132,0.059
45,3.76,0.032,1.356,0.033
46,3.65,0.019,0.818,0.152
47,3.85,0.015,0.622,0.326
48,4.41,0.017,0.712,0.213
49,4.47,0.031,1.298,0.035
50,4.16,0.019,0.806,0.093
51,4.08,0.012,0.518,0.505
52,4.1,0.022,0.908,0.197
53,4.47,0.009,0.396,0.722
54,4.1,0.0,0.0,1.0
55,4.13,0.016,0.692,0.421
56,4.13,0.012,0.514,0.295
57,3.96,-0.001,-0.052,0.89
58,4.3,-0.001,-0.028,0.952
59,4.5,0.031,1.314,0.021
60,4.41,0.032,1.356,0.005
61,4.56,0.054,2.272,0.0
62,4.7,0.042,1.785,0.015
63,4.98,0.014,0.598,0.178
64,5.09,0.016,0.672,0.013
65,4.64,0.0,0.0,0.934
66,5.04,-0.012,-0.5,0.246
67,4.98,-0.006,-0.238,0.759
68,4.64,-0.002,-0.09,0.821
69,4.36,0.006,0.262,0.586
70,4.24,0.013,0.564,0.254
71,4.24,0.011,0.456,0.426
72,3.93,0.012,0.514,0.142
73,3.96,0.021,0.875,0.019
74,4.16,0.029,1.23,0.0
75,3.96,0.008,0.336,0.489
76,4.13,0.021,0.87,0.179
77,4.61,0.0,0.0,0.964
78,4.64,-0.01,-0.42,0.439
79,4.56,-0.037,-1.568,0.089
80,4.3,-0.03,-1.26,0.035
81,4.24,-0.028,-1.182,0.013
82,3.96,-0.03,-1.248,0.003
83,3.85,-0.012,-0.51,0.509
84,3.74,-0.007,-0.29,0.755
85,3.62,-0.01,-0.42,0.221
86,3.79,0.005,0.23,0.746
