,mean,slp,chg,pvalue
01-01,0.05,0.001,0.025,0.144
01-02,0.05,0.001,0.025,0.13
01-03,0.05,0.001,0.026,0.09
01-04,0.05,0.001,0.025,0.097
01-05,0.05,0.0,0.02,0.123
01-06,0.05,0.0,0.021,0.124
01-07,0.046,0.001,0.023,0.072
01-08,0.046,0.001,0.023,0.068
01-09,0.045,0.001,0.022,0.077
01-10,0.04,0.001,0.023,0.076
01-11,0.04,0.001,0.025,0.065
01-12,0.035,0.0,0.014,0.197
01-13,0.04,0.0,0.0,0.29
01-14,0.04,0.0,0.0,0.254
01-15,0.04,0.0,0.0,0.186
01-16,0.04,0.0,0.014,0.109
01-17,0.04,0.0,0.012,0.115
01-18,0.04,0.0,0.012,0.121
01-19,0.035,0.0,0.014,0.074
01-20,0.035,0.0,0.014,0.085
01-21,0.036,0.0,0.021,0.058
01-22,0.036,0.0,0.021,0.054
01-23,0.03,0.001,0.023,0.043
01-24,0.03,0.001,0.025,0.041
01-25,0.036,0.001,0.025,0.035
01-26,0.036,0.0,0.021,0.046
01-27,0.04,0.001,0.028,0.015
01-28,0.04,0.001,0.026,0.018
01-29,0.04,0.001,0.025,0.01
01-30,0.04,0.001,0.022,0.012
01-31,0.036,0.0,0.017,0.026
02-01,0.03,0.0,0.0,0.085
02-02,0.03,0.0,0.0,0.088
02-03,0.03,0.0,0.012,0.043
02-04,0.035,0.0,0.0,0.095
02-05,0.036,0.0,0.019,0.03
02-06,0.036,0.0,0.019,0.029
02-07,0.03,0.001,0.021,0.017
02-08,0.03,0.001,0.021,0.016
02-09,0.03,0.0,0.019,0.02
02-10,0.036,0.0,0.017,0.017
02-11,0.036,0.0,0.021,0.009
02-12,0.036,0.001,0.021,0.009
02-13,0.03,0.0,0.019,0.014
02-14,0.03,0.0,0.012,0.023
02-15,0.035,0.0,0.0,0.07
02-16,0.035,0.0,0.0,0.088
02-17,0.035,0.0,0.0,0.033
02-18,0.03,0.0,0.0,0.037
02-19,0.03,0.0,0.0,0.097
02-20,0.035,0.0,0.0,0.405
02-21,0.04,0.0,0.0,0.466
02-22,0.035,0.0,0.0,0.739
02-23,0.035,0.0,0.0,0.889
02-24,0.03,0.0,0.0,0.988
02-25,0.03,0.0,0.0,1.0
02-26,0.035,0.0,0.0,0.684
02-27,0.035,0.0,0.0,0.645
02-28,0.05,0.0,0.0,0.351
03-01,0.05,-0.001,-0.025,0.143
03-02,0.045,-0.001,-0.03,0.254
03-03,0.06,-0.001,-0.035,0.267
03-04,0.06,-0.001,-0.039,0.234
03-05,0.07,-0.001,-0.053,0.103
03-06,0.079,-0.002,-0.07,0.103
03-07,0.074,-0.002,-0.074,0.128
03-08,0.074,-0.002,-0.07,0.159
03-09,0.07,-0.001,-0.053,0.204
03-10,0.07,-0.001,-0.053,0.225
03-11,0.074,-0.001,-0.055,0.217
03-12,0.074,-0.002,-0.07,0.134
03-13,0.084,-0.002,-0.099,0.106
03-14,0.094,-0.003,-0.115,0.129
03-15,0.089,-0.002,-0.099,0.09
03-16,0.098,-0.003,-0.117,0.005
03-17,0.094,-0.002,-0.097,0.007
03-18,0.104,-0.002,-0.105,0.007
03-19,0.119,-0.002,-0.1,0.013
03-20,0.113,-0.003,-0.133,0.034
03-21,0.134,-0.004,-0.153,0.036
03-22,0.133,-0.003,-0.14,0.042
03-23,0.148,-0.004,-0.156,0.087
03-24,0.153,-0.005,-0.194,0.075
03-25,0.217,-0.006,-0.24,0.049
03-26,0.368,-0.005,-0.201,0.087
03-27,0.343,-0.004,-0.168,0.154
03-28,0.328,-0.003,-0.129,0.278
03-29,0.324,-0.003,-0.135,0.252
03-30,0.6,-0.01,-0.432,0.073
03-31,0.574,-0.012,-0.498,0.023
04-01,0.842,-0.015,-0.644,0.011
04-02,0.854,-0.012,-0.514,0.027
04-03,0.976,-0.01,-0.407,0.109
04-04,0.912,-0.006,-0.252,0.284
04-05,0.888,-0.005,-0.223,0.407
04-06,0.853,-0.003,-0.146,0.547
04-07,0.89,0.0,0.0,0.983
04-08,0.765,0.0,0.0,1.0
04-09,0.865,0.0,0.0,0.966
