,mean,slp,chg,pvalue
0,14.621,0.292,12.254,0.0
1,15.269,0.198,8.312,0.0
2,14.627,0.214,9.0,0.02
3,13.592,0.213,8.937,0.0
4,14.399,0.188,7.904,0.0
5,15.651,0.201,8.433,0.0
6,14.922,0.164,6.87,0.0
7,14.289,0.158,6.646,0.0
8,13.512,0.162,6.825,0.001
9,13.054,0.188,7.91,0.0
10,13.895,0.17,7.14,0.0
11,14.311,0.292,12.264,0.0
12,13.696,0.332,13.948,0.0
13,13.633,0.326,13.712,0.001
14,13.532,0.263,11.06,0.0
15,13.294,0.239,10.02,0.0
16,13.759,0.269,11.28,0.0
17,13.599,0.259,10.881,0.0
18,14.035,0.25,10.485,0.0
19,13.413,0.226,9.492,0.0
20,12.836,0.193,8.089,0.0
21,12.414,0.177,7.425,0.0
22,12.056,0.173,7.275,0.0
23,11.585,0.19,7.98,0.0
24,12.974,0.249,10.459,0.0
25,13.311,0.222,9.316,0.0
26,12.411,0.222,9.31,0.0
27,11.53,0.189,7.929,0.0
28,12.308,0.185,7.761,0.0
29,11.648,0.176,7.375,0.0
30,11.648,0.176,7.396,0.0
31,10.943,0.176,7.412,0.0
32,11.686,0.111,4.673,0.0
33,12.063,0.076,3.192,0.182
34,11.496,0.071,2.988,0.139
35,11.154,0.068,2.85,0.002
36,11.418,0.087,3.645,0.0
37,11.186,0.093,3.9,0.0
38,10.373,0.085,3.586,0.0
39,9.862,0.085,3.571,0.0
40,9.575,0.08,3.374,0.0
41,9.499,0.087,3.654,0.002
42,10.033,0.085,3.57,0.014
43,10.58,0.072,3.015,0.007
44,10.112,0.074,3.124,0.018
45,10.486,0.062,2.59,0.033
46,10.67,0.059,2.481,0.237
47,10.246,0.083,3.48,0.001
48,10.139,0.068,2.856,0.014
49,11.37,0.071,2.979,0.0
50,10.456,0.062,2.598,0.03
51,11.05,0.051,2.135,0.254
52,11.187,0.044,1.828,0.227
53,11.888,-0.003,-0.109,0.862
54,11.701,0.001,0.06,0.931
55,11.342,0.013,0.543,0.62
56,10.797,0.024,1.02,0.513
57,10.525,0.05,2.118,0.145
58,10.228,0.075,3.137,0.01
59,9.972,0.086,3.595,0.0
60,10.066,0.072,3.006,0.006
61,10.746,0.041,1.74,0.12
62,10.563,0.077,3.22,0.005
63,10.892,0.075,3.136,0.01
64,11.667,0.065,2.73,0.228
65,11.288,0.077,3.225,0.149
66,12.811,0.073,3.06,0.192
67,14.828,0.085,3.58,0.015
68,18.173,0.127,5.32,0.009
69,17.703,0.145,6.09,0.001
70,19.054,0.157,6.611,0.001
71,19.052,0.214,8.978,0.002
72,19.422,0.214,9.0,0.001
73,20.148,0.195,8.177,0.001
74,23.204,0.247,10.395,0.001
75,20.776,0.153,6.426,0.006
76,18.149,0.159,6.678,0.001
77,19.682,0.024,1.027,0.647
78,19.467,-0.037,-1.536,0.631
79,19.457,0.034,1.416,0.532
80,18.916,0.053,2.235,0.261
81,20.251,0.093,3.898,0.092
82,19.602,0.034,1.428,0.731
83,20.028,-0.012,-0.517,0.958
84,20.54,-0.071,-2.973,0.508
85,25.782,-0.256,-10.745,0.005
86,28.546,-0.357,-15.009,0.002
87,32.797,-0.347,-14.56,0.012
88,33.464,-0.421,-17.673,0.001
89,34.601,-0.418,-17.56,0.0
90,35.799,-0.283,-11.891,0.053
91,39.684,-0.163,-6.851,0.192
92,36.644,-0.011,-0.451,1.0
93,34.777,-0.065,-2.746,0.714
94,37.472,-0.325,-13.637,0.012
95,40.894,-0.563,-23.645,0.066
96,41.789,-0.472,-19.81,0.029
97,44.248,-0.084,-3.515,0.54
98,48.898,-0.126,-5.273,0.458
99,56.754,-0.262,-11.014,0.229
100,57.572,-0.036,-1.496,0.902
101,54.502,0.044,1.831,0.805
102,53.934,0.618,25.964,0.0
103,54.877,1.083,45.469,0.0
104,50.809,0.878,36.894,0.0
105,56.564,0.778,32.697,0.0
106,70.95,0.689,28.958,0.0
107,67.142,0.425,17.835,0.001
108,65.254,0.339,14.238,0.002
109,59.266,0.523,21.969,0.021
110,65.023,0.424,17.827,0.152
111,70.054,0.307,12.9,0.031
112,65.406,0.631,26.493,0.005
113,69.93,0.34,14.263,0.17
114,70.072,0.063,2.637,0.839
115,72.548,0.206,8.648,0.524
116,64.922,0.235,9.869,0.619
117,61.754,0.118,4.966,0.424
118,57.403,-0.093,-3.92,0.579
119,54.786,-0.227,-9.534,0.309
120,63.164,-0.181,-7.62,0.418
121,70.047,0.014,0.588,0.925
122,74.972,0.516,21.667,0.002
123,66.73,0.45,18.9,0.02
124,62.281,0.612,25.7,0.0
125,61.12,0.262,10.985,0.134
126,56.614,0.027,1.152,0.825
127,54.636,0.031,1.307,0.579
128,53.245,0.081,3.39,0.654
129,51.592,0.174,7.302,0.095
130,51.15,0.131,5.493,0.22
131,50.375,0.0,0.0,0.967
132,44.652,-0.126,-5.273,0.263
133,41.397,-0.127,-5.316,0.096
134,40.79,0.07,2.94,0.327
135,42.89,0.31,13.034,0.003
136,37.515,0.32,13.44,0.0
137,37.031,0.192,8.048,0.038
138,35.43,0.109,4.587,0.246
139,38.743,0.226,9.506,0.014
140,34.026,0.132,5.53,0.021
141,35.145,0.11,4.632,0.081
142,32.491,0.172,7.23,0.01
143,30.923,0.146,6.12,0.086
144,32.552,0.013,0.565,0.859
145,30.622,0.113,4.749,0.148
146,33.474,0.157,6.611,0.024
147,32.823,0.276,11.612,0.004
148,30.059,0.398,16.716,0.098
149,27.084,0.337,14.167,0.056
150,25.635,0.14,5.88,0.376
151,26.13,0.142,5.945,0.214
152,25.04,0.051,2.142,0.848
153,23.38,0.061,2.567,0.508
154,21.066,0.042,1.756,0.547
155,20.873,0.005,0.209,0.847
156,20.902,0.113,4.764,0.04
157,22.248,0.094,3.955,0.002
158,19.945,0.08,3.36,0.094
159,18.33,0.01,0.42,0.929
160,20.836,-0.018,-0.767,0.563
161,19.55,0.099,4.153,0.034
162,18.853,0.126,5.312,0.028
163,19.944,0.129,5.409,0.038
164,20.615,0.171,7.168,0.002
165,18.526,0.153,6.412,0.007
166,16.666,0.112,4.712,0.011
167,15.469,0.088,3.696,0.009
168,15.436,0.112,4.704,0.006
169,14.82,0.15,6.316,0.0
170,13.528,0.115,4.846,0.005
171,14.431,0.033,1.382,0.376
172,13.943,0.037,1.54,0.339
173,13.84,0.001,0.039,0.977
174,12.737,0.113,4.76,0.002
175,14.246,0.08,3.381,0.05
176,14.414,0.167,7.035,0.045
177,13.654,0.108,4.542,0.067
178,13.739,0.167,7.025,0.003
179,14.876,0.292,12.246,0.0
180,15.185,0.34,14.28,0.0
181,15.083,0.287,12.04,0.003
182,14.45,0.29,12.18,0.017
183,12.528,0.207,8.674,0.019
184,12.852,0.174,7.32,0.004
185,12.478,0.134,5.637,0.006
186,12.344,0.068,2.842,0.039
187,11.899,0.058,2.456,0.031
188,11.497,0.064,2.684,0.002
189,11.738,0.105,4.423,0.003
190,11.228,0.127,5.335,0.0
191,12.447,0.155,6.51,0.0
192,11.138,0.196,8.225,0.003
193,9.757,0.154,6.45,0.001
194,9.61,0.15,6.3,0.0
195,9.464,0.168,7.056,0.0
196,9.652,0.144,6.067,0.0
197,8.888,0.117,4.896,0.0
198,9.337,0.134,5.618,0.0
199,9.837,0.174,7.296,0.0
200,9.22,0.159,6.683,0.0
201,9.945,0.09,3.792,0.001
202,10.924,0.057,2.391,0.013
203,10.874,0.099,4.157,0.003
204,10.098,0.186,7.829,0.0
205,9.78,0.18,7.56,0.0
206,9.328,0.144,6.067,0.0
207,9.434,0.078,3.284,0.002
208,9.293,0.077,3.22,0.035
209,9.493,0.056,2.352,0.145
210,8.87,0.049,2.058,0.029
211,8.444,0.049,2.065,0.006
212,8.712,0.022,0.937,0.457
213,8.535,0.03,1.26,0.084
214,8.477,0.034,1.428,0.17
215,8.294,0.057,2.385,0.146
216,8.282,0.095,3.991,0.006
217,8.326,0.073,3.06,0.003
218,8.022,0.052,2.205,0.078
219,7.858,0.065,2.731,0.002
220,8.037,0.054,2.268,0.023
221,7.89,0.021,0.893,0.433
222,7.733,0.018,0.751,0.182
223,8.465,0.009,0.397,0.343
224,9.579,0.027,1.152,0.328
225,9.352,0.023,0.969,0.232
226,9.582,0.006,0.233,0.786
227,8.576,0.031,1.297,0.36
228,7.895,0.031,1.284,0.109
229,7.534,0.039,1.622,0.016
230,7.729,0.008,0.336,0.784
231,8.012,0.003,0.133,0.83
232,7.405,0.008,0.355,0.797
233,8.206,0.083,3.465,0.001
234,7.795,0.109,4.58,0.0
235,7.393,0.046,1.952,0.004
236,7.424,-0.003,-0.117,0.947
237,7.967,0.005,0.204,0.868
238,8.234,-0.031,-1.299,0.339
239,7.561,-0.018,-0.764,0.608
240,7.171,0.021,0.881,0.585
241,6.919,0.028,1.184,0.316
242,6.728,-0.013,-0.56,0.786
243,6.556,-0.019,-0.779,0.398
244,6.802,-0.015,-0.621,0.667
245,6.84,-0.01,-0.402,0.854
246,8.082,0.035,1.485,0.023
247,6.923,0.036,1.496,0.06
248,7.158,0.016,0.68,0.617
249,7.625,0.0,0.0,1.0
250,7.14,-0.01,-0.4,0.753
251,7.31,-0.011,-0.457,0.815
252,7.226,-0.009,-0.377,0.714
253,7.244,-0.001,-0.042,0.942
254,7.331,0.032,1.324,0.177
255,6.817,0.025,1.036,0.443
256,6.66,0.02,0.827,0.315
257,6.873,-0.004,-0.18,0.888
258,7.89,-0.072,-3.005,0.004
259,7.849,-0.062,-2.604,0.019
260,7.004,-0.032,-1.354,0.078
261,6.322,-0.035,-1.483,0.166
262,6.276,-0.038,-1.586,0.077
263,6.404,-0.042,-1.75,0.005
264,6.81,-0.078,-3.293,0.0
265,6.508,-0.085,-3.556,0.0
266,6.447,-0.096,-4.032,0.0
267,6.632,-0.065,-2.749,0.007
268,6.724,-0.053,-2.215,0.015
