,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.033294117647058814,-63.390335294117634,6.945783218936796e-05,3.0,43.0,1.398,0.331,2.499,3.897
01-02,0.023772,-43.9782,0.0008856559988901225,3.0,43.0,0.998,0.199,3.067,4.065
01-03,0.027120833333333334,-50.845666666666666,0.010715592775170979,2.0,43.0,1.14,0.216,2.826,3.966
01-04,0.022639999999999993,-41.742499999999986,0.025165250629945568,2.0,43.0,0.951,0.177,3.062,4.013
01-05,0.008254166666666674,-12.829333333333349,0.3298221754414672,0.0,43.0,0.346,0.071,3.506,3.852
01-06,0.00902062499999999,-14.503749999999979,0.17553383147645896,0.0,43.0,0.379,0.089,3.348,3.727
01-07,0.011710344827586204,-19.798289655172407,0.19557508988740335,0.0,43.0,0.492,0.121,3.376,3.868
01-08,0.005660000000000007,-7.810800000000015,0.41470010344145525,0.0,43.0,0.238,0.048,3.39,3.628
01-09,-0.002476250000000013,8.405100000000026,0.7887739276062053,-0.0,43.0,-0.104,-0.021,3.505,3.401
01-10,0.0033690476190476235,-3.257195238095247,0.71794012580166,0.0,43.0,0.142,0.034,3.41,3.552
01-11,0.0,3.5658,0.9655207847123581,0.0,43.0,0.0,0.0,3.566,3.566
01-12,0.022993750000000007,-41.912300000000016,0.0013384322773883905,3.0,43.0,0.966,0.195,3.592,4.558
01-13,0.015238461538461551,-26.826223076923103,0.01144923009508858,2.0,43.0,0.64,0.121,3.331,3.971
01-14,0.008578437500000008,-13.845775000000016,0.16471076281739538,0.0,43.0,0.36,0.088,3.131,3.491
01-15,0.009433333333333306,-15.357466666666614,0.2024654004901365,0.0,43.0,0.396,0.095,3.311,3.707
01-16,0.010612499999999997,-17.65919999999999,0.3339201292704279,0.0,43.0,0.446,0.099,3.343,3.789
01-17,0.008150399999999997,-12.819899999999992,0.1757824019240659,0.0,43.0,0.342,0.078,3.31,3.652
01-18,0.023549642857142856,-43.78818571428571,0.007775508654705332,3.0,43.0,0.989,0.209,2.817,3.806
01-19,0.011117857142857132,-18.754814285714264,0.19790491613654204,0.0,43.0,0.467,0.072,3.247,3.714
01-20,0.00643181818181817,-9.41103636363634,0.49646212198503425,0.0,43.0,0.27,0.039,3.318,3.588
01-21,-0.005659999999999998,14.574499999999997,0.5906601574076127,-0.0,43.0,-0.237,-0.04,3.373,3.136
01-22,-0.006226000000000021,15.53670000000004,0.712420979268845,-0.0,43.0,-0.261,-0.054,3.215,2.954
01-23,-0.006517575757575756,16.20475151515151,0.6594308166133542,-0.0,43.0,-0.273,-0.067,3.306,3.033
01-24,-0.005660000000000013,14.999000000000025,0.3660981333941544,-0.0,43.0,-0.238,-0.043,3.798,3.56
01-25,0.002829999999999977,-1.8111999999999542,0.9155195696552996,0.0,43.0,0.119,0.017,3.789,3.908
01-26,-0.01462166666666668,32.63933333333336,0.23143122162222296,-0.0,43.0,-0.614,-0.098,3.703,3.089
01-27,-0.01061249999999997,24.50779999999994,0.455900656392366,-0.0,43.0,-0.446,-0.086,3.506,3.06
01-28,-0.006980666666666658,17.102633333333316,0.5974297496077181,-0.0,43.0,-0.293,-0.058,3.288,2.995
01-29,0.0,3.3111,1.0,0.0,43.0,0.0,0.0,3.311,3.311
01-30,0.0,2.9715,1.0,0.0,43.0,0.0,0.0,2.972,2.972
01-31,-0.012128571428571414,27.39844285714283,0.05302797421074956,-1.0,43.0,-0.509,-0.135,3.396,2.887
02-01,-0.003678999999999988,10.753999999999976,0.6846913167141424,-0.0,43.0,-0.154,-0.042,3.473,3.319
02-02,-0.0014894736842105143,6.403247368421029,0.9062698934286577,-0.0,43.0,-0.063,-0.015,3.456,3.393
02-03,-0.011859047619047616,27.397095238095233,0.3690804178126106,-0.0,43.0,-0.498,-0.106,3.928,3.43
02-04,-0.009988235294117645,23.34417058823529,0.06319618467529686,-1.0,43.0,-0.419,-0.088,3.577,3.158
02-05,0.005224615384615383,-6.968330769230765,0.3962532651522508,0.0,43.0,0.22,0.045,3.371,3.591
02-06,0.016036666666666654,-28.47923333333331,0.07850901496140539,1.0,43.0,0.674,0.127,3.257,3.931
02-07,0.030068749999999977,-56.62829999999996,0.0017602815322967924,3.0,43.0,1.263,0.244,2.878,4.141
02-08,0.0385909090909091,-73.7009181818182,1.5604345363851024e-05,3.0,43.0,1.621,0.365,2.67,4.291
02-09,0.03805862068965518,-72.69294137931035,1.7268964036531997e-10,3.0,43.0,1.599,0.413,2.625,4.224
02-10,0.026810526315789465,-50.36655263157893,1.0059648047899827e-07,3.0,43.0,1.127,0.311,2.691,3.818
02-11,0.026885000000000003,-50.374,0.0002808621543832768,3.0,43.0,1.13,0.29,2.831,3.961
02-12,0.008782758620689661,-13.943117241379321,0.4660312428332207,0.0,43.0,0.369,0.073,3.438,3.807
02-13,0.01117105263157895,-18.6065052631579,0.32507974167053044,0.0,43.0,0.469,0.092,3.501,3.97
02-14,0.022235714285714296,-40.87732857142859,0.014798327453030113,2.0,43.0,0.934,0.191,3.127,4.061
02-15,0.024762500000000003,-46.015800000000006,0.0012518530585208243,3.0,43.0,1.04,0.23,2.989,4.029
02-16,0.035375000000000045,-66.98610000000009,8.082036000445214e-07,3.0,43.0,1.486,0.314,3.021,4.507
02-17,0.03032142857142858,-56.935557142857164,0.013144134190286483,2.0,43.0,1.273,0.245,3.071,4.344
02-18,0.02315454545454547,-42.65839090909094,0.0003005295405953401,3.0,43.0,0.973,0.218,3.164,4.137
02-19,0.013139285714285718,-22.542971428571434,0.09394214161110637,1.0,43.0,0.552,0.121,3.46,4.012
02-20,-0.004851428571428558,13.438457142857116,0.501832596670551,-0.0,43.0,-0.203,-0.047,3.837,3.634
02-21,-0.01886666666666666,41.299133333333316,0.001968194054139616,-3.0,43.0,-0.792,-0.174,3.962,3.17
02-22,-0.018395000000000005,40.38410000000001,0.017091561036090663,-2.0,43.0,-0.772,-0.146,3.98,3.208
02-23,-0.016589655172413797,36.68851034482759,0.007020792624899963,-3.0,43.0,-0.697,-0.117,3.858,3.161
02-24,-0.02201111111111108,47.89932222222215,0.022772545613250816,-2.0,43.0,-0.924,-0.12,4.339,3.415
02-25,0.0,3.7073,0.9681291304752517,0.0,43.0,0.0,0.0,3.707,3.707
02-26,0.014621666666666663,-25.620933333333326,0.26214638206048235,0.0,43.0,0.614,0.088,3.315,3.929
02-27,0.03516060606060606,-66.64221212121213,0.024255501113498834,2.0,43.0,1.476,0.297,2.941,4.417
02-28,0.025941666666666658,-48.26093333333332,0.0106844381723461,2.0,43.0,1.089,0.26,3.078,4.167
