,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0015050454545454547,3.151590909090909,0.05362777963648746,-1.0,43.0,-0.063,-0.341,0.173,0.11
01-02,-0.0017451666666666711,3.6233433333333425,0.011651348995080912,-2.0,43.0,-0.074,-0.416,0.17,0.096
01-03,-0.0015250555555555603,3.1715181111111206,0.029690170029161633,-2.0,43.0,-0.064,-0.363,0.153,0.089
01-04,-0.0011724285714285565,2.472207142857113,0.06581428944971668,-1.0,43.0,-0.049,-0.274,0.152,0.103
01-05,-0.0010335652173913026,2.198725434782605,0.059788251825215966,-1.0,43.0,-0.043,-0.248,0.153,0.11
01-06,-0.001722608695652174,3.5867173913043477,0.009353394889275668,-3.0,43.0,-0.073,-0.395,0.178,0.105
01-07,-0.0016722727272727319,3.5086854545454638,0.004171087037426968,-3.0,43.0,-0.07,-0.379,0.199,0.129
01-08,-0.0011909583333333336,2.551716666666667,0.06206262956260589,-1.0,43.0,-0.05,-0.275,0.195,0.145
01-09,-0.0014739583333333375,3.1177166666666754,0.0794961427062395,-1.0,43.0,-0.062,-0.329,0.201,0.139
01-10,-0.0012451999999999997,2.6375599999999992,0.10789937104667602,-0.0,43.0,-0.052,-0.259,0.173,0.121
01-11,-0.0017527741935483869,3.683838387096774,0.027506093655773167,-2.0,43.0,-0.074,-0.391,0.215,0.141
01-12,-0.001874875000000012,3.947850000000024,0.028043554320746233,-2.0,43.0,-0.078,-0.404,0.237,0.159
01-13,-0.002490399999999996,5.170126999999992,0.0004173553818445086,-3.0,43.0,-0.105,-0.521,0.242,0.137
01-14,-0.002572727272727282,5.320914545454563,0.0012840111073437743,-3.0,43.0,-0.108,-0.54,0.229,0.121
01-15,-0.002829999999999999,5.826969999999998,0.002079741605168106,-3.0,43.0,-0.118,-0.587,0.226,0.108
01-16,-0.0022748846153846113,4.699759230769223,0.0055200694508708015,-3.0,43.0,-0.096,-0.504,0.198,0.102
01-17,-0.0019895757575757607,4.129707515151521,0.01773611824618193,-2.0,43.0,-0.083,-0.459,0.192,0.109
01-18,-0.002153944444444449,4.455048888888898,0.0011907410886571324,-3.0,43.0,-0.09,-0.488,0.192,0.102
01-19,-0.0023268888888888905,4.806597777777781,0.0017947160084093028,-3.0,43.0,-0.098,-0.518,0.202,0.104
01-20,-0.0019259722222222224,4.013254444444445,0.008534153307047543,-3.0,43.0,-0.081,-0.416,0.202,0.121
01-21,-0.0011791666666666667,2.5111533333333336,0.05442958832194811,-1.0,43.0,-0.05,-0.277,0.178,0.128
01-22,-0.0013179714285714314,2.782253857142863,0.03730526870786588,-2.0,43.0,-0.055,-0.315,0.174,0.119
01-23,-0.0016665555555555555,3.4915911111111106,0.014133410486619757,-2.0,43.0,-0.07,-0.382,0.193,0.123
01-24,-0.0020107894736842106,4.177228947368421,0.008883450393803782,-3.0,43.0,-0.085,-0.451,0.198,0.113
01-25,-0.0018866666666666754,3.9233233333333506,0.0023726743520569027,-3.0,43.0,-0.08,-0.455,0.19,0.11
01-26,-0.0019976470588235354,4.153774117647071,0.011977720518391077,-2.0,43.0,-0.083,-0.45,0.2,0.117
01-27,-0.0017263,3.61391,0.04661553034649146,-2.0,43.0,-0.073,-0.383,0.198,0.125
01-28,-0.0014149999999999996,3.0054599999999994,0.05289024523761032,-1.0,43.0,-0.059,-0.333,0.205,0.146
01-29,-0.0018258064516129032,3.8299029032258063,0.0335048557353117,-2.0,43.0,-0.077,-0.427,0.217,0.14
01-30,-0.00237405555555555,4.9348911111111,0.025972350580155457,-2.0,43.0,-0.1,-0.54,0.237,0.137
01-31,-0.0018111999999999996,3.814839999999999,0.028285394814861586,-2.0,43.0,-0.076,-0.418,0.23,0.154
02-01,-0.0018552222222222184,3.8802444444444366,0.030682413850074086,-2.0,43.0,-0.078,-0.425,0.209,0.131
02-02,-0.0023401923076923075,4.836034615384615,0.0019355633359876556,-3.0,43.0,-0.098,-0.56,0.205,0.107
02-03,-0.001591875000000003,3.347890000000006,0.002712289295043524,-3.0,43.0,-0.067,-0.393,0.198,0.131
02-04,-0.001485749999999997,3.129979999999994,0.00280894934824083,-3.0,43.0,-0.063,-0.377,0.19,0.127
02-05,-0.0017687499999999943,3.6874899999999884,0.0007190896495696819,-3.0,43.0,-0.074,-0.432,0.187,0.113
02-06,-0.0018866666666666615,3.9233233333333226,0.012396312052136427,-2.0,43.0,-0.08,-0.455,0.19,0.11
02-07,-0.0014674074074074038,3.0932948148148074,0.04529949983439918,-2.0,43.0,-0.061,-0.344,0.189,0.128
02-08,-0.0018094848484848456,3.7887696969696916,0.04939637956723453,-2.0,43.0,-0.076,-0.408,0.208,0.132
02-09,-0.001768749999999997,3.698809999999994,0.00995294691710158,-3.0,43.0,-0.074,-0.397,0.198,0.124
02-10,-0.0015722222222222188,3.3049054444444375,0.008919250119935995,-3.0,43.0,-0.066,-0.348,0.193,0.127
02-11,-0.0017788571428571428,3.7142132857142856,0.000897247253752731,-3.0,43.0,-0.075,-0.39,0.194,0.119
02-12,-0.001886666666666677,3.943133333333354,0.000733393325672349,-3.0,43.0,-0.079,-0.409,0.209,0.13
02-13,-0.0023394666666666673,4.845903333333335,1.813329346855852e-05,-3.0,43.0,-0.098,-0.484,0.216,0.118
02-14,-0.002872878787878788,5.924047575757576,0.00015042280188448665,-3.0,43.0,-0.121,-0.542,0.239,0.118
02-15,-0.003010090909090914,6.206961818181828,0.0002347435578025081,-3.0,43.0,-0.126,-0.539,0.25,0.124
02-16,-0.0028557272727272732,5.8954045454545465,0.00017006156621190982,-3.0,43.0,-0.12,-0.551,0.244,0.124
02-17,-0.003076086956521739,6.321973913043478,6.550804638738583e-07,-3.0,43.0,-0.129,-0.631,0.234,0.105
02-18,-0.003352461538461538,6.877270076923077,3.1463720517876936e-13,-3.0,43.0,-0.141,-0.745,0.243,0.102
02-19,-0.0033445454545454538,6.858890909090907,3.6231053712754147e-09,-3.0,43.0,-0.14,-0.689,0.24,0.1
02-20,-0.0028064166666666585,5.768483333333316,5.316222795315184e-09,-3.0,43.0,-0.118,-0.62,0.215,0.097
02-21,-0.002971499999999997,6.090159999999994,3.818845240033397e-10,-3.0,43.0,-0.125,-0.678,0.21,0.085
02-22,-0.0028466470588235297,5.834794117647059,1.1041123570976197e-10,-3.0,43.0,-0.119,-0.693,0.201,0.082
02-23,-0.002394615384615384,4.9412017692307675,2.7443479799771353e-07,-3.0,43.0,-0.1,-0.587,0.202,0.102
02-24,-0.0026460500000000005,5.447750000000001,6.796833791344881e-07,-3.0,43.0,-0.111,-0.619,0.211,0.1
02-25,-0.003360624999999999,6.874069999999999,3.012434746096915e-10,-3.0,43.0,-0.141,-0.795,0.223,0.082
02-26,-0.003070121212121212,6.293062424242423,4.845558909671865e-07,-3.0,43.0,-0.129,-0.696,0.217,0.088
02-27,-0.003113000000000002,6.378820000000005,5.185434925891741e-08,-3.0,43.0,-0.131,-0.668,0.218,0.087
02-28,-0.002440874999999995,5.051549999999991,1.2610930077983085e-08,-3.0,43.0,-0.102,-0.539,0.221,0.119
03-01,-0.0023583333333333325,4.876278666666665,1.6124079145196646e-06,-3.0,43.0,-0.099,-0.539,0.209,0.11
03-02,-0.0019592307692307687,4.082601538461537,5.773200168568415e-05,-3.0,43.0,-0.082,-0.432,0.205,0.123
03-03,-0.0022640000000000004,4.704875000000001,0.00010213306163753266,-3.0,43.0,-0.095,-0.495,0.224,0.129
03-04,-0.001886666666666666,3.9298323333333323,0.0005085565521647517,-3.0,43.0,-0.079,-0.419,0.196,0.117
03-05,-0.0021791000000000046,4.516680000000009,5.2198872853903566e-05,-3.0,43.0,-0.091,-0.467,0.204,0.113
03-06,-0.0016351111111110996,3.4287022222221992,0.005927279231726423,-3.0,43.0,-0.069,-0.342,0.193,0.124
03-07,-0.0017384285714285709,3.6409971428571417,0.006530876918702022,-3.0,43.0,-0.073,-0.336,0.201,0.128
03-08,-0.0018721538461538374,3.9282576923076746,0.0047967579096905855,-3.0,43.0,-0.078,-0.341,0.223,0.145
03-09,-0.0017404499999999989,3.6481529999999975,0.009945947879938188,-3.0,43.0,-0.073,-0.325,0.204,0.131
03-10,-0.0020581818181818175,4.286163636363635,0.0006222239769881899,-3.0,43.0,-0.086,-0.405,0.213,0.127
