,mean,slp,chg,pvalue
01-01,0.0,0.0,0.0,0.01
01-02,0.0,0.0,0.0,0.009
01-03,0.0,0.0,0.0,0.005
01-04,0.0,0.0,0.0,0.004
01-05,0.0,0.0,0.0,0.009
01-06,0.0,0.0,0.0,0.0
01-07,0.0,0.0,0.0,0.001
01-08,0.0,0.0,0.0,0.001
01-09,0.0,0.0,0.0,0.003
01-10,0.0,0.0,0.0,0.0
01-11,0.0,0.0,0.0,0.0
01-12,0.0,0.0,0.0,0.0
01-13,0.0,0.0,0.0,0.0
01-14,0.0,0.0,0.0,0.014
01-15,0.0,0.0,0.0,0.024
01-16,0.0,0.0,0.0,0.015
01-17,0.01,0.0,0.0,0.0
01-18,0.0,0.0,0.0,0.0
01-19,0.0,0.0,0.0,0.0
01-20,0.0,0.0,0.0,0.0
01-21,0.0,0.0,0.0,0.0
01-22,0.01,0.0,0.0,0.0
01-23,0.0,0.0,0.0,0.0
01-24,0.0,0.0,0.0,0.0
01-25,0.0,0.0,0.0,0.0
01-26,0.01,0.0,0.0,0.0
01-27,0.01,0.0,0.0,0.0
01-28,0.01,0.0,0.0,0.0
01-29,0.01,0.0,0.0,0.0
01-30,0.01,0.0,0.0,0.0
01-31,0.0,0.0,0.0,0.0
02-01,0.01,0.0,0.0,0.0
02-02,0.01,-0.0,-0.013,0.0
02-03,0.01,0.0,0.0,0.0
02-04,0.01,0.0,0.0,0.0
02-05,0.01,0.0,0.0,0.0
02-06,0.01,0.0,0.0,0.002
02-07,0.01,-0.0,-0.012,0.0
02-08,0.01,0.0,0.0,0.0
02-09,0.01,0.0,0.0,0.0
02-10,0.01,-0.0,-0.015,0.0
02-11,0.01,-0.0,-0.015,0.0
02-12,0.01,-0.0,-0.015,0.0
02-13,0.01,-0.0,-0.015,0.0
02-14,0.02,-0.0,-0.019,0.0
02-15,0.02,-0.0,-0.015,0.001
02-16,0.02,-0.0,-0.021,0.0
02-17,0.01,-0.001,-0.025,0.0
02-18,0.019,-0.001,-0.03,0.0
02-19,0.009,-0.001,-0.026,0.0
02-20,0.02,-0.001,-0.029,0.0
02-21,0.009,-0.001,-0.03,0.0
02-22,0.02,-0.001,-0.039,0.0
02-23,0.009,-0.001,-0.046,0.0
02-24,0.018,-0.002,-0.069,0.0
02-25,0.019,-0.001,-0.054,0.0
02-26,0.029,-0.001,-0.056,0.0
02-27,0.038,-0.002,-0.086,0.0
02-28,0.038,-0.002,-0.074,0.001
03-01,0.048,-0.002,-0.086,0.0
03-02,0.067,-0.003,-0.124,0.002
03-03,0.065,-0.005,-0.22,0.0
03-04,0.094,-0.006,-0.271,0.0
03-05,0.096,-0.004,-0.172,0.0
03-06,0.128,-0.002,-0.105,0.0
03-07,0.176,-0.003,-0.145,0.004
03-08,0.227,-0.013,-0.538,0.0
03-09,0.252,-0.018,-0.756,0.0
03-10,0.194,-0.017,-0.695,0.0
03-11,0.162,-0.017,-0.731,0.0
03-12,0.146,-0.014,-0.571,0.001
03-13,0.137,-0.013,-0.542,0.006
03-14,0.198,-0.011,-0.467,0.019
03-15,0.092,-0.008,-0.315,0.007
03-16,0.075,-0.005,-0.214,0.0
03-17,0.055,-0.005,-0.227,0.0
03-18,0.033,-0.007,-0.287,0.0
03-19,0.043,-0.007,-0.292,0.0
03-20,0.072,-0.009,-0.363,0.0
03-21,0.11,-0.01,-0.412,0.0
03-22,0.075,-0.006,-0.239,0.0
03-23,0.103,-0.007,-0.29,0.0
03-24,0.064,-0.006,-0.241,0.0
03-25,0.055,-0.005,-0.21,0.0
03-26,0.037,-0.003,-0.14,0.0
03-27,0.037,-0.003,-0.124,0.0
03-28,0.027,-0.003,-0.14,0.002
03-29,0.031,-0.009,-0.372,0.001
03-30,0.032,-0.008,-0.352,0.0
03-31,0.024,-0.006,-0.26,0.0
04-01,0.025,-0.005,-0.21,0.0
04-02,0.025,-0.005,-0.21,0.0
04-03,0.014,-0.006,-0.264,0.0
04-04,0.023,-0.007,-0.294,0.0
04-05,0.022,-0.008,-0.315,0.0
04-06,0.011,-0.009,-0.378,0.0
04-07,0.021,-0.009,-0.372,0.001
04-08,0.023,-0.007,-0.288,0.002
04-09,0.013,-0.007,-0.284,0.001
04-10,0.045,-0.006,-0.245,0.002
04-11,0.026,-0.004,-0.178,0.003
04-12,0.027,-0.004,-0.147,0.002
04-13,0.016,-0.005,-0.189,0.001
04-14,0.006,-0.004,-0.166,0.001
04-15,0.017,-0.003,-0.12,0.001
04-16,0.007,-0.003,-0.12,0.001
04-17,0.008,-0.002,-0.093,0.003
04-18,0.018,-0.002,-0.093,0.004
04-19,0.007,-0.003,-0.124,0.002
04-20,0.008,-0.002,-0.084,0.002
04-21,0.008,-0.002,-0.078,0.002
04-22,0.008,-0.002,-0.07,0.001
04-23,0.009,-0.001,-0.056,0.001
04-24,0.008,-0.002,-0.084,0.002
04-25,0.008,-0.002,-0.073,0.001
04-26,0.009,-0.001,-0.053,0.0
04-27,0.009,-0.001,-0.05,0.003
04-28,0.008,-0.002,-0.07,0.0
04-29,0.009,-0.001,-0.053,0.0
04-30,0.009,-0.001,-0.053,0.0
05-01,0.009,-0.001,-0.046,0.0
05-02,0.008,-0.001,-0.049,0.0
05-03,0.009,-0.001,-0.042,0.001
05-04,0.009,-0.001,-0.053,0.001
05-05,0.009,-0.001,-0.038,0.011
05-06,0.009,-0.001,-0.032,0.0
05-07,0.01,-0.001,-0.035,0.004
05-08,0.009,-0.001,-0.032,0.001
05-09,0.01,-0.001,-0.031,0.002
05-10,-0.0,-0.0,-0.021,0.013
05-11,0.01,-0.0,-0.017,0.043
05-12,0.01,-0.0,-0.019,0.037
05-13,0.0,-0.0,-0.02,0.018
05-14,0.01,-0.0,-0.02,0.02
05-15,-0.001,-0.0,-0.019,0.011
05-16,-0.001,-0.0,-0.019,0.007
05-17,0.0,0.0,0.0,0.034
05-18,0.0,0.0,0.0,0.021
05-19,0.0,0.0,0.0,0.014
05-20,-0.0,-0.0,-0.015,0.004
05-21,-0.001,-0.0,-0.019,0.0
05-22,-0.0,-0.0,-0.011,0.003
05-23,-0.0,-0.0,-0.015,0.005
05-24,-0.0,-0.0,-0.015,0.006
05-25,0.0,-0.0,-0.012,0.004
05-26,0.0,-0.0,-0.012,0.002
05-27,-0.0,-0.0,-0.015,0.001
05-28,-0.001,-0.001,-0.023,0.0
05-29,-0.0,-0.001,-0.021,0.0
05-30,-0.0,-0.0,-0.017,0.0
05-31,0.0,-0.0,-0.016,0.0
06-01,0.0,0.0,0.0,0.003
06-02,-0.0,-0.0,-0.011,0.001
06-03,0.0,0.0,0.0,0.007
06-04,0.0,0.0,0.0,0.009
06-05,0.0,0.0,0.0,0.005
06-06,0.0,0.0,0.0,0.007
06-07,0.0,0.0,0.0,0.005
06-08,0.0,0.0,0.0,0.0
06-09,0.0,0.0,0.0,0.006
06-10,0.0,0.0,0.0,0.018
06-11,0.0,0.0,0.0,0.017
06-12,0.0,0.0,0.0,0.02
06-13,0.0,0.0,0.0,0.024
06-14,0.0,0.0,0.0,0.025
06-15,0.0,0.0,0.0,0.025
06-16,0.0,0.0,0.0,0.025
06-17,0.0,0.0,0.0,0.028
06-18,0.0,0.0,0.0,0.032
06-19,0.0,0.0,0.0,0.032
06-20,0.0,0.0,0.0,0.027
06-21,0.0,0.0,0.0,0.03
06-22,0.0,0.0,0.0,0.021
06-23,0.0,0.0,0.0,0.03
06-24,0.0,0.0,0.0,0.028
06-25,0.0,0.0,0.0,0.027
06-26,0.0,0.0,0.0,0.027
06-27,0.0,0.0,0.0,0.04
06-28,0.0,0.0,0.0,0.001
06-29,0.0,0.0,0.0,0.011
06-30,0.0,0.0,0.0,0.051
07-01,0.0,0.0,0.0,0.063
07-02,0.0,0.0,0.0,0.063
07-03,0.0,0.0,0.0,0.068
07-04,0.0,0.0,0.0,0.047
07-05,0.0,0.0,0.0,0.023
07-06,0.0,0.0,0.0,0.061
07-07,0.0,0.0,0.0,0.003
07-08,0.0,0.0,0.0,0.001
07-09,0.0,0.0,0.0,0.0
07-10,0.0,0.0,0.0,0.003
07-11,0.0,0.0,0.0,0.039
07-12,0.0,0.0,0.0,0.818
07-13,0.0,0.0,0.0,0.597
07-14,0.0,0.0,0.0,1.0
07-15,0.0,0.0,0.0,0.73
07-16,0.0,0.0,0.0,0.004
07-17,0.0,0.0,0.0,0.0
07-18,0.0,0.0,0.0,0.051
07-19,0.0,0.0,0.0,0.037
07-20,0.0,0.0,0.0,0.239
07-21,0.0,0.0,0.0,0.148
07-22,0.0,0.0,0.0,0.383
07-23,0.0,0.0,0.0,0.78
07-24,0.0,0.0,0.0,0.433
07-25,0.0,0.0,0.0,0.241
07-26,0.0,0.0,0.0,0.736
07-27,0.0,0.0,0.0,0.267
07-28,0.0,0.0,0.0,0.061
07-29,0.0,0.0,0.0,0.723
07-30,0.0,0.0,0.0,0.119
07-31,0.0,0.0,0.0,0.347
