,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.007222222222222229,-12.859999900000014,0.4247141328771451,0.0,39.0,0.303,0.121,1.433,1.736
01-02,0.0037499962499999984,-6.022492507499996,0.730625969705007,0.0,39.0,0.157,0.069,1.399,1.556
01-03,0.007777777777777772,-13.860000099999988,0.44323230644134215,0.0,39.0,0.327,0.136,1.532,1.859
01-04,0.010571428571428574,-19.43171418571429,0.3825493268380884,0.0,39.0,0.444,0.196,1.489,1.933
01-05,0.009310348275862072,-16.88207585517242,0.19459429935247075,0.0,39.0,0.391,0.123,1.543,1.934
01-06,0.015238099999999996,-28.78572379999999,0.06433882712233241,1.0,39.0,0.64,0.248,1.37,2.01
01-07,0.015714285714285712,-29.777142857142852,0.020354593392362785,2.0,39.0,0.66,0.25,1.321,1.981
01-08,0.0035135135135135106,-5.409999999999994,0.6584912646559657,0.0,39.0,0.148,0.051,1.543,1.691
01-09,0.0022222222222222244,-2.9400000000000044,0.6560141628789875,0.0,39.0,0.093,0.035,1.458,1.551
01-10,0.007058823529411758,-12.703529411764693,0.17575158126609303,0.0,39.0,0.296,0.12,1.266,1.562
01-11,0.00751852,-13.49200296,0.48848147465890923,0.0,39.0,0.316,0.112,1.387,1.703
01-12,0.009375004999999992,-17.121259989999984,0.34584337967958234,0.0,39.0,0.394,0.109,1.432,1.826
01-13,0.017222233333333344,-32.860022200000024,0.21552552863461583,0.0,39.0,0.723,0.252,1.223,1.946
01-14,0.026071428571428572,-50.39071428571429,0.0051002525466326,3.0,39.0,1.095,0.484,1.205,2.3
01-15,0.0160000012,-30.4680023976,0.06792139619856541,1.0,39.0,0.672,0.281,1.196,1.868
01-16,0.0014687496874999997,-1.5345618756249995,0.36048768248654994,0.0,39.0,0.062,0.024,1.372,1.434
01-17,-0.0005263157894736846,2.301578947368422,0.8766495020489777,-0.0,39.0,-0.022,-0.009,1.26,1.238
01-18,-0.00476190952380952,10.834295328571422,0.299837578974695,-0.0,39.0,-0.2,-0.092,1.41,1.21
