,mean,slp,chg,pvalue
0,0.093,0.003,0.14,0.0
1,0.094,0.003,0.137,0.0
2,0.093,0.003,0.14,0.0
3,0.093,0.003,0.14,0.0
4,0.093,0.003,0.14,0.0
5,0.083,0.003,0.14,0.0
6,0.083,0.003,0.14,0.0
7,0.083,0.003,0.132,0.0
8,0.083,0.003,0.13,0.0
9,0.083,0.003,0.124,0.0
10,0.083,0.003,0.131,0.0
11,0.083,0.003,0.134,0.0
12,0.082,0.003,0.121,0.0
13,0.083,0.003,0.13,0.0
14,0.083,0.003,0.12,0.0
15,0.073,0.003,0.117,0.0
16,0.073,0.003,0.12,0.0
17,0.073,0.003,0.12,0.0
18,0.063,0.003,0.12,0.0
19,0.062,0.003,0.119,0.0
20,0.062,0.003,0.113,0.0
21,0.062,0.003,0.115,0.0
22,0.063,0.003,0.114,0.0
23,0.062,0.003,0.105,0.0
24,0.062,0.003,0.105,0.0
25,0.062,0.002,0.103,0.0
26,0.062,0.002,0.101,0.0
27,0.062,0.002,0.099,0.0
28,0.053,0.002,0.093,0.0
29,0.052,0.002,0.092,0.0
30,0.052,0.002,0.088,0.0
31,0.053,0.002,0.091,0.0
32,0.053,0.002,0.093,0.0
33,0.052,0.002,0.088,0.0
34,0.052,0.002,0.09,0.0
35,0.052,0.002,0.086,0.0
36,0.052,0.002,0.088,0.0
37,0.052,0.002,0.086,0.0
38,0.052,0.002,0.084,0.0
39,0.042,0.002,0.084,0.0
40,0.042,0.002,0.084,0.0
41,0.042,0.002,0.086,0.0
42,0.042,0.002,0.09,0.0
43,0.042,0.002,0.09,0.0
44,0.042,0.002,0.086,0.0
45,0.042,0.002,0.084,0.0
46,0.042,0.002,0.084,0.0
47,0.042,0.002,0.084,0.0
48,0.042,0.002,0.084,0.0
49,0.042,0.002,0.084,0.0
50,0.042,0.002,0.08,0.0
51,0.042,0.002,0.08,0.0
52,0.042,0.002,0.076,0.0
53,0.042,0.002,0.074,0.0
54,0.042,0.002,0.071,0.0
55,0.042,0.002,0.074,0.0
56,0.032,0.002,0.078,0.0
57,0.032,0.002,0.078,0.0
58,0.042,0.002,0.074,0.0
59,0.042,0.002,0.07,0.0
60,0.042,0.002,0.07,0.0
61,0.042,0.002,0.07,0.0
62,0.032,0.002,0.065,0.0
63,0.032,0.002,0.065,0.0
64,0.032,0.001,0.061,0.0
65,0.031,0.001,0.06,0.0
66,0.032,0.002,0.063,0.0
67,0.032,0.001,0.063,0.0
68,0.032,0.001,0.063,0.0
69,0.031,0.001,0.06,0.0
70,0.032,0.001,0.057,0.0
71,0.031,0.001,0.06,0.0
72,0.031,0.001,0.056,0.0
73,0.042,0.001,0.057,0.0
74,0.041,0.001,0.05,0.0
75,0.032,0.001,0.049,0.0
76,0.032,0.001,0.053,0.0
77,0.042,0.001,0.053,0.0
78,0.042,0.001,0.057,0.0
79,0.041,0.002,0.065,0.0
80,0.042,0.002,0.07,0.0
81,0.042,0.002,0.07,0.0
82,0.052,0.002,0.073,0.0
83,0.042,0.002,0.074,0.0
84,0.052,0.002,0.073,0.0
85,0.052,0.002,0.07,0.0
86,0.042,0.002,0.076,0.0
87,0.042,0.002,0.079,0.0
88,0.042,0.002,0.082,0.0
89,0.052,0.002,0.084,0.0
90,0.052,0.002,0.081,0.0
91,0.052,0.002,0.084,0.0
92,0.052,0.002,0.084,0.0
93,0.052,0.002,0.08,0.0
94,0.052,0.002,0.086,0.0
95,0.052,0.002,0.084,0.0
96,0.052,0.002,0.082,0.0
97,0.052,0.002,0.077,0.0
98,0.052,0.002,0.084,0.0
99,0.062,0.002,0.084,0.0
100,0.062,0.002,0.092,0.0
101,0.062,0.002,0.078,0.0
102,0.082,0.002,0.065,0.0
103,0.092,0.002,0.08,0.001
104,0.092,0.002,0.063,0.01
105,0.101,0.001,0.046,0.086
106,0.111,0.001,0.046,0.133
107,0.112,0.001,0.055,0.151
108,0.202,0.002,0.067,0.191
109,0.222,0.002,0.078,0.356
110,0.542,0.001,0.057,0.647
111,0.872,0.002,0.07,0.628
112,1.023,0.003,0.143,0.397
113,1.617,0.007,0.288,0.256
114,2.611,0.011,0.476,0.34
115,3.12,0.02,0.832,0.137
116,4.188,0.028,1.155,0.106
117,4.526,0.036,1.52,0.098
118,5.103,0.053,2.23,0.112
119,8.494,0.064,2.695,0.133
120,8.627,0.087,3.652,0.103
121,11.038,0.139,5.817,0.013
122,12.507,0.207,8.694,0.001
123,13.194,0.194,8.167,0.001
124,13.302,0.202,8.5,0.001
125,12.96,0.161,6.743,0.006
126,12.522,0.123,5.159,0.069
127,12.395,0.095,4.007,0.265
128,11.601,0.101,4.248,0.237
129,12.272,0.072,3.022,0.409
130,12.164,0.065,2.723,0.651
131,12.358,0.058,2.419,0.525
132,10.85,0.05,2.106,0.643
133,10.164,0.064,2.705,0.523
134,10.134,0.034,1.434,0.48
135,9.678,0.037,1.575,0.644
136,10.14,0.04,1.667,0.442
137,9.518,0.028,1.19,0.616
138,8.284,0.004,0.189,0.978
139,8.017,0.016,0.683,0.877
140,6.978,0.008,0.328,0.908
141,6.114,0.015,0.619,0.673
142,6.441,0.031,1.304,0.496
143,6.104,0.034,1.412,0.434
144,5.584,0.024,1.007,0.516
145,5.224,0.024,0.995,0.487
146,5.661,0.011,0.476,0.577
147,5.812,0.012,0.494,0.574
148,5.144,0.014,0.58,0.533
149,4.855,0.035,1.47,0.293
150,4.69,0.031,1.297,0.247
151,4.774,0.044,1.831,0.102
152,4.294,0.063,2.659,0.011
153,4.824,0.105,4.395,0.0
154,5.568,0.138,5.79,0.0
155,5.654,0.134,5.626,0.0
156,5.53,0.14,5.889,0.0
157,4.964,0.134,5.628,0.0
158,4.299,0.108,4.543,0.0
159,4.17,0.09,3.782,0.002
160,4.51,0.069,2.915,0.004
161,3.908,0.069,2.879,0.003
162,3.374,0.064,2.678,0.001
163,3.746,0.075,3.157,0.0
164,3.531,0.101,4.248,0.0
165,3.269,0.099,4.148,0.0
166,3.292,0.102,4.269,0.0
167,3.576,0.106,4.452,0.0
168,3.478,0.108,4.517,0.0
169,3.61,0.11,4.612,0.0
170,3.22,0.1,4.213,0.0
171,2.986,0.096,4.024,0.0
172,3.329,0.109,4.582,0.0
173,3.142,0.102,4.301,0.0
174,2.868,0.088,3.708,0.0
175,2.548,0.078,3.293,0.0
176,2.231,0.081,3.404,0.0
177,2.38,0.09,3.78,0.0
178,2.041,0.091,3.805,0.0
179,1.696,0.085,3.587,0.0
180,1.937,0.087,3.65,0.0
181,1.981,0.101,4.252,0.0
182,2.432,0.122,5.143,0.0
183,2.223,0.093,3.902,0.0
184,2.068,0.079,3.305,0.0
185,1.794,0.095,3.983,0.0
186,2.533,0.093,3.902,0.0
187,2.706,0.086,3.608,0.0
188,2.312,0.082,3.457,0.0
189,2.094,0.085,3.553,0.0
190,2.649,0.088,3.715,0.0
191,2.289,0.079,3.326,0.0
192,2.492,0.082,3.456,0.0
