,mean,slp,chg,pvalue
01-01,164.625,-0.75,-31.5,0.027
01-02,162.964,-0.786,-33.0,0.023
01-03,161.964,-0.786,-33.0,0.021
01-04,160.4,-0.8,-33.6,0.016
01-05,158.794,-0.824,-34.588,0.013
01-06,156.063,-0.875,-36.75,0.012
01-07,153.821,-0.929,-39.0,0.011
01-08,152.8,-0.933,-39.2,0.006
01-09,151.063,-0.875,-36.75,0.005
01-10,149.391,-0.913,-38.348,0.013
01-11,147.282,-0.938,-39.375,0.013
01-12,146.282,-0.938,-39.375,0.013
01-13,145.237,-0.947,-39.79,0.011
01-14,143.974,-0.895,-37.579,0.011
01-15,142.71,-0.842,-35.369,0.007
01-16,141.087,-0.87,-36.522,0.008
01-17,140.4,-0.8,-33.6,0.005
01-18,137.5,-0.778,-32.666,0.004
01-19,136.85,-0.7,-29.4,0.005
01-20,135.35,-0.7,-29.4,0.004
01-21,134.607,-0.643,-27.0,0.003
01-22,133.088,-0.647,-27.176,0.003
01-23,131.5,-0.667,-28.0,0.002
01-24,130.5,-0.667,-28.0,0.003
01-25,129.421,-0.684,-28.736,0.004
01-26,128.286,-0.714,-30.0,0.003
01-27,127.4,-0.8,-33.6,0.003
01-28,127.038,-0.769,-32.307,0.002
01-29,126.2,-0.733,-30.8,0.002
01-30,125.0,-0.667,-28.0,0.001
01-31,124.0,-0.667,-28.0,0.001
02-01,123.37,-0.696,-29.217,0.001
02-02,121.87,-0.696,-29.217,0.0
02-03,120.7,-0.733,-30.8,0.001
02-04,120.5,-0.667,-28.0,0.001
02-05,119.575,-0.65,-27.3,0.0
02-06,118.187,-0.625,-26.25,0.0
02-07,117.214,-0.619,-26.0,0.0
02-08,116.636,-0.636,-26.727,0.001
02-09,116.0,-0.667,-28.0,0.001
02-10,115.136,-0.636,-26.727,0.001
02-11,114.136,-0.636,-26.727,0.001
02-12,112.932,-0.682,-28.636,0.001
02-13,112.06,-0.653,-27.44,0.002
02-14,111.636,-0.636,-26.727,0.001
02-15,111.0,-0.667,-28.0,0.002
02-16,110.779,-0.605,-25.4,0.001
02-17,110.75,-0.5,-21.0,0.0
02-18,109.75,-0.5,-21.0,0.001
02-19,109.357,-0.476,-20.0,0.002
02-20,108.954,-0.455,-19.091,0.002
02-21,108.75,-0.5,-21.0,0.002
02-22,107.75,-0.5,-21.0,0.003
02-23,106.857,-0.476,-20.0,0.003
02-24,105.75,-0.5,-21.0,0.003
02-25,105.425,-0.461,-19.366,0.003
02-26,105.159,-0.409,-17.182,0.003
02-27,105.159,-0.409,-17.182,0.006
02-28,104.769,-0.385,-16.154,0.009
03-01,104.864,-0.364,-15.273,0.026
03-02,104.079,-0.316,-13.264,0.055
03-03,104.0,-0.333,-14.0,0.076
03-04,103.225,-0.283,-11.9,0.136
03-05,103.273,-0.273,-11.455,0.134
03-06,103.5,-0.222,-9.334,0.195
03-07,103.182,-0.182,-7.636,0.248
03-08,103.304,-0.155,-6.491,0.31
03-09,103.386,-0.136,-5.727,0.381
03-10,103.55,-0.1,-4.2,0.543
03-11,103.7,-0.067,-2.8,0.61
03-12,103.132,-0.082,-3.436,0.762
03-13,102.714,-0.064,-2.673,0.931
03-14,103.0,0.0,0.0,0.967
03-15,102.878,-0.027,-1.145,0.932
03-16,103.0,0.0,0.0,0.967
03-17,103.541,0.009,0.382,0.899
03-18,103.122,0.027,1.145,0.866
03-19,103.409,0.091,3.818,0.841
03-20,103.375,0.083,3.5,0.87
03-21,103.375,0.083,3.5,0.774
03-22,103.375,0.083,3.5,0.805
03-23,103.225,0.05,2.1,0.733
03-24,103.237,0.053,2.21,0.831
03-25,103.237,0.053,2.21,0.864
03-26,102.9,0.089,3.734,0.8
03-27,102.775,0.061,2.566,0.827
03-28,102.737,0.053,2.21,0.86
03-29,103.075,0.017,0.7,0.786
03-30,103.821,0.071,3.0,0.824
03-31,104.321,0.071,3.0,0.824
04-01,104.95,0.1,4.2,0.76
04-02,105.409,0.091,3.818,0.791
04-03,105.909,0.091,3.818,0.757
04-04,106.5,0.0,0.0,0.819
04-05,106.779,0.062,2.6,0.823
04-06,107.0,0.0,0.0,0.892
04-07,108.409,0.091,3.818,0.759
04-08,109.055,0.123,5.18,0.7
04-09,110.643,0.143,6.0,0.702
04-10,112.152,0.145,6.083,0.672
04-11,113.25,0.167,7.0,0.677
04-12,114.636,0.141,5.938,0.584
04-13,115.143,0.143,6.0,0.472
04-14,115.62,0.138,5.793,0.586
04-15,116.143,0.143,6.0,0.453
04-16,116.574,0.128,5.358,0.481
04-17,117.192,0.154,6.461,0.567
04-18,117.844,0.188,7.875,0.519
04-19,118.4,0.2,8.4,0.526
04-20,118.692,0.154,6.461,0.415
04-21,119.643,0.143,6.0,0.468
04-22,120.063,0.125,5.25,0.496
04-23,120.75,0.167,7.0,0.569
04-24,121.21,0.158,6.631,0.647
04-25,121.966,0.103,4.345,0.821
04-26,123.429,0.095,4.0,0.854
04-27,124.202,0.045,1.883,0.884
04-28,124.5,0.0,0.0,0.971
04-29,125.236,-0.059,-2.471,0.803
04-30,124.857,-0.143,-6.0,0.708
05-01,125.454,-0.121,-5.091,0.576
05-02,125.714,-0.286,-12.0,0.402
05-03,125.2,-0.4,-16.8,0.246
05-04,126.454,-0.455,-19.091,0.16
05-05,127.25,-0.5,-21.0,0.135
05-06,127.5,-0.556,-23.334,0.073
05-07,127.8,-0.6,-25.2,0.088
05-08,128.5,-0.667,-28.0,0.067
05-09,129.3,-0.6,-25.2,0.038
05-10,131.8,-0.6,-25.2,0.048
05-11,135.932,-0.682,-28.636,0.063
05-12,138.318,-0.818,-34.364,0.04
05-13,140.143,-0.857,-36.0,0.061
05-14,141.21,-0.842,-35.369,0.034
05-15,144.029,-0.882,-37.059,0.016
05-16,146.05,-1.1,-46.2,0.018
05-17,146.569,-1.207,-50.69,0.015
05-18,146.714,-1.286,-54.0,0.009
05-19,148.5,-1.333,-56.0,0.006
05-20,150.342,-1.368,-57.474,0.009
05-21,152.75,-1.5,-63.0,0.008
05-22,155.904,-1.577,-66.231,0.004
05-23,159.731,-1.615,-67.846,0.001
05-24,163.875,-1.583,-66.5,0.001
05-25,167.25,-1.5,-63.0,0.001
05-26,173.666,-1.296,-54.445,0.003
05-27,178.179,-1.071,-45.0,0.008
05-28,181.357,-1.143,-48.0,0.013
05-29,186.0,-1.0,-42.0,0.038
05-30,187.5,-1.0,-42.0,0.039
05-31,192.0,-0.889,-37.334,0.1
06-01,197.4,-0.8,-33.6,0.251
06-02,201.9,-0.8,-33.6,0.294
06-03,212.687,-0.625,-26.25,0.275
