,mean,slp,chg,pvalue
0,0.67,0.0,0.0,0.883
1,0.67,-0.001,-0.05,0.451
2,0.66,-0.0,-0.014,0.7
3,0.69,-0.001,-0.06,0.143
4,0.68,-0.002,-0.084,0.114
5,0.67,-0.001,-0.062,0.378
6,0.65,-0.001,-0.046,0.412
7,0.65,-0.001,-0.054,0.287
8,0.65,-0.001,-0.038,0.428
9,0.65,-0.001,-0.054,0.239
10,0.65,-0.002,-0.076,0.163
11,0.65,0.0,0.0,0.73
12,0.63,0.0,0.0,0.949
13,0.63,-0.001,-0.056,0.395
14,0.65,-0.002,-0.064,0.249
15,0.65,-0.001,-0.044,0.331
16,0.63,-0.001,-0.05,0.307
17,0.63,-0.001,-0.03,0.477
18,0.63,-0.002,-0.063,0.332
19,0.65,-0.001,-0.046,0.362
20,0.63,-0.001,-0.022,0.684
21,0.64,-0.0,-0.016,0.663
22,0.67,-0.002,-0.084,0.089
23,0.7,-0.002,-0.084,0.071
24,0.65,-0.002,-0.066,0.263
25,0.65,-0.002,-0.102,0.06
26,0.69,-0.002,-0.084,0.148
27,0.65,-0.002,-0.084,0.065
28,0.64,-0.002,-0.09,0.086
29,0.65,-0.003,-0.122,0.008
30,0.66,-0.003,-0.12,0.025
31,0.67,-0.003,-0.136,0.014
32,0.68,-0.003,-0.114,0.049
33,0.68,-0.004,-0.158,0.005
34,0.68,-0.003,-0.14,0.004
35,0.67,-0.002,-0.078,0.048
36,0.65,-0.002,-0.07,0.183
37,0.65,-0.002,-0.096,0.142
38,0.641,-0.002,-0.063,0.203
39,0.67,-0.002,-0.088,0.093
40,0.64,-0.002,-0.086,0.133
41,0.65,-0.002,-0.068,0.204
42,0.67,-0.003,-0.114,0.015
43,0.67,-0.002,-0.096,0.034
44,0.66,-0.002,-0.074,0.256
45,0.65,-0.001,-0.06,0.278
46,0.68,-0.003,-0.13,0.01
47,0.67,-0.002,-0.096,0.031
48,0.67,-0.002,-0.082,0.075
49,0.65,-0.002,-0.07,0.125
50,0.65,-0.003,-0.122,0.011
51,0.67,-0.003,-0.108,0.013
52,0.69,-0.002,-0.074,0.072
53,0.69,-0.002,-0.064,0.133
54,0.7,-0.002,-0.07,0.165
55,0.68,0.0,0.0,0.806
56,0.68,-0.0,-0.014,0.528
57,0.66,0.0,0.0,0.953
58,0.66,0.0,0.0,0.694
59,0.68,0.0,0.0,0.692
60,0.71,0.0,0.0,0.766
61,0.71,0.0,0.02,0.692
62,0.71,0.0,0.012,0.664
63,0.71,0.0,0.0,0.894
64,0.71,0.0,0.0,0.843
65,0.71,0.0,0.0,0.955
66,0.74,0.0,0.0,0.834
67,0.71,0.0,0.0,0.732
68,0.73,-0.0,-0.016,0.71
69,0.74,0.0,0.0,0.927
70,0.74,-0.001,-0.034,0.64
71,0.75,-0.001,-0.028,0.638
72,0.74,0.0,0.0,0.942
73,0.74,0.0,0.0,0.961
74,0.73,-0.001,-0.024,0.628
75,0.74,-0.001,-0.044,0.393
76,0.72,-0.002,-0.098,0.175
77,0.71,-0.002,-0.084,0.333
78,0.71,0.0,0.0,0.752
79,0.74,0.0,0.0,0.862
80,0.74,-0.001,-0.046,0.354
81,0.74,-0.001,-0.032,0.514
82,0.76,-0.001,-0.026,0.407
83,0.76,-0.001,-0.05,0.332
84,0.75,-0.0,-0.02,0.574
