,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.008348500000000003,-13.871457250000006,0.4669926146131953,0.0,40.0,0.351,0.063,2.65,3.001
01-02,0.008826023965141615,-15.013983894335517,0.4081661446973035,0.0,40.0,0.37,0.093,2.453,2.823
01-03,0.020299807692307693,-37.965565673076924,0.15367907602247133,0.0,40.0,0.852,0.212,2.208,3.06
01-04,0.02816734375,-53.462436484375004,0.0009291007293601439,3.0,40.0,1.183,0.212,2.281,3.464
01-05,0.02374629456706282,-44.76846969227505,0.022278517341789206,2.0,40.0,0.998,0.213,2.225,3.223
01-06,0.02798555555555554,-53.40477277777775,0.0046152426191650164,3.0,40.0,1.175,0.304,1.979,3.154
01-07,0.02264000000000001,-42.840540000000026,0.007327406507626311,3.0,40.0,0.951,0.249,1.964,2.915
01-08,0.024824846743295013,-47.20554121647508,3.6138753343628593e-05,3.0,40.0,1.042,0.21,1.923,2.965
01-09,0.028300000000000068,-54.42090000000013,5.934986746503057e-08,3.0,40.0,1.188,0.328,1.585,2.773
01-10,0.04278690476190476,-82.99092916666666,8.513934446341409e-09,3.0,40.0,1.797,0.557,1.684,3.481
01-11,0.06160037593984963,-120.64625131578948,3.69505626762745e-06,3.0,40.0,2.587,0.646,1.261,3.848
01-12,0.13733823529411765,-271.8527132352941,0.0028785341048316315,3.0,40.0,5.768,0.841,-0.06,5.708
01-13,0.08361363636363635,-164.55485227272723,3.1601733448960445e-05,3.0,40.0,3.511,0.625,0.917,4.428
01-14,0.06219598809523809,-121.72196720833333,0.00012979502652399333,3.0,40.0,2.612,0.573,1.364,3.976
01-15,0.05218886639676113,-101.55434949392712,5.355105248128211e-09,3.0,40.0,2.192,0.534,1.727,3.919
01-16,0.04244999999999999,-82.15914499999997,8.429479336768964e-12,3.0,40.0,1.783,0.487,1.849,3.632
01-17,0.04153340080971661,-80.03300151821864,9.034793801987462e-09,3.0,40.0,1.744,0.426,2.162,3.906
01-18,0.030180501089324605,-57.485731427015224,5.084499100505013e-05,3.0,40.0,1.268,0.271,2.241,3.509
01-19,0.030370477941176477,-58.06350016544119,0.0006619787447648129,3.0,40.0,1.275,0.295,2.04,3.315
01-20,0.022640000000000007,-42.69904000000002,0.08158043369651913,1.0,40.0,0.95,0.196,2.106,3.056
01-21,0.015165897435897436,-28.18654602564102,0.06682867316120644,1.0,40.0,0.637,0.166,1.827,2.464
01-22,0.01415,-26.170424999999998,0.009924321849827056,3.0,40.0,0.595,0.19,1.832,2.427
01-23,0.011681643002028393,-20.982713539553743,0.17857483786681794,0.0,40.0,0.491,0.111,2.135,2.626
01-24,0.01959230769230769,-36.63369692307692,0.09899859698189628,1.0,40.0,0.823,0.152,2.139,2.962
01-25,0.01155583333333334,-20.40441791666668,0.10268503224180847,0.0,40.0,0.485,0.103,2.465,2.95
01-26,0.0019865763546798023,-1.390627844827585,0.8778752885584089,0.0,40.0,0.083,0.021,2.541,2.624
01-27,0.00518833333333334,-7.821884166666679,0.46190391451413193,0.0,40.0,0.218,0.056,2.446,2.664
01-28,0.014204423076923075,-26.013169519230765,0.05395871183829959,1.0,40.0,0.597,0.182,2.097,2.694
01-29,0.01867505208333333,-34.88970658854166,0.006520675898579409,3.0,40.0,0.785,0.226,2.068,2.853
01-30,0.02295444444444445,-43.40386722222223,0.040652450365885606,2.0,40.0,0.964,0.22,2.023,2.987
01-31,0.01940970394736842,-36.299893338815785,0.04774617396356384,2.0,40.0,0.815,0.218,2.112,2.927
02-01,0.023483913398692817,-44.5058759272876,0.008292470022680964,3.0,40.0,0.986,0.201,1.969,2.955
02-02,0.008492358333333339,-14.515538129166675,0.11628380360661095,0.0,40.0,0.357,0.09,2.291,2.648
02-03,0.010909193548387095,-19.56632330645161,0.08918471757162982,1.0,40.0,0.458,0.111,2.023,2.481
02-04,0.001473958333333329,-0.43549572916665813,0.8246796239696466,0.0,40.0,0.062,0.02,2.481,2.543
02-05,0.006709689542483658,-11.150974550653592,0.39663849511867655,0.0,40.0,0.281,0.063,2.128,2.409
02-06,0.007074999999999998,-12.117352499999996,0.134801019190383,0.0,40.0,0.297,0.082,1.884,2.181
02-07,0.028299999999999992,-54.29213499999998,1.4076146217512076e-06,3.0,40.0,1.188,0.378,1.714,2.902
02-08,0.03947362068965517,-76.59573094827584,0.006503221842018458,3.0,40.0,1.657,0.45,1.523,3.18
02-09,0.034034473684210566,-65.78361065789481,5.437400322061414e-05,3.0,40.0,1.429,0.382,1.571,3.0
02-10,0.020858148148148143,-39.59080907407406,0.0007449245783384129,3.0,40.0,0.877,0.246,1.687,2.564
02-11,0.01639041666666667,-30.775247708333342,0.011830954598039067,2.0,40.0,0.689,0.198,1.661,2.35
02-12,0.02425714285714285,-46.32285499999998,0.004378087996591118,3.0,40.0,1.019,0.254,1.682,2.701
02-13,0.021225,-40.4088625,0.027081242411437056,2.0,40.0,0.892,0.245,1.595,2.487
02-14,0.017294444444444442,-32.60883222222222,0.03213301383245315,2.0,40.0,0.726,0.208,1.617,2.343
02-15,0.02232555555555555,-42.60407777777776,5.2876057953898936e-05,3.0,40.0,0.938,0.281,1.578,2.516
02-16,0.011095885093167706,-20.066776358695662,0.1733922210717087,0.0,40.0,0.466,0.119,1.892,2.358
02-17,0.00019295454545454287,1.6661303409090964,0.9466481149077974,0.0,40.0,0.008,0.002,2.048,2.056
02-18,0.013506818181818179,-24.729376136363634,0.120672295986467,0.0,40.0,0.567,0.112,2.001,2.568
02-19,0.016184640522875816,-29.401804084967317,0.27279121155145125,0.0,40.0,0.679,0.12,2.628,3.307
02-20,0.01221645962732921,-21.301594565217428,0.5034595983447265,0.0,40.0,0.513,0.081,2.875,3.388
02-21,0.014064837962962977,-24.42957866898151,0.5150208656230111,0.0,40.0,0.59,0.095,3.405,3.995
02-22,0.016171428571428566,-28.837699999999987,0.2198217471034245,0.0,40.0,0.679,0.142,3.166,3.845
02-23,-0.04245,88.727575,0.09159914312079187,-1.0,40.0,-1.783,-0.325,4.719,2.936
02-24,-0.005284810606060609,14.184093996212127,0.629866056929592,-0.0,40.0,-0.222,-0.033,3.725,3.503
02-25,0.008186785714285716,-13.064341250000002,0.6096727459658924,0.0,40.0,0.344,0.059,3.137,3.481
02-26,0.022640000000000004,-42.41604000000001,0.04258534761234656,2.0,40.0,0.95,0.224,2.389,3.339
02-27,0.029622717391304353,-56.51250070652175,0.0055282580806412795,3.0,40.0,1.244,0.241,2.111,3.355
02-28,0.03786809523809523,-73.05880833333332,0.01885431688829131,2.0,40.0,1.591,0.346,1.882,3.473
03-01,0.04039181818181821,-77.68079863636369,6.861281389980434e-05,3.0,40.0,1.696,0.41,2.255,3.951
03-02,0.02702256944444444,-51.17460503472221,0.06831716280075595,1.0,40.0,1.135,0.232,2.303,3.438
03-03,0.030126795665634663,-56.98220113777087,0.0015483055945717528,3.0,40.0,1.265,0.254,2.639,3.904
03-04,0.012048007246376818,-21.346992481884072,0.24155765305463728,0.0,40.0,0.506,0.113,2.496,3.002
03-05,-0.003234285714285713,9.364469999999997,0.7346887810251514,-0.0,40.0,-0.136,-0.022,2.964,2.828
03-06,-0.007075000000000026,17.224087500000053,0.3261032014473191,-0.0,40.0,-0.297,-0.05,3.223,2.926
03-07,0.011400202429149804,-19.811804554655883,0.41789394377302536,0.0,40.0,0.479,0.077,2.749,3.228
03-08,0.009433333333333342,-15.527266666666685,0.11622252490896967,0.0,40.0,0.396,0.053,3.141,3.537
03-09,0.025097250639386184,-46.32220540281329,0.2066188046203541,0.0,40.0,1.054,0.174,3.345,4.399
03-10,0.026311601307189538,-47.74443521241829,0.2948155501124474,0.0,40.0,1.105,0.167,4.326,5.431
03-11,0.03223055555555557,-60.6347152777778,0.2903042269325822,0.0,40.0,1.353,0.205,3.15,4.503
03-12,0.050588909774436086,-97.15408618421051,0.03256379654978914,2.0,40.0,2.125,0.325,2.961,5.086
03-13,0.03843957219251337,-72.70383502673796,0.02837429444910522,2.0,40.0,1.615,0.239,3.368,4.983
03-14,0.04048389473684211,-76.80356363157895,0.025175766693615875,2.0,40.0,1.7,0.209,3.314,5.014
03-15,0.01886666666666665,-32.9364833333333,0.35351517811891453,0.0,40.0,0.792,0.109,4.401,5.193
03-16,0.02392023809523808,-42.4841958333333,0.13050653936285905,0.0,40.0,1.005,0.183,4.854,5.859
03-17,-0.023980526315789473,52.29743184210526,0.1520556035714471,-0.0,40.0,-1.007,-0.159,4.84,3.833
03-18,-0.026885000000000003,58.0454225,0.12865668190092672,-0.0,40.0,-1.129,-0.175,4.84,3.711
03-19,-0.011958137254901965,28.228237303921574,0.5911573032740418,-0.0,40.0,-0.502,-0.08,4.563,4.061
03-20,-0.030904532967032963,66.95575913461538,0.07038629923494133,-1.0,40.0,-1.298,-0.213,5.796,4.498
03-21,0.0007447368421052804,3.1952934210525967,0.9696661828577329,0.0,40.0,0.031,0.004,4.669,4.7
03-22,0.0023199780219780274,-0.09432607692308803,0.9069073580785727,0.0,40.0,0.097,0.014,4.497,4.594
03-23,-0.03474325771324864,73.62280053992741,0.008559620094288345,-3.0,40.0,-1.459,-0.232,4.866,3.407
03-24,-0.04109931818181821,86.35368738636369,5.457829868049657e-07,-3.0,40.0,-1.726,-0.271,5.018,3.292
03-25,-0.04318032258064517,91.26252467741936,0.014974826062863933,-2.0,40.0,-1.814,-0.234,5.809,3.995
03-26,-0.03918461538461541,83.8855538461539,0.043041846692027264,-2.0,40.0,-1.646,-0.185,6.339,4.693
03-27,-0.07364738095238094,153.7074408333333,0.026636531864153046,-2.0,40.0,-3.093,-0.388,7.959,4.866
03-28,-0.046134895833333286,98.61053932291658,0.14024843806499687,-0.0,40.0,-1.938,-0.244,7.31,5.372
03-29,-0.025745138888888887,57.49371006944444,0.25834724422892696,-0.0,40.0,-1.081,-0.141,6.544,5.463
03-30,-0.04763833333333334,100.69540916666666,0.031429726323426666,-2.0,40.0,-2.001,-0.249,6.419,4.418
03-31,-0.046531730769230784,98.80931394230771,0.2240400660546451,-0.0,40.0,-1.954,-0.222,6.723,4.769
04-01,0.01025874999999996,-15.19586187499992,0.4050012769751863,0.0,40.0,0.431,0.051,5.106,5.537
04-02,0.010915714285714282,-15.95695499999999,0.542192795766907,0.0,40.0,0.459,0.056,5.645,6.104
04-03,-0.04667017543859629,98.2794456140347,0.1389392214047429,-0.0,40.0,-1.96,-0.218,5.919,3.959
04-04,0.09905000000000005,-189.4331250000001,0.010247160471047234,2.0,40.0,4.16,0.416,6.587,10.747
04-05,0.029448264367816095,-51.961306339080465,0.31356862567548127,0.0,40.0,1.237,0.136,6.317,7.554
04-06,0.041641428571428545,-77.22079499999995,0.005983899740023446,3.0,40.0,1.749,0.217,5.188,6.937
04-07,0.08130634920634922,-157.24108888888892,2.2438789735179654e-06,3.0,40.0,3.415,0.44,3.664,7.079
04-08,0.05084670329670331,-96.91933653846155,0.006541068240288439,3.0,40.0,2.136,0.245,3.706,5.842
04-09,0.032960515873015864,-61.1879409722222,0.03927913938811356,2.0,40.0,1.384,0.219,4.041,5.425
04-10,0.014999000000000005,-25.263551500000013,0.4714984552092165,0.0,40.0,0.63,0.087,4.419,5.049
04-11,0.019456250000000008,-34.66661562500002,0.060439856600622344,1.0,40.0,0.817,0.13,3.837,4.654
04-12,0.015866727941176488,-26.84205579044121,0.45696581882534115,0.0,40.0,0.667,0.107,4.558,5.225
04-13,0.016974407114624494,-28.489752618577054,0.3748810239584637,0.0,40.0,0.713,0.089,5.103,5.816
04-14,0.003340972222222234,-2.3611829861111344,0.7534759681823653,0.0,40.0,0.14,0.022,4.251,4.391
04-15,-0.013619375,30.982220937499996,0.17178708275441723,-0.0,40.0,-0.572,-0.116,4.029,3.457
04-16,0.0004161764705882319,2.847271323529419,1.0,0.0,40.0,0.017,0.003,3.671,3.688
04-17,0.005423841379310349,-6.679446996551732,0.853989621230776,0.0,40.0,0.228,0.042,4.054,4.282
04-18,-0.01384239130434783,31.52696902173914,0.0278916561354412,-2.0,40.0,-0.582,-0.129,4.133,3.551
