,mean,slp,chg,pvalue
0,40.3,0.3,12.6,0.001
1,39.824,0.312,13.095,0.002
2,39.083,0.292,12.25,0.002
3,38.448,0.274,11.516,0.001
4,38.4,0.3,12.6,0.001
5,38.819,0.31,13.0,0.0
6,38.12,0.31,13.007,0.0
7,37.61,0.305,12.81,0.001
8,37.338,0.319,13.4,0.001
9,36.382,0.341,14.329,0.0
10,35.93,0.365,15.317,0.0
11,35.564,0.382,16.059,0.0
12,34.9,0.4,16.8,0.0
13,36.162,0.381,15.987,0.0
14,36.88,0.39,16.38,0.0
15,37.2,0.4,16.8,0.0
16,37.4,0.4,16.8,0.0
17,37.852,0.376,15.8,0.0
18,36.813,0.407,17.08,0.0
19,36.62,0.41,17.22,0.0
20,35.667,0.383,16.1,0.0
21,35.962,0.381,16.013,0.0
22,36.467,0.333,14.0,0.0
23,36.838,0.319,13.4,0.0
24,37.333,0.317,13.3,0.0
25,38.04,0.32,13.44,0.0
26,37.424,0.312,13.125,0.0
27,37.48,0.29,12.18,0.0
28,36.8,0.3,12.6,0.0
29,35.324,0.312,13.095,0.0
30,34.037,0.318,13.363,0.0
31,33.021,0.311,13.05,0.0
32,32.429,0.314,13.2,0.0
33,32.436,0.318,13.35,0.0
34,32.127,0.313,13.16,0.0
35,31.422,0.311,13.067,0.0
36,30.517,0.308,12.95,0.0
37,30.122,0.311,13.067,0.0
38,29.926,0.313,13.142,0.0
39,29.61,0.305,12.81,0.0
40,29.393,0.296,12.445,0.0
41,29.176,0.288,12.105,0.0
42,29.086,0.293,12.3,0.0
43,28.75,0.275,11.55,0.0
44,29.242,0.271,11.375,0.0
45,29.224,0.262,11.025,0.0
46,29.988,0.244,10.248,0.0
47,29.897,0.248,10.432,0.0
48,29.9,0.25,10.5,0.0
49,29.896,0.248,10.409,0.0
50,29.483,0.241,10.138,0.0
51,28.877,0.238,10.016,0.0
52,28.857,0.229,9.6,0.0
53,28.726,0.213,8.948,0.001
54,28.908,0.204,8.555,0.01
55,29.257,0.229,9.6,0.015
56,28.764,0.232,9.75,0.014
57,28.367,0.233,9.8,0.008
58,28.31,0.255,10.691,0.005
59,28.846,0.273,11.455,0.006
60,28.933,0.267,11.2,0.006
61,28.916,0.258,10.832,0.002
62,28.683,0.242,10.15,0.002
63,28.305,0.252,10.6,0.003
64,27.707,0.253,10.64,0.002
65,27.478,0.239,10.043,0.002
66,27.374,0.237,9.947,0.0
67,27.917,0.259,10.862,0.0
68,28.113,0.257,10.774,0.0
69,28.429,0.265,11.117,0.0
70,28.889,0.294,12.366,0.0
71,29.418,0.309,12.982,0.0
72,31.5,0.35,14.7,0.0
73,34.593,0.396,16.65,0.0
74,34.663,0.481,20.222,0.0
75,35.817,0.458,19.25,0.0
76,39.46,0.48,20.16,0.001
77,42.22,0.51,21.42,0.004
78,42.111,0.456,19.134,0.023
79,41.589,0.444,18.666,0.026
80,40.967,0.433,18.2,0.079
81,39.722,0.361,15.167,0.077
82,38.8,0.3,12.6,0.116
83,40.375,0.188,7.874,0.294
84,44.037,0.068,2.863,0.597
85,45.392,0.046,1.925,0.794
86,45.172,0.036,1.527,0.878
87,46.172,0.036,1.527,1.0
88,53.0,0.0,0.0,1.0
89,65.358,0.029,1.235,0.873
90,64.346,-0.127,-5.336,0.688
91,68.17,-0.115,-4.83,0.647
