,mean,slp,chg,pvalue
0,1.487,0.043,1.82,0.0
1,1.404,0.042,1.764,0.0
2,1.359,0.044,1.862,0.0
3,1.441,0.056,2.34,0.0
4,1.5,0.04,1.68,0.0
5,1.52,0.035,1.483,0.0
6,1.425,0.032,1.36,0.0
7,1.436,0.023,0.96,0.0
8,1.671,0.026,1.076,0.0
9,1.574,0.027,1.136,0.0
10,1.539,0.02,0.82,0.035
11,1.711,0.041,1.704,0.024
12,1.601,0.045,1.906,0.04
13,1.569,0.064,2.706,0.028
14,1.633,0.071,3.0,0.026
15,1.494,0.057,2.402,0.003
16,1.522,0.046,1.932,0.0
17,1.472,0.04,1.701,0.0
18,1.356,0.033,1.38,0.0
19,1.299,0.03,1.242,0.001
20,1.351,0.026,1.08,0.003
21,1.356,0.027,1.155,0.001
22,1.38,0.025,1.063,0.0
23,1.17,0.02,0.84,0.004
24,1.136,0.023,0.955,0.008
25,1.159,0.025,1.036,0.002
26,1.182,0.03,1.281,0.001
27,1.22,0.036,1.491,0.001
28,1.139,0.034,1.44,0.001
29,1.174,0.037,1.563,0.0
30,1.237,0.039,1.624,0.0
31,1.378,0.034,1.419,0.0
32,1.283,0.032,1.324,0.0
33,1.332,0.021,0.887,0.005
34,1.216,0.023,0.971,0.0
35,1.142,0.021,0.886,0.0
36,1.04,0.02,0.84,0.0
37,1.046,0.018,0.752,0.0
38,0.978,0.019,0.805,0.0
39,0.97,0.02,0.84,0.0
40,0.966,0.018,0.747,0.0
41,1.011,0.015,0.65,0.002
42,0.981,0.016,0.658,0.0
43,1.021,0.016,0.66,0.0
44,0.966,0.013,0.555,0.0
45,0.957,0.013,0.56,0.001
46,0.96,0.015,0.63,0.021
47,0.938,0.014,0.579,0.049
48,0.997,0.014,0.571,0.056
49,1.09,0.015,0.63,0.072
50,1.122,0.016,0.683,0.094
51,1.366,0.013,0.555,0.076
52,1.445,0.013,0.532,0.026
53,1.635,0.013,0.53,0.044
54,1.514,0.012,0.513,0.107
55,1.823,0.016,0.69,0.064
56,2.147,0.013,0.56,0.39
57,2.654,0.022,0.939,0.058
58,2.55,0.025,1.05,0.021
59,2.604,0.042,1.758,0.044
60,3.074,0.042,1.77,0.033
61,3.028,0.044,1.859,0.004
62,3.15,0.055,2.31,0.001
63,2.988,0.054,2.268,0.006
64,3.119,0.059,2.498,0.014
65,3.177,0.049,2.053,0.002
66,3.327,0.063,2.66,0.0
67,3.543,0.077,3.22,0.0
68,3.936,0.068,2.863,0.027
69,4.241,0.065,2.746,0.119
70,4.262,0.071,2.993,0.102
71,4.122,0.061,2.56,0.12
72,3.92,0.06,2.52,0.115
73,4.35,0.06,2.52,0.062
74,5.268,0.064,2.673,0.08
75,4.422,0.031,1.307,0.269
76,4.267,0.018,0.776,0.503
77,4.068,-0.016,-0.672,0.332
78,4.562,-0.059,-2.467,0.068
79,5.077,-0.057,-2.38,0.21
80,5.198,-0.071,-2.991,0.197
81,5.273,-0.078,-3.296,0.148
82,6.02,-0.125,-5.257,0.027
83,5.139,-0.131,-5.491,0.003
84,5.786,-0.147,-6.165,0.0
85,6.166,-0.237,-9.954,0.0
86,8.21,-0.155,-6.529,0.011
87,9.8,-0.1,-4.2,0.052
88,11.742,0.021,0.882,0.772
89,12.639,0.07,2.922,0.159
90,12.04,0.07,2.94,0.078
91,10.425,0.063,2.628,0.119
92,11.361,0.081,3.39,0.017
93,14.051,0.075,3.164,0.019
94,15.144,0.072,3.013,0.012
95,13.769,0.034,1.44,0.197
96,11.972,0.036,1.527,0.493
97,10.549,0.074,3.128,0.199
98,9.072,0.031,1.313,0.633
99,8.35,0.005,0.21,0.977
100,8.787,0.003,0.14,0.901
101,8.798,0.029,1.211,0.391
102,8.006,0.068,2.841,0.043
103,8.898,0.094,3.943,0.0
104,8.996,0.083,3.488,0.0
105,9.246,0.042,1.785,0.085
106,8.69,0.035,1.481,0.17
107,7.339,0.015,0.614,0.442
108,6.404,0.017,0.718,0.354
109,5.447,0.048,2.03,0.039
110,5.998,0.069,2.915,0.006
111,5.9,0.07,2.94,0.005
112,5.246,0.063,2.633,0.036
113,5.231,0.041,1.708,0.153
114,4.628,0.024,1.0,0.45
115,4.068,0.009,0.38,0.672
116,3.703,0.012,0.484,0.283
117,3.497,0.013,0.56,0.12
118,3.95,-0.005,-0.195,0.725
119,3.606,-0.012,-0.504,0.347
120,3.893,0.007,0.28,0.408
121,3.397,0.038,1.614,0.073
122,4.127,0.043,1.82,0.005
123,3.604,0.057,2.391,0.0
124,3.197,0.048,2.03,0.0
125,2.987,0.034,1.41,0.161
126,2.844,0.022,0.928,0.336
127,2.913,0.007,0.28,0.683
128,2.74,0.005,0.21,0.473
129,2.531,0.001,0.024,0.797
130,2.168,0.004,0.183,0.63
131,2.574,-0.003,-0.128,0.825
132,1.92,-0.005,-0.219,0.545
133,1.788,0.004,0.163,0.72
134,1.692,0.016,0.667,0.048
135,1.867,0.028,1.19,0.023
136,1.58,0.015,0.63,0.137
137,1.584,0.007,0.292,0.37
138,1.812,0.006,0.243,0.534
139,1.683,0.001,0.06,0.87
140,1.672,-0.004,-0.164,0.623
141,1.759,-0.005,-0.226,0.389
142,1.524,-0.003,-0.12,0.532
143,1.39,-0.001,-0.021,0.937
144,1.237,-0.001,-0.055,0.658
145,1.176,-0.002,-0.081,0.768
146,1.143,-0.003,-0.146,0.702
147,1.176,-0.007,-0.303,0.489
148,1.076,-0.012,-0.504,0.098
149,0.986,-0.012,-0.495,0.054
150,1.038,-0.006,-0.26,0.18
151,1.078,-0.006,-0.245,0.292
152,1.021,-0.004,-0.18,0.591
153,1.33,-0.005,-0.199,0.626
154,1.394,-0.003,-0.12,0.602
155,1.279,-0.001,-0.026,0.923
156,1.137,0.003,0.14,0.381
157,1.19,0.01,0.42,0.02
158,1.161,0.01,0.44,0.023
159,1.056,0.013,0.548,0.009
160,0.946,0.008,0.336,0.026
161,0.878,0.004,0.157,0.078
162,0.822,0.006,0.255,0.175
163,0.88,0.01,0.42,0.239
164,1.006,0.013,0.54,0.156
165,0.982,0.016,0.657,0.125
166,1.001,0.015,0.643,0.103
167,0.935,0.018,0.742,0.048
168,0.851,0.016,0.654,0.083
169,0.728,0.014,0.595,0.023
170,0.798,0.014,0.595,0.06
171,0.814,0.012,0.521,0.087
172,0.783,0.012,0.49,0.014
173,1.09,0.01,0.42,0.04
174,0.891,0.005,0.228,0.136
175,0.738,0.004,0.168,0.092
176,0.718,0.004,0.168,0.132
177,0.83,0.004,0.189,0.035
178,0.75,0.005,0.21,0.05
179,0.684,0.007,0.294,0.051
180,0.586,0.008,0.33,0.114
181,0.524,0.012,0.497,0.084
182,0.416,0.008,0.325,0.175
183,0.425,0.007,0.314,0.165
184,0.443,0.007,0.28,0.142
185,0.384,0.007,0.283,0.12
186,0.32,0.005,0.219,0.057
187,0.279,0.004,0.184,0.001
188,0.288,0.004,0.163,0.004
189,0.371,0.006,0.236,0.012
190,0.32,0.005,0.21,0.119
191,0.332,0.006,0.255,0.083
192,0.382,0.006,0.245,0.077
193,0.302,0.006,0.263,0.099
194,0.24,0.005,0.191,0.1
195,0.208,0.004,0.161,0.065
196,0.188,0.004,0.185,0.041
197,0.17,0.005,0.2,0.054
198,0.222,0.006,0.263,0.062
199,0.203,0.011,0.48,0.025
200,0.178,0.009,0.387,0.043
201,0.177,0.009,0.36,0.015
202,0.161,0.006,0.234,0.087
203,0.15,0.005,0.191,0.082
204,0.139,0.005,0.191,0.07
205,0.128,0.004,0.164,0.089
206,0.122,0.006,0.263,0.021
207,0.123,0.006,0.272,0.004
208,0.092,0.006,0.252,0.0
209,0.121,0.005,0.223,0.002
210,0.13,0.005,0.21,0.0
211,0.15,0.005,0.21,0.0
212,0.13,0.005,0.217,0.0
213,0.116,0.003,0.128,0.0
214,0.103,0.001,0.06,0.002
215,0.103,0.001,0.06,0.035
216,0.106,0.002,0.105,0.018
217,0.116,0.003,0.13,0.016
218,0.094,0.002,0.093,0.039
219,0.106,0.002,0.105,0.003
220,0.084,0.002,0.09,0.0
221,0.085,0.003,0.11,0.0
222,0.077,0.003,0.14,0.0
223,0.066,0.003,0.12,0.0
224,0.076,0.003,0.124,0.0
225,0.086,0.003,0.118,0.0
226,0.064,0.002,0.095,0.003
227,0.053,0.001,0.06,0.016
228,0.041,0.001,0.037,0.007
229,0.041,0.001,0.024,0.047
230,0.04,0.0,0.019,0.089
231,0.042,0.001,0.042,0.013
232,0.053,0.002,0.07,0.011
233,0.054,0.002,0.088,0.019
234,0.056,0.003,0.129,0.008
235,0.069,0.004,0.18,0.003
236,0.076,0.003,0.133,0.003
237,0.055,0.002,0.1,0.003
238,0.063,0.002,0.07,0.004
239,0.053,0.001,0.057,0.002
240,0.116,0.003,0.126,0.0
241,0.096,0.003,0.13,0.0
242,0.142,0.006,0.252,0.0
243,0.13,0.005,0.21,0.0
244,0.106,0.003,0.12,0.006
245,0.116,0.003,0.12,0.024
246,0.115,0.002,0.106,0.026
247,0.084,0.002,0.097,0.034
248,0.083,0.002,0.081,0.043
249,0.073,0.002,0.066,0.069
250,0.094,0.002,0.09,0.029
251,0.073,0.002,0.062,0.07
252,0.072,0.001,0.042,0.057
253,0.051,0.001,0.028,0.075
254,0.041,0.001,0.026,0.037
