,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.11673750000000001,250.172,0.0029337489510994352,-3.0,43.0,-4.902,-0.092,19.148,14.246
01-02,-0.18022631578947382,378.02693157894765,2.6100710863286025e-05,-3.0,43.0,-7.569,-0.158,21.359,13.79
01-03,-0.23111666666666655,479.8359333333331,1.6246487344329097e-06,-3.0,43.0,-9.707,-0.234,22.456,12.749
01-04,-0.18552222222222228,389.24134444444456,0.00010649226408099288,-3.0,43.0,-7.792,-0.208,22.093,14.301
01-05,-0.18094848484848483,381.08436969696965,0.004428964454814777,-3.0,43.0,-7.6,-0.218,22.987,15.387
01-06,-0.18342592592592594,387.2844518518519,0.02581479926478014,-2.0,43.0,-7.704,-0.217,24.285,16.581
01-07,-0.12053703703703704,261.59157407407406,0.12235842800648489,-0.0,43.0,-5.063,-0.138,23.049,17.986
01-08,-0.09197499999999995,203.7599999999999,0.18176233278621856,-0.0,43.0,-3.862,-0.104,21.741,17.879
01-09,-0.10915714285714298,239.87888571428596,0.2168892241803515,-0.0,43.0,-4.585,-0.121,23.857,19.272
01-10,-0.1369108108108108,297.5653216216216,0.122651812215951,-0.0,43.0,-5.75,-0.155,26.619,20.869
01-11,-0.11320000000000008,250.85120000000018,0.13953928014335792,-0.0,43.0,-4.754,-0.125,26.828,22.074
01-12,-0.2547,533.9361,0.0006398611584763625,-3.0,43.0,-10.698,-0.285,29.885,19.187
01-13,-0.24381538461538454,511.5159692307691,0.0013477044084317935,-3.0,43.0,-10.24,-0.261,29.005,18.765
01-14,-0.2476250000000002,521.0313000000004,0.004335102908540778,-3.0,43.0,-10.4,-0.248,30.981,20.581
01-15,-0.2264000000000003,479.74160000000063,0.0005908441790745123,-3.0,43.0,-9.509,-0.224,31.696,22.187
01-16,-0.28300000000000025,595.9980000000005,2.2680417317566537e-06,-3.0,43.0,-11.886,-0.279,35.941,24.055
01-17,-0.30186666666666684,631.6088333333337,0.006317789480144276,-3.0,43.0,-12.679,-0.241,34.215,21.536
01-18,-0.1890035714285714,408.57114285714283,0.032237528716738906,-2.0,43.0,-7.938,-0.148,34.533,26.595
01-19,-0.093116129032258,214.44735806451598,0.3475280838140091,-0.0,43.0,-3.911,-0.078,30.171,26.26
01-20,0.01572222222222229,0.5345555555554213,0.8194857125093746,0.0,43.0,0.66,0.014,31.649,32.309
01-21,0.10033636363636363,-170.95772727272725,0.34501453011116023,0.0,43.0,4.214,0.094,27.608,31.822
01-22,0.0226400000000001,-13.867000000000203,0.7198762030113455,0.0,43.0,0.95,0.022,30.938,31.888
01-23,0.0,31.13,1.0,0.0,43.0,0.0,0.0,31.13,31.13
01-24,-0.017687500000000023,65.93900000000005,0.8320032535210493,-0.0,43.0,-0.742,-0.018,30.935,30.193
01-25,-0.05145454545454536,132.90709090909073,0.6173732774666945,-0.0,43.0,-2.162,-0.047,31.079,28.917
01-26,0.025727272727272626,-22.30554545454525,0.8223019088014218,0.0,43.0,1.08,0.024,28.609,29.689
01-27,0.06792000000000002,-104.99300000000005,0.5956274444226475,0.0,43.0,2.852,0.061,29.421,32.273
01-28,0.11973076923076921,-209.18053846153842,0.4216064635818486,0.0,43.0,5.028,0.112,27.767,32.795
01-29,0.12431785714285715,-217.7887142857143,0.21581616448847107,0.0,43.0,5.222,0.118,28.236,33.458
01-30,0.13101851851851856,-231.19003703703714,0.061792764436885195,1.0,43.0,5.502,0.11,28.096,33.598
01-31,0.1772119047619048,-323.57680952380963,0.14296785526161715,0.0,43.0,7.442,0.13,27.126,34.568
02-01,0.11529629629629629,-201.44359259259255,0.25374940948055746,0.0,43.0,4.842,0.077,26.728,31.57
02-02,0.1427304347826086,-256.31186956521725,0.2280551641584574,0.0,43.0,5.994,0.104,26.152,32.146
02-03,0.22640000000000005,-423.9340000000001,0.07775553277868119,1.0,43.0,9.508,0.185,24.112,33.62
02-04,0.2672777777777778,-504.27455555555554,0.0008201243210941289,3.0,43.0,11.226,0.224,24.668,35.894
02-05,0.3768368421052631,-713.4876842105261,4.914368039177219e-06,3.0,43.0,15.828,0.318,32.272,48.1
02-06,0.32768421052631574,-615.7484210526316,0.0006746991893571419,3.0,43.0,13.762,0.278,32.739,46.501
02-07,0.3490333333333335,-654.2016666666669,0.003988243891890342,3.0,43.0,14.66,0.249,36.535,51.195
02-08,0.21561904761904774,-393.0330952380955,0.0776749534927208,1.0,43.0,9.056,0.138,33.677,42.733
02-09,0.12577777777777754,-210.80355555555508,0.18945987723719915,0.0,43.0,5.282,0.081,38.111,43.393
02-10,0.04716666666666628,-53.29833333333256,0.7151978525817848,0.0,43.0,1.981,0.029,40.045,42.026
02-11,0.0,41.318,1.0,0.0,43.0,0.0,0.0,41.318,41.318
02-12,0.0,37.073,1.0,0.0,43.0,0.0,0.0,37.073,37.073
02-13,0.02978947368421047,-21.373947368420936,0.947912699413497,0.0,43.0,1.252,0.02,37.579,38.831
02-14,-0.25727272727272743,556.1464545454548,0.2083123697548066,-0.0,43.0,-10.806,-0.156,47.004,36.198
02-15,-0.32492592592592606,697.9618518518522,0.1390024441532527,-0.0,43.0,-13.646,-0.182,54.933,41.287
02-16,-0.26036000000000004,573.3580000000001,0.5046384483896751,-0.0,43.0,-10.936,-0.129,58.106,47.17
02-17,-0.2879941176470589,629.7582352941178,0.33756873089259365,-0.0,43.0,-12.096,-0.132,59.818,47.722
02-18,-0.6603333333333329,1381.7946666666658,0.12573943867199233,-0.0,43.0,-27.734,-0.31,74.995,47.261
02-19,-0.8490000000000002,1755.1660000000006,0.06595729480715384,-1.0,43.0,-35.658,-0.368,74.995,39.337
02-20,-0.9189176470588236,1890.4732941176471,0.019812357380988743,-2.0,43.0,-38.594,-0.42,71.935,33.341
02-21,-1.0081875,2069.296,0.003676594925144494,-3.0,43.0,-42.344,-0.478,74.093,31.749
02-22,-1.0084233333333332,2069.767666666666,0.003236701757343141,-3.0,43.0,-42.354,-0.485,74.098,31.744
02-23,-1.0779727272727273,2211.413454545455,0.0076700652633570066,-3.0,43.0,-45.274,-0.492,78.105,32.831
02-24,-1.1319999999999997,2325.410999999999,0.0027149001801451966,-3.0,43.0,-47.544,-0.544,85.183,37.639
02-25,-1.082475,2225.795,0.0015803037855803836,-3.0,43.0,-45.464,-0.556,83.577,38.113
02-26,-1.0188,2096.464,0.0015620235123381399,-3.0,43.0,-42.79,-0.549,80.259,37.469
02-27,-1.1320000000000001,2318.3360000000002,0.0009226131983013364,-3.0,43.0,-47.544,-0.63,78.108,30.564
02-28,-1.0033636363636362,2063.3272727272724,6.832723446303923e-05,-3.0,43.0,-42.142,-0.542,77.671,35.529
03-01,-0.856861111111111,1773.152222222222,4.794957202403083e-07,-3.0,43.0,-35.988,-0.436,77.424,41.436
03-02,-0.8490000000000002,1757.4300000000005,4.8631509774077486e-05,-3.0,43.0,-35.658,-0.443,77.259,41.601
03-03,-0.696027027027027,1457.144054054054,0.0032403031231094115,-3.0,43.0,-29.234,-0.36,79.707,50.473
03-04,-0.8982173913043477,1871.4297826086954,0.006020968927536119,-3.0,43.0,-37.726,-0.431,93.858,56.132
03-05,-1.1555833333333332,2387.293666666666,0.0024092893558622652,-3.0,43.0,-48.534,-0.522,100.394,51.86
03-06,-1.3414199999999998,2759.816,0.002395121923103316,-3.0,43.0,-56.34,-0.579,105.146,48.806
03-07,-1.2577777777777779,2591.1165555555554,0.0048338902614317725,-3.0,43.0,-52.826,-0.512,101.974,49.148
03-08,-1.2735000000000003,2624.8250000000003,0.01747403415655069,-2.0,43.0,-53.487,-0.51,104.568,51.081
03-09,-1.3002702702702706,2674.4035405405416,0.0054420589830492805,-3.0,43.0,-54.612,-0.515,101.169,46.557
03-10,-1.1062727272727275,2292.351454545455,0.004043581157766818,-3.0,43.0,-46.464,-0.391,103.038,56.574
03-11,-1.1755384615384612,2434.5619230769225,0.0007469269550637314,-3.0,43.0,-49.372,-0.387,108.171,58.799
03-12,-1.0231538461538463,2125.8306923076925,0.017219331666804782,-2.0,43.0,-42.972,-0.345,101.009,58.037
03-13,-1.0704782608695647,2219.9135217391295,0.03324561345175181,-2.0,43.0,-44.96,-0.362,101.437,56.477
03-14,-0.8489999999999999,1811.1999999999998,0.1468431908365908,-0.0,43.0,-35.658,-0.278,131.029,95.371
03-15,-0.9055999999999994,1933.4559999999988,0.10921683206169819,-0.0,43.0,-38.036,-0.285,141.274,103.238
03-16,-0.8822941176470586,1887.127235294117,0.02243637698686385,-2.0,43.0,-37.056,-0.254,141.067,104.011
03-17,-0.8489999999999996,1827.6139999999994,0.02556694898914369,-2.0,43.0,-35.658,-0.255,147.443,111.785
03-18,-1.0046500000000003,2132.6880000000006,0.003246000411428085,-3.0,43.0,-42.196,-0.318,144.486,102.29
03-19,-0.8631500000000016,1847.9900000000034,0.0008557336901828805,-3.0,43.0,-36.252,-0.262,139.816,103.564
03-20,-0.7641000000000001,1638.5700000000002,0.002296216629291914,-3.0,43.0,-32.092,-0.235,126.416,94.324
03-21,-0.7491176470588234,1615.3972941176469,0.0056820606613570135,-3.0,43.0,-31.462,-0.226,132.893,101.431
03-22,-0.47892307692307684,1078.9701538461536,0.22140625178296824,-0.0,43.0,-20.114,-0.142,131.181,111.067
03-23,-0.1715151515151514,466.1353030303028,0.7050030973642152,-0.0,43.0,-7.204,-0.05,126.707,119.503
03-24,-0.35892682926829256,835.2986585365851,0.21913049920811956,-0.0,43.0,-15.074,-0.101,124.982,109.908
03-25,-0.5842580645161288,1280.0181290322575,0.041779648641567135,-2.0,43.0,-24.538,-0.17,123.771,99.233
03-26,-1.0494583333333332,2214.3806666666665,0.00025398453142821964,-3.0,43.0,-44.078,-0.311,137.503,93.425
03-27,-1.2499166666666675,2613.599333333335,1.295412116131267e-05,-3.0,43.0,-52.496,-0.373,140.014,87.518
03-28,-1.5043684210526316,3121.936842105263,0.0006360178077000622,-3.0,43.0,-63.184,-0.461,144.792,81.608
03-29,-0.9034230769230771,1926.2721538461542,0.011034470568290544,-2.0,43.0,-37.944,-0.285,138.398,100.454
03-30,0.023583333333334622,76.22133333333076,1.0,0.0,43.0,0.99,0.007,122.893,123.883
03-31,0.24054999999999893,-363.9379999999979,0.5638954616332605,0.0,43.0,10.104,0.075,112.11,122.214
04-01,0.16036666666666644,-200.17533333333287,0.7440794470085927,0.0,43.0,6.736,0.05,117.19,123.926
04-02,0.07924000000000035,-33.96000000000072,0.688924554346191,0.0,43.0,3.328,0.024,122.856,126.184
04-03,-0.18866666666666657,505.5323333333331,0.4877497066480905,-0.0,43.0,-7.924,-0.056,132.161,124.237
04-04,-0.1132000000000005,353.184000000001,0.508686581733218,-0.0,43.0,-4.754,-0.034,129.161,124.407
04-05,0.04042857142857364,38.85185714285272,0.9664685768008237,0.0,43.0,1.698,0.012,118.86,120.558
04-06,0.0,119.143,0.968935292216131,0.0,43.0,0.0,0.0,119.143,119.143
04-07,-0.1306153846153841,380.9397692307682,0.5421194078269236,-0.0,43.0,-5.486,-0.038,122.452,116.966
04-08,0.11319999999999969,-92.82399999999939,0.8597510965176722,0.0,43.0,4.754,0.031,131.199,135.953
04-09,0.3162941176470594,-483.73023529411876,0.47703059397054237,0.0,43.0,13.284,0.08,142.216,155.5
04-10,0.19363157894736852,-242.08415789473705,0.6361638697305545,0.0,43.0,8.132,0.05,141.113,149.245
04-11,0.04192592592592611,48.592148148147785,0.9581489796125893,0.0,43.0,1.76,0.011,131.564,133.324
04-12,-0.2829999999999991,701.2739999999982,0.4769081647604827,-0.0,43.0,-11.886,-0.077,141.217,129.331
04-13,-0.1306153846153841,395.6557692307682,0.8965104110758997,-0.0,43.0,-5.486,-0.036,137.168,131.682
04-14,-0.06288888888888916,252.8447777777783,0.9074227923430938,-0.0,43.0,-2.642,-0.017,128.388,125.746
04-15,-0.3395999999999987,806.2669999999973,0.07384105671035779,-1.0,43.0,-14.264,-0.093,134.199,119.935
04-16,-0.5094000000000004,1146.999000000001,0.07711796001858673,-1.0,43.0,-21.394,-0.142,138.896,117.502
04-17,-0.6603333333333333,1450.5636666666664,0.02902321304726807,-2.0,43.0,-27.734,-0.182,143.764,116.03
04-18,-0.772807692307693,1678.342384615386,0.003687761210862117,-3.0,43.0,-32.458,-0.21,148.956,116.498
04-19,-0.6393703703703706,1400.7137407407413,0.011028743369013494,-2.0,43.0,-26.854,-0.171,135.4,108.546
04-20,-0.43393333333333334,992.9526666666666,0.09222450746237532,-1.0,43.0,-18.226,-0.112,134.199,115.973
04-21,-0.3961999999999989,927.1079999999978,0.209458368273703,-0.0,43.0,-16.64,-0.099,143.028,126.388
04-22,-0.3700769230769214,875.4278461538429,0.1875173131303749,-0.0,43.0,-15.544,-0.093,143.046,127.502
04-23,-0.7075000000000001,1557.3490000000002,0.0690990181563631,-1.0,43.0,-29.715,-0.179,157.206,127.491
04-24,-1.163444444444445,2463.2948888888895,0.012910082949405322,-2.0,43.0,-48.864,-0.288,160.838,111.974
04-25,-0.990500000000002,2119.104000000004,0.007712736610705928,-3.0,43.0,-41.601,-0.246,158.904,117.303
04-26,-0.7232222222222222,1575.2094444444442,0.005906199958091829,-3.0,43.0,-30.376,-0.187,143.953,113.577
04-27,-0.5660000000000025,1269.8210000000051,0.06891023454695144,-1.0,43.0,-23.772,-0.147,149.707,125.935
04-28,-0.6320333333333328,1403.3026666666656,0.032332158370053765,-2.0,43.0,-26.546,-0.166,152.509,125.963
04-29,-0.8584333333333338,1864.8756666666677,0.017719836460939442,-2.0,43.0,-36.054,-0.225,166.036,129.982
04-30,-1.1602999999999999,2458.7039999999997,0.002005167572686428,-3.0,43.0,-48.732,-0.309,162.47,113.738
05-01,-1.0976969696969698,2331.2339393939396,0.00014696915999379279,-3.0,43.0,-46.104,-0.298,158.892,112.788
05-02,-1.697999999999998,3530.707999999996,1.90937603239405e-06,-3.0,43.0,-71.316,-0.471,170.366,99.05
05-03,-1.8395,3817.387,2.24085827893461e-07,-3.0,43.0,-77.259,-0.513,177.017,99.758
05-04,-1.5281999999999982,3189.409999999996,5.437912382610932e-07,-3.0,43.0,-64.184,-0.422,165.102,100.918
05-05,-1.3772666666666662,2884.4303333333323,4.417915401688788e-05,-3.0,43.0,-57.846,-0.375,158.82,100.974
05-06,-0.9621999999999998,2050.3349999999996,0.003855250157815737,-3.0,43.0,-40.412,-0.253,146.141,105.729
05-07,-0.7298421052631574,1575.9972105263146,0.004800338546391725,-3.0,43.0,-30.654,-0.191,131.64,100.986
05-08,-0.6313076923076918,1374.9663846153837,0.00389302172323136,-3.0,43.0,-26.514,-0.173,125.608,99.094
05-09,-0.6037333333333331,1316.1386666666663,0.0032104598917406246,-3.0,43.0,-25.356,-0.174,121.35,95.994
05-10,-0.5356785714285712,1180.0291428571422,0.019777335029959486,-2.0,43.0,-22.498,-0.158,119.921,97.423
05-11,-0.48881818181818204,1089.704363636364,0.10279705650262594,-0.0,43.0,-20.53,-0.146,122.333,101.803
