,mean,slp,chg,pvalue
01-01,9.766,-0.024,-0.989,0.55
01-02,7.828,-0.011,-0.483,0.874
01-03,8.233,-0.027,-1.128,0.669
01-04,9.548,-0.042,-1.744,0.318
01-05,8.558,-0.072,-3.009,0.142
01-06,8.706,-0.013,-0.559,0.866
01-07,8.171,-0.009,-0.38,0.929
01-08,7.912,0.073,3.045,0.142
01-09,8.62,0.07,2.959,0.179
01-10,9.345,0.035,1.47,0.489
01-11,9.231,-0.019,-0.808,0.456
01-12,9.708,0.028,1.182,0.723
01-13,8.177,0.057,2.404,0.083
01-14,7.364,0.034,1.42,0.269
01-15,7.556,-0.004,-0.172,0.92
01-16,9.44,-0.01,-0.407,0.836
01-17,10.062,0.072,3.041,0.142
01-18,13.626,0.357,14.981,0.001
01-19,13.033,0.353,14.814,0.007
01-20,11.399,0.279,11.708,0.0
01-21,11.153,0.233,9.79,0.0
01-22,10.568,0.208,8.743,0.0
01-23,10.462,0.101,4.253,0.009
01-24,10.78,0.081,3.397,0.082
01-25,9.323,0.093,3.898,0.036
01-26,9.423,0.053,2.218,0.466
01-27,11.183,0.002,0.095,0.986
01-28,11.817,-0.013,-0.54,0.876
01-29,10.332,-0.028,-1.186,0.563
01-30,9.564,-0.026,-1.098,0.536
01-31,8.572,0.001,0.057,0.982
02-01,8.609,-0.021,-0.88,0.61
02-02,8.439,-0.05,-2.121,0.302
02-03,10.396,0.006,0.25,0.985
02-04,8.97,0.0,0.012,1.0
02-05,8.798,-0.002,-0.105,0.982
02-06,8.781,0.011,0.456,0.858
02-07,9.933,-0.027,-1.122,0.639
02-08,8.091,0.001,0.046,0.981
02-09,6.492,-0.018,-0.75,0.644
02-10,6.37,-0.03,-1.245,0.133
02-11,5.785,-0.045,-1.908,0.011
02-12,6.192,-0.037,-1.561,0.48
02-13,6.506,-0.083,-3.503,0.262
02-14,8.769,-0.141,-5.912,0.052
02-15,8.236,-0.084,-3.526,0.209
02-16,8.973,-0.087,-3.658,0.191
02-17,10.516,-0.235,-9.861,0.001
02-18,11.529,-0.272,-11.403,0.002
02-19,12.416,-0.325,-13.641,0.0
02-20,11.147,-0.283,-11.865,0.0
02-21,10.075,-0.255,-10.694,0.0
02-22,10.019,-0.31,-13.035,0.0
02-23,9.576,-0.274,-11.529,0.0
02-24,9.135,-0.205,-8.594,0.001
02-25,8.474,-0.095,-4.009,0.08
02-26,9.24,-0.04,-1.676,0.356
02-27,8.254,-0.036,-1.503,0.464
02-28,7.782,-0.028,-1.161,0.391
03-01,9.902,0.022,0.922,0.485
03-02,10.282,0.013,0.529,0.848
03-03,10.42,0.01,0.418,0.779
03-04,10.194,0.004,0.149,0.951
03-05,10.82,0.04,1.669,0.241
03-06,11.586,0.096,4.036,0.072
03-07,11.348,0.137,5.763,0.006
03-08,10.302,0.172,7.209,0.011
03-09,10.122,0.133,5.573,0.008
03-10,9.88,0.119,5.003,0.021
03-11,10.11,0.12,5.059,0.007
03-12,10.001,0.121,5.096,0.174
03-13,10.647,0.067,2.824,0.506
03-14,9.92,0.02,0.831,0.913
03-15,10.686,0.126,5.294,0.091
03-16,11.228,0.108,4.542,0.149
03-17,9.654,0.084,3.528,0.054
03-18,9.021,0.051,2.15,0.141
03-19,7.93,0.061,2.545,0.14
03-20,7.818,0.088,3.713,0.0
03-21,7.128,0.137,5.763,0.001
03-22,6.414,0.184,7.747,0.006
03-23,8.471,0.151,6.348,0.0
03-24,10.812,0.172,7.22,0.004
