,mean,slp,chg,pvalue
01-01,11.24,0.145,6.07,0.0
01-02,10.27,0.13,5.46,0.065
01-03,9.17,0.132,5.554,0.008
01-04,10.75,0.166,6.968,0.008
01-05,12.93,0.163,6.86,0.001
01-06,11.83,0.167,7.026,0.01
01-07,11.24,0.159,6.696,0.006
01-08,10.24,0.134,5.624,0.002
01-09,9.62,0.136,5.718,0.0
01-10,9.37,0.142,5.986,0.0
01-11,8.91,0.165,6.918,0.001
01-12,9.23,0.271,11.386,0.0
01-13,9.62,0.397,16.66,0.0
01-14,9.34,0.346,14.542,0.0
01-15,10.47,0.238,9.996,0.0
01-16,10.47,0.243,10.2,0.0
01-17,10.47,0.227,9.552,0.0
01-18,10.58,0.201,8.462,0.0
01-19,9.57,0.177,7.436,0.0
01-20,10.47,0.155,6.49,0.001
01-21,9.62,0.09,3.78,0.086
01-22,9.06,0.074,3.124,0.122
01-23,9.0,0.105,4.404,0.001
01-24,8.94,0.113,4.76,0.0
01-25,9.23,0.161,6.76,0.0
01-26,8.6,0.133,5.596,0.0
01-27,9.03,0.127,5.338,0.0
01-28,8.74,0.11,4.62,0.0
01-29,7.98,0.113,4.746,0.0
01-30,8.09,0.113,4.746,0.004
01-31,8.32,0.102,4.305,0.001
02-01,9.06,0.066,2.756,0.011
02-02,10.02,0.032,1.342,0.317
02-03,10.1,-0.023,-0.984,0.656
02-04,9.9,-0.044,-1.844,0.505
02-05,9.71,-0.012,-0.494,0.586
02-06,9.06,-0.002,-0.09,0.946
02-07,8.21,0.032,1.344,0.248
02-08,7.92,0.057,2.4,0.095
02-09,7.92,0.053,2.232,0.05
02-10,8.49,0.065,2.746,0.001
02-11,10.13,0.052,2.184,0.302
02-12,8.49,0.057,2.38,0.033
02-13,8.69,0.036,1.53,0.185
02-14,8.91,0.024,0.998,0.4
02-15,8.49,0.022,0.93,0.521
02-16,9.79,0.104,4.38,0.014
02-17,9.65,0.107,4.514,0.02
02-18,10.16,0.1,4.216,0.0
02-19,10.1,0.065,2.73,0.002
02-20,10.19,-0.01,-0.434,0.809
02-21,11.69,-0.102,-4.302,0.256
02-22,11.07,-0.056,-2.37,0.501
02-23,13.24,-0.085,-3.558,0.037
02-24,13.269,-0.14,-5.895,0.006
02-25,12.25,-0.085,-3.57,0.121
02-26,11.32,-0.047,-1.96,0.401
02-27,13.95,0.011,0.472,0.815
02-28,13.53,0.056,2.366,0.057
03-01,12.85,0.107,4.48,0.012
03-02,13.56,0.113,4.75,0.01
03-03,13.36,0.1,4.2,0.0
03-04,13.58,0.106,4.438,0.004
03-05,13.13,0.077,3.255,0.044
03-06,12.31,0.051,2.162,0.308
03-07,11.8,0.048,2.012,0.215
03-08,13.22,0.037,1.54,0.407
03-09,13.3,0.019,0.784,0.628
03-10,14.07,0.059,2.468,0.082
03-11,15.82,0.049,2.048,0.299
03-12,18.56,0.071,2.978,0.288
03-13,18.93,0.106,4.444,0.029
03-14,17.74,0.122,5.122,0.019
03-15,17.15,0.139,5.828,0.117
03-16,18.25,0.126,5.276,0.004
03-17,16.22,0.046,1.938,0.039
03-18,15.68,0.018,0.77,0.57
03-19,15.03,0.068,2.84,0.039
03-20,15.54,0.057,2.394,0.168
03-21,17.55,0.042,1.762,0.581
03-22,18.42,0.0,0.0,1.0
03-23,18.68,0.039,1.628,0.582
03-24,19.24,0.015,0.65,0.849
03-25,18.93,-0.039,-1.628,0.498
03-26,19.19,-0.05,-2.1,0.467
03-27,19.33,-0.11,-4.62,0.38
03-28,19.84,-0.042,-1.75,0.749
03-29,19.81,0.011,0.47,0.858
03-30,19.81,0.085,3.57,0.392
03-31,19.44,0.058,2.44,0.352
04-01,19.13,-0.031,-1.306,0.73
04-02,19.1,-0.097,-4.07,0.069
04-03,18.17,-0.121,-5.064,0.019
04-04,19.16,-0.089,-3.738,0.008
04-05,19.98,-0.142,-5.944,0.028
04-06,18.23,-0.123,-5.175,0.143
04-07,17.04,-0.079,-3.325,0.067
04-08,17.06,-0.027,-1.116,0.574
04-09,17.57,-0.107,-4.504,0.015
04-10,16.9,-0.173,-7.274,0.042
04-11,18.11,-0.131,-5.512,0.179
04-12,18.59,-0.054,-2.26,0.493
04-13,19.58,0.005,0.192,1.0
04-14,20.04,-0.027,-1.116,0.578
04-15,19.67,-0.106,-4.462,0.163
04-16,18.59,-0.149,-6.256,0.059
04-17,18.51,-0.074,-3.116,0.01
04-18,16.87,-0.118,-4.977,0.112
04-19,15.06,-0.106,-4.472,0.095
04-20,14.15,-0.052,-2.17,0.399
04-21,13.98,0.055,2.31,0.397
04-22,17.09,0.049,2.056,0.165
04-23,15.31,0.051,2.13,0.086
04-24,14.77,0.022,0.938,0.492
04-25,14.32,0.022,0.944,0.715
04-26,14.18,0.079,3.332,0.077
04-27,14.09,0.072,3.04,0.0
04-28,14.69,-0.024,-1.02,0.615
04-29,13.39,-0.009,-0.372,0.796
04-30,12.93,0.014,0.596,0.695
05-01,12.31,0.032,1.365,0.444
05-02,11.8,0.03,1.24,0.548
05-03,12.82,0.002,0.094,0.979
05-04,13.44,-0.046,-1.95,0.336
05-05,15.2,0.03,1.26,0.464
05-06,14.89,0.03,1.274,0.496
05-07,14.89,0.029,1.222,0.448
05-08,12.82,0.052,2.164,0.098
05-09,13.36,0.071,2.988,0.02
05-10,12.85,0.066,2.778,0.075
05-11,12.28,0.031,1.306,0.342
05-12,12.76,0.091,3.808,0.118
05-13,12.25,0.094,3.964,0.017
05-14,12.28,0.085,3.57,0.011
05-15,11.63,0.119,4.998,0.001
05-16,12.54,0.117,4.92,0.001
05-17,11.24,0.13,5.444,0.0
05-18,10.27,0.102,4.268,0.0
05-19,10.5,0.079,3.332,0.012
05-20,10.19,0.029,1.22,0.255
05-21,9.62,-0.014,-0.568,0.71
05-22,9.08,-0.008,-0.357,0.784
05-23,8.35,-0.02,-0.84,0.554
05-24,9.51,-0.05,-2.118,0.167
05-25,8.6,-0.068,-2.856,0.076
05-26,8.69,-0.035,-1.47,0.343
05-27,8.32,-0.007,-0.298,0.852
05-28,7.98,-0.034,-1.442,0.273
05-29,8.18,-0.017,-0.724,0.659
05-30,9.82,0.017,0.706,0.807
05-31,8.74,0.036,1.522,0.274
06-01,8.12,-0.025,-1.05,0.436
06-02,8.04,-0.03,-1.26,0.296
06-03,7.87,-0.048,-2.022,0.102
06-04,7.58,-0.06,-2.53,0.097
06-05,7.53,-0.038,-1.61,0.389
06-06,7.56,-0.059,-2.488,0.238
06-07,6.96,-0.057,-2.38,0.177
06-08,6.31,-0.056,-2.352,0.056
06-09,7.36,-0.043,-1.81,0.161
06-10,7.19,-0.02,-0.826,0.428
06-11,6.96,0.012,0.5,0.569
06-12,6.79,-0.009,-0.394,0.471
06-13,6.42,-0.011,-0.464,0.774
06-14,6.74,-0.011,-0.462,0.764
06-15,6.25,-0.021,-0.886,0.53
06-16,5.6,-0.024,-1.024,0.378
06-17,5.46,-0.019,-0.784,0.531
06-18,5.29,-0.004,-0.174,0.757
06-19,5.38,0.002,0.064,0.968
06-20,5.21,0.018,0.735,0.621
06-21,4.73,0.014,0.588,0.784
06-22,4.73,0.013,0.566,0.613
06-23,4.84,-0.002,-0.076,0.91
06-24,4.9,0.008,0.346,0.599
06-25,5.04,0.004,0.154,0.875
06-26,4.78,0.01,0.42,0.701
06-27,4.53,0.007,0.304,0.845
06-28,4.44,0.042,1.754,0.052
06-29,4.39,0.038,1.58,0.013
06-30,3.96,0.003,0.134,0.713
07-01,3.96,0.001,0.05,0.931
07-02,4.16,0.002,0.07,0.95
07-03,4.92,0.002,0.084,1.0
07-04,4.53,0.018,0.756,0.323
07-05,3.96,0.01,0.42,0.549
07-06,3.54,-0.004,-0.152,0.818
07-07,3.739,-0.008,-0.315,0.709
07-08,3.96,0.02,0.86,0.329
07-09,4.27,0.028,1.19,0.183
07-10,3.79,0.026,1.098,0.197
07-11,3.45,0.034,1.428,0.037
07-12,3.57,0.029,1.202,0.167
07-13,3.34,0.014,0.604,0.329
07-14,3.31,0.024,1.008,0.117
07-15,3.62,0.032,1.336,0.093
07-16,3.4,0.038,1.582,0.055
07-17,3.51,0.036,1.508,0.129
07-18,3.99,0.047,1.96,0.029
07-19,3.31,0.036,1.53,0.015
07-20,3.28,0.03,1.242,0.071
07-21,3.06,-0.001,-0.024,0.986
07-22,3.82,0.004,0.18,0.692
07-23,3.45,0.02,0.84,0.615
07-24,3.48,0.023,0.954,0.625
07-25,3.4,0.041,1.714,0.125
07-26,3.82,0.035,1.47,0.148
07-27,3.82,-0.012,-0.496,0.691
07-28,3.25,0.019,0.805,0.208
07-29,3.25,0.029,1.21,0.058
07-30,3.68,0.041,1.724,0.015
07-31,3.96,0.041,1.722,0.008
08-01,3.74,0.031,1.308,0.022
08-02,3.65,0.025,1.04,0.091
08-03,3.4,0.011,0.48,0.388
08-04,3.23,0.026,1.11,0.1
08-05,3.03,0.024,0.998,0.046
08-06,3.11,0.029,1.226,0.001
08-07,2.89,0.023,0.972,0.086
08-08,2.97,0.031,1.292,0.03
08-09,3.11,0.014,0.585,0.087
08-10,2.89,0.01,0.408,0.341
08-11,3.11,0.022,0.934,0.135
08-12,3.0,0.013,0.556,0.395
08-13,3.42,0.041,1.724,0.156
08-14,3.34,0.038,1.614,0.135
08-15,3.11,0.059,2.48,0.049
08-16,2.79,0.056,2.332,0.043
08-17,3.4,0.046,1.916,0.014
08-18,3.11,0.045,1.884,0.0
08-19,2.83,0.053,2.24,0.05
08-20,2.72,0.046,1.916,0.03
08-21,2.75,0.069,2.88,0.0
08-22,2.49,0.081,3.386,0.0
08-23,2.41,0.097,4.08,0.0
08-24,2.39,0.061,2.564,0.0
08-25,2.46,0.043,1.786,0.0
08-26,2.82,0.045,1.878,0.001
08-27,3.11,0.022,0.932,0.284
08-28,2.8,0.026,1.076,0.057
08-29,2.66,0.018,0.736,0.058
08-30,2.46,0.017,0.735,0.022
08-31,2.38,0.019,0.805,0.078
09-01,2.58,0.022,0.945,0.06
09-02,2.46,0.032,1.354,0.087
09-03,2.75,0.032,1.326,0.04
09-04,2.35,0.022,0.904,0.005
09-05,2.71,0.028,1.176,0.006
09-06,2.5,0.017,0.706,0.087
09-07,2.57,0.019,0.816,0.104
09-08,2.48,0.013,0.528,0.283
09-09,2.46,0.007,0.308,0.58
09-10,2.56,0.01,0.404,0.5
09-11,2.45,0.006,0.258,0.741
09-12,2.3,0.012,0.488,0.29
