,mean,slp,chg,pvalue
0,2.16,0.02,0.84,0.0
1,2.01,0.016,0.693,0.0
2,1.93,0.016,0.684,0.0
3,1.86,0.014,0.57,0.0
4,1.84,0.016,0.668,0.0
5,1.95,0.017,0.72,0.001
6,1.92,0.011,0.476,0.02
7,1.92,0.004,0.178,0.232
8,1.86,0.006,0.273,0.156
9,2.0,0.017,0.706,0.0
10,1.95,0.021,0.89,0.0
11,1.96,0.015,0.63,0.0
12,1.89,0.017,0.7,0.0
13,1.81,0.013,0.536,0.0
14,1.71,0.011,0.448,0.0
15,1.64,0.011,0.462,0.001
16,1.67,0.008,0.356,0.002
17,1.54,0.011,0.458,0.0
18,1.52,0.009,0.374,0.0
19,1.53,0.012,0.498,0.0
20,1.51,0.016,0.678,0.0
21,1.53,0.015,0.622,0.0
22,1.54,0.018,0.764,0.0
23,1.45,0.019,0.805,0.0
24,1.45,0.019,0.808,0.0
25,1.4,0.014,0.588,0.0
26,1.34,0.011,0.48,0.0
27,1.34,0.012,0.514,0.0
28,1.22,0.01,0.42,0.0
29,1.33,0.006,0.248,0.0
30,1.29,0.009,0.362,0.0
31,1.25,0.011,0.468,0.0
32,1.19,0.01,0.42,0.0
33,1.16,0.01,0.42,0.0
34,1.24,0.012,0.49,0.0
35,1.25,0.011,0.446,0.0
36,1.18,0.011,0.446,0.0
37,1.16,0.01,0.42,0.0
38,1.22,0.011,0.472,0.0
39,1.25,0.014,0.588,0.0
40,1.249,0.01,0.441,0.0
41,1.19,0.009,0.374,0.0
42,1.17,0.005,0.21,0.01
43,1.06,0.008,0.342,0.0
44,1.16,0.007,0.28,0.094
45,1.13,0.008,0.356,0.078
46,1.16,0.009,0.396,0.014
47,1.06,0.01,0.42,0.0
48,1.1,0.01,0.402,0.0
49,1.13,0.01,0.408,0.0
50,1.17,0.009,0.39,0.0
51,1.1,0.007,0.302,0.003
52,1.08,0.01,0.42,0.0
53,1.04,0.012,0.498,0.0
54,0.99,0.01,0.408,0.0
55,0.97,0.008,0.334,0.001
