,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.05785714285714283,-110.52857122857138,0.00021243341284815642,3.0,39.0,2.43,0.387,3.971,6.401
01-02,0.07214287142857145,-138.88145691428576,0.046209831083051656,2.0,39.0,3.03,0.432,3.889,6.919
01-03,0.052000020000000015,-99.07603976000004,0.005570952674333274,3.0,39.0,2.184,0.377,3.832,6.016
01-04,0.05677419032258066,-108.32483216451617,0.00018387835696431765,3.0,39.0,2.385,0.437,4.031,6.416
01-05,0.018148148148148156,-31.209999800000016,0.18354723431437248,0.0,39.0,0.762,0.099,4.705,5.467
01-06,0.021851851851851848,-38.36999999999999,0.26653459730775086,0.0,39.0,0.918,0.092,4.875,5.793
01-07,0.02058824117647061,-36.185306070588275,0.19295140733604965,0.0,39.0,0.865,0.1,4.559,5.424
01-08,0.042727272727272704,-80.61909090909086,0.0795483902657752,1.0,39.0,1.795,0.184,3.938,5.733
01-09,0.04030304242424243,-75.71547886363638,0.021678423265141022,2.0,39.0,1.693,0.17,4.044,5.737
01-10,0.042777777777777755,-81.10000009999995,0.0026870704745907137,3.0,39.0,1.797,0.236,3.557,5.354
01-11,0.03421052105263157,-64.17262126315788,0.005335272345413866,3.0,39.0,1.437,0.182,3.53,4.967
01-12,0.08913044347826089,-173.47262596956526,0.009682604884902357,3.0,39.0,3.743,0.394,2.917,6.66
01-13,0.14466667333333336,-284.24401312000003,0.01093247930541219,2.0,39.0,6.076,0.488,2.051,8.127
01-14,0.12055556111111113,-236.17001130000003,0.004198972927692113,3.0,39.0,5.064,0.353,2.409,7.473
01-15,0.10214284285714284,-199.4414001285714,0.00011763278764953533,3.0,39.0,4.29,0.297,2.699,6.989
01-16,0.09000000000000001,-175.2400001,2.7009832370694653e-08,3.0,39.0,3.78,0.404,2.87,6.65
01-17,0.06000000000000005,-115.11999980000012,1.0768110043635204e-06,3.0,39.0,2.52,0.32,3.62,6.14
