,mean,slp,chg,pvalue
0,5.04,0.051,2.162,0.0
1,5.29,0.025,1.044,0.071
2,4.75,0.025,1.05,0.237
3,5.18,0.024,1.02,0.392
4,5.41,0.008,0.326,0.642
5,5.04,0.013,0.55,0.529
6,4.92,0.019,0.78,0.393
7,4.73,0.017,0.706,0.563
8,4.75,0.01,0.42,0.694
9,4.95,0.01,0.42,0.458
10,4.92,0.019,0.81,0.055
11,5.49,0.031,1.3,0.017
12,5.38,0.058,2.426,0.003
13,5.09,0.044,1.83,0.003
14,5.09,0.035,1.482,0.0
15,5.07,0.049,2.05,0.0
16,4.95,0.054,2.25,0.0
17,5.15,0.05,2.118,0.0
18,5.38,0.045,1.884,0.0
19,5.18,0.038,1.614,0.001
20,4.98,0.028,1.17,0.037
21,4.64,0.021,0.862,0.255
22,4.64,0.006,0.252,0.741
23,4.67,0.002,0.074,0.96
24,5.21,0.008,0.326,0.497
25,5.43,0.004,0.172,0.846
26,5.18,-0.016,-0.654,0.449
27,5.07,-0.009,-0.36,0.757
28,5.32,-0.006,-0.268,0.789
29,4.9,-0.007,-0.312,0.62
30,5.43,-0.012,-0.5,0.499
31,5.49,-0.028,-1.176,0.243
32,4.92,-0.02,-0.84,0.267
33,4.78,-0.032,-1.35,0.044
34,4.98,-0.038,-1.592,0.02
35,4.87,-0.036,-1.496,0.026
36,4.92,-0.014,-0.588,0.217
37,4.84,-0.011,-0.47,0.281
38,4.78,-0.007,-0.28,0.316
39,4.78,-0.005,-0.222,0.616
40,4.9,-0.004,-0.18,0.305
41,4.75,0.005,0.19,0.612
42,4.56,0.003,0.126,0.87
43,5.04,-0.003,-0.14,0.699
44,5.07,0.006,0.252,0.58
45,5.21,0.007,0.276,0.524
46,5.58,0.002,0.064,0.858
47,5.46,0.006,0.252,0.842
48,5.24,-0.007,-0.284,0.624
49,5.24,-0.003,-0.124,0.871
50,5.35,-0.006,-0.244,0.5
51,5.91,-0.036,-1.522,0.0
52,5.89,-0.057,-2.38,0.0
53,6.17,-0.036,-1.528,0.0
54,6.57,-0.04,-1.68,0.001
55,6.31,0.005,0.21,0.584
56,5.91,0.011,0.452,0.202
57,5.58,0.022,0.92,0.235
58,5.66,0.031,1.302,0.029
59,5.46,0.012,0.508,0.19
60,5.86,0.02,0.826,0.025
61,5.94,0.012,0.52,0.434
62,6.11,0.007,0.298,0.542
63,5.8,-0.022,-0.904,0.05
64,5.6,-0.032,-1.35,0.0
65,5.35,-0.031,-1.292,0.005
66,5.32,-0.035,-1.47,0.004
67,5.26,-0.031,-1.288,0.004
68,5.18,-0.021,-0.862,0.057
69,5.69,-0.026,-1.108,0.064
70,5.91,-0.019,-0.794,0.169
71,6.251,-0.008,-0.315,0.544
72,6.48,-0.026,-1.082,0.044
73,6.93,-0.012,-0.52,0.247
74,6.76,0.012,0.494,0.466
75,6.48,0.007,0.31,0.613
76,6.62,-0.037,-1.574,0.011
77,6.59,-0.037,-1.54,0.015
78,6.65,-0.029,-1.218,0.111
79,6.48,-0.029,-1.206,0.031
80,6.62,-0.034,-1.446,0.198
81,6.28,-0.021,-0.886,0.158
82,5.86,-0.008,-0.342,0.529
83,5.83,-0.02,-0.856,0.102
84,5.89,-0.02,-0.84,0.09
85,6.45,-0.042,-1.758,0.0
86,6.37,-0.035,-1.464,0.011
87,6.2,-0.005,-0.224,0.68
88,6.34,0.015,0.63,0.552
89,6.57,-0.023,-0.984,0.442
90,7.02,-0.003,-0.132,0.92
91,6.85,0.013,0.544,0.388
92,6.51,0.012,0.502,0.192
93,8.04,-0.007,-0.294,0.848
94,7.56,-0.02,-0.84,0.127
95,7.87,-0.034,-1.428,0.063
96,7.84,-0.023,-0.972,0.141
97,7.27,-0.007,-0.315,0.543
98,7.02,-0.008,-0.318,0.613
99,7.02,-0.015,-0.62,0.375
