,mean,slp,chg,pvalue
01-01,0.143,0.002,0.09,0.005
01-02,0.138,0.002,0.084,0.012
01-03,0.138,0.002,0.089,0.008
01-04,0.144,0.003,0.105,0.002
01-05,0.144,0.003,0.105,0.0
01-06,0.149,0.003,0.106,0.001
01-07,0.144,0.003,0.105,0.001
01-08,0.149,0.002,0.105,0.003
01-09,0.15,0.003,0.129,0.0
01-10,0.14,0.003,0.125,0.0
01-11,0.134,0.002,0.101,0.002
01-12,0.138,0.002,0.097,0.003
01-13,0.154,0.003,0.114,0.004
01-14,0.154,0.002,0.105,0.004
01-15,0.159,0.003,0.112,0.003
01-16,0.149,0.003,0.105,0.006
01-17,0.144,0.002,0.105,0.003
01-18,0.139,0.003,0.11,0.003
01-19,0.144,0.003,0.12,0.001
01-20,0.144,0.003,0.12,0.002
01-21,0.149,0.003,0.12,0.002
01-22,0.139,0.003,0.11,0.003
01-23,0.134,0.002,0.089,0.017
01-24,0.144,0.002,0.097,0.017
01-25,0.163,0.002,0.078,0.019
01-26,0.163,0.002,0.076,0.015
01-27,0.153,0.002,0.078,0.014
01-28,0.154,0.002,0.093,0.004
01-29,0.148,0.002,0.09,0.003
01-30,0.143,0.002,0.086,0.002
01-31,0.143,0.002,0.086,0.004
02-01,0.133,0.002,0.084,0.005
02-02,0.134,0.003,0.105,0.001
02-03,0.129,0.003,0.112,0.001
02-04,0.128,0.002,0.105,0.002
02-05,0.139,0.003,0.11,0.002
02-06,0.138,0.002,0.105,0.002
02-07,0.134,0.002,0.093,0.006
02-08,0.144,0.002,0.1,0.007
02-09,0.144,0.002,0.091,0.004
02-10,0.148,0.002,0.084,0.007
02-11,0.153,0.002,0.082,0.006
02-12,0.154,0.002,0.095,0.007
02-13,0.164,0.002,0.095,0.004
02-14,0.174,0.002,0.105,0.004
02-15,0.164,0.003,0.107,0.002
02-16,0.158,0.002,0.105,0.002
02-17,0.169,0.003,0.116,0.002
02-18,0.174,0.003,0.127,0.001
02-19,0.174,0.003,0.12,0.007
02-20,0.184,0.003,0.114,0.003
02-21,0.184,0.002,0.099,0.013
02-22,0.194,0.002,0.103,0.012
02-23,0.173,0.002,0.092,0.016
02-24,0.173,0.002,0.088,0.003
02-25,0.183,0.002,0.09,0.006
02-26,0.193,0.002,0.084,0.003
02-27,0.198,0.002,0.065,0.005
02-28,0.202,0.002,0.069,0.011
03-01,0.213,0.002,0.076,0.006
03-02,0.214,0.003,0.108,0.004
03-03,0.21,0.003,0.117,0.001
03-04,0.209,0.002,0.103,0.003
03-05,0.203,0.002,0.086,0.018
03-06,0.228,0.002,0.078,0.008
03-07,0.213,0.002,0.072,0.025
03-08,0.252,0.002,0.075,0.055
03-09,0.256,0.0,0.015,0.582
03-10,0.256,0.001,0.022,0.566
03-11,0.296,0.001,0.038,0.399
03-12,0.292,0.001,0.041,0.434
03-13,0.342,0.001,0.056,0.134
03-14,0.314,0.002,0.099,0.057
03-15,0.378,0.002,0.086,0.23
03-16,0.369,0.003,0.114,0.077
03-17,0.358,0.002,0.101,0.147
03-18,0.34,0.003,0.125,0.006
03-19,0.322,0.004,0.181,0.009
03-20,0.345,0.003,0.14,0.079
03-21,0.344,0.003,0.133,0.083
03-22,0.364,0.002,0.099,0.088
03-23,0.352,0.005,0.192,0.032
03-24,0.356,0.004,0.166,0.104
03-25,0.379,0.003,0.12,0.252
03-26,0.354,0.003,0.127,0.221
03-27,0.374,0.003,0.116,0.095
03-28,0.364,0.003,0.116,0.041
03-29,0.35,0.003,0.133,0.034
03-30,0.355,0.003,0.134,0.019
03-31,0.336,0.004,0.168,0.001
04-01,0.351,0.003,0.143,0.004
04-02,0.353,0.005,0.21,0.0
04-03,0.342,0.005,0.196,0.003
04-04,0.381,0.004,0.18,0.022
04-05,0.352,0.004,0.185,0.006
04-06,0.39,0.003,0.14,0.004
04-07,0.428,0.002,0.077,0.401
04-08,0.414,0.002,0.093,0.283
04-09,0.446,0.004,0.164,0.158
