,mean,slp,chg,pvalue
01-01,21.9,0.143,6.02,0.202
01-02,20.35,0.113,4.76,0.323
01-03,19.7,0.116,4.858,0.43
01-04,19.22,0.046,1.948,0.662
01-05,19.39,0.08,3.348,0.483
01-06,19.13,0.062,2.595,0.284
01-07,19.36,0.03,1.26,0.714
01-08,19.67,0.0,0.0,1.0
01-09,18.82,-0.004,-0.178,0.953
01-10,22.05,-0.043,-1.785,0.58
01-11,20.49,0.067,2.812,0.241
01-12,21.11,0.107,4.494,0.038
01-13,19.33,0.115,4.83,0.043
01-14,18.65,0.093,3.904,0.045
01-15,17.52,0.058,2.428,0.194
01-16,16.75,0.066,2.752,0.092
01-17,19.19,0.066,2.76,0.104
01-18,18.68,0.112,4.69,0.039
01-19,19.47,0.042,1.746,0.445
01-20,19.53,0.029,1.208,0.698
01-21,21.17,-0.083,-3.5,0.283
01-22,23.18,-0.067,-2.794,0.434
01-23,23.91,-0.075,-3.15,0.318
01-24,23.6,-0.093,-3.885,0.312
01-25,22.13,-0.092,-3.864,0.273
01-26,22.78,-0.086,-3.616,0.352
01-27,20.69,-0.019,-0.8,0.705
01-28,20.21,-0.038,-1.6,0.571
01-29,21.22,-0.039,-1.65,0.524
01-30,21.0,-0.011,-0.48,0.695
01-31,20.97,-0.006,-0.254,0.706
02-01,19.33,-0.068,-2.866,0.161
02-02,19.41,-0.093,-3.914,0.004
02-03,20.21,-0.031,-1.296,0.587
02-04,22.56,-0.034,-1.428,0.564
02-05,20.8,0.146,6.12,0.048
02-06,19.73,0.124,5.202,0.123
02-07,20.09,0.194,8.132,0.066
02-08,20.12,0.261,10.978,0.005
02-09,19.67,0.179,7.497,0.001
02-10,20.52,0.046,1.944,0.373
02-11,20.21,0.049,2.06,0.787
02-12,20.72,0.091,3.826,0.253
02-13,20.32,0.075,3.132,0.564
02-14,22.98,0.007,0.31,0.962
02-15,22.95,-0.01,-0.434,0.965
02-16,26.15,-0.044,-1.83,0.55
02-17,24.71,-0.164,-6.872,0.037
02-18,23.4,-0.209,-8.784,0.009
02-19,22.72,-0.179,-7.51,0.022
02-20,22.67,-0.105,-4.41,0.074
02-21,22.3,0.057,2.376,0.352
02-22,24.39,0.139,5.817,0.094
02-23,24.85,0.236,9.894,0.108
02-24,24.25,0.265,11.13,0.105
02-25,24.73,0.34,14.28,0.028
02-26,23.18,0.282,11.834,0.004
02-27,22.1,0.203,8.514,0.021
02-28,22.7,0.12,5.05,0.031
03-01,22.95,0.265,11.12,0.005
03-02,23.04,0.353,14.847,0.005
03-03,23.6,0.434,18.228,0.0
03-04,26.69,0.41,17.202,0.0
03-05,24.76,0.25,10.5,0.0
03-06,25.81,0.124,5.216,0.209
03-07,24.45,0.069,2.92,0.405
03-08,24.08,0.076,3.21,0.492
03-09,25.7,0.095,3.98,0.547
03-10,26.69,0.082,3.454,0.37
03-11,26.69,0.201,8.442,0.053
03-12,25.98,0.214,9.008,0.002
03-13,25.16,0.162,6.806,0.001
03-14,24.59,0.085,3.57,0.189
03-15,24.71,0.137,5.75,0.0
03-16,22.41,0.089,3.74,0.003
03-17,20.63,0.077,3.255,0.235
03-18,22.98,0.103,4.305,0.014
03-19,21.56,0.089,3.748,0.001
03-20,21.73,0.089,3.736,0.221
03-21,22.05,0.07,2.956,0.468
03-22,22.78,0.075,3.138,0.466
03-23,24.68,-0.068,-2.864,0.337
03-24,24.06,-0.094,-3.966,0.142
03-25,21.82,-0.085,-3.57,0.356
03-26,20.89,-0.023,-0.966,0.83
03-27,19.44,-0.006,-0.252,0.936
03-28,18.51,0.005,0.222,1.0
03-29,18.08,0.075,3.15,0.222
03-30,20.57,0.034,1.428,0.622
03-31,21.25,0.043,1.784,0.752
04-01,24.22,-0.03,-1.278,0.836
04-02,24.34,-0.112,-4.718,0.348
