,mean,slp,chg,pvalue
01-01,0.31,0.001,0.052,0.127
01-02,0.33,0.001,0.062,0.37
01-03,0.32,0.002,0.068,0.335
01-04,0.32,0.002,0.072,0.238
01-05,0.28,0.002,0.07,0.183
01-06,0.28,0.001,0.062,0.168
01-07,0.24,0.002,0.074,0.132
01-08,0.2,0.001,0.052,0.227
01-09,0.28,0.002,0.07,0.093
01-10,0.28,0.002,0.078,0.09
01-11,0.28,0.0,0.012,0.608
01-12,0.28,0.001,0.03,0.571
01-13,0.27,0.0,0.016,0.738
01-14,0.26,0.001,0.034,0.505
01-15,0.23,0.001,0.04,0.378
01-16,0.23,0.002,0.082,0.202
01-17,0.23,0.002,0.08,0.163
01-18,0.23,0.001,0.062,0.23
01-19,0.22,0.001,0.046,0.373
01-20,0.24,0.0,0.016,0.558
01-21,0.22,0.001,0.036,0.248
01-22,0.25,0.003,0.114,0.088
01-23,0.23,0.002,0.082,0.09
01-24,0.23,0.001,0.054,0.174
01-25,0.25,0.004,0.162,0.06
01-26,0.23,0.004,0.16,0.001
01-27,0.22,0.004,0.172,0.012
01-28,0.26,0.004,0.18,0.018
01-29,0.29,0.004,0.16,0.054
01-30,0.22,0.003,0.14,0.031
01-31,0.22,0.002,0.096,0.124
02-01,0.22,0.003,0.116,0.136
02-02,0.22,0.003,0.105,0.121
02-03,0.22,0.001,0.058,0.291
02-04,0.21,0.001,0.026,0.504
02-05,0.22,0.0,0.0,0.954
02-06,0.2,-0.0,-0.012,0.595
02-07,0.2,0.0,0.0,0.81
02-08,0.2,0.0,0.0,0.79
02-09,0.2,0.0,0.0,0.708
02-10,0.19,-0.001,-0.028,0.68
02-11,0.25,0.0,0.018,0.671
02-12,0.32,0.002,0.084,0.184
02-13,0.31,0.002,0.07,0.243
02-14,0.31,0.003,0.114,0.152
02-15,0.26,0.001,0.06,0.339
02-16,0.18,0.002,0.07,0.222
02-17,0.28,0.001,0.04,0.556
02-18,0.37,0.001,0.06,0.363
02-19,0.37,0.002,0.07,0.282
02-20,0.39,0.008,0.33,0.004
02-21,0.54,0.01,0.42,0.006
02-22,0.52,0.01,0.42,0.025
02-23,0.51,0.008,0.344,0.022
02-24,0.44,0.004,0.168,0.118
02-25,0.51,0.003,0.136,0.279
02-26,0.48,0.001,0.06,0.775
02-27,0.45,0.001,0.052,0.618
02-28,0.4,0.001,0.032,0.805
03-01,0.42,0.001,0.046,0.73
03-02,0.37,0.002,0.08,0.437
03-03,0.37,0.001,0.054,0.629
03-04,0.48,0.0,0.0,1.0
03-05,0.45,0.003,0.126,0.506
03-06,0.4,0.002,0.1,0.422
03-07,0.4,0.001,0.048,0.654
03-08,0.4,0.001,0.05,0.475
03-09,0.34,0.003,0.14,0.232
03-10,0.4,0.005,0.226,0.048
03-11,0.37,0.004,0.17,0.123
03-12,0.59,0.003,0.118,0.395
03-13,1.16,0.005,0.21,0.184
03-14,0.57,0.002,0.094,0.502
03-15,0.64,-0.0,-0.012,0.952
03-16,0.4,-0.001,-0.022,0.81
03-17,0.48,0.0,0.0,0.954
03-18,0.64,0.001,0.062,0.818
03-19,0.68,0.003,0.144,0.646
03-20,1.81,0.003,0.14,0.505
03-21,1.73,0.0,0.0,1.0
03-22,1.65,-0.002,-0.076,0.367
03-23,1.53,-0.006,-0.262,0.252
03-24,1.49,-0.002,-0.084,0.583
03-25,1.44,0.001,0.038,0.801
03-26,1.64,0.007,0.28,0.492
03-27,1.51,0.001,0.032,0.882
03-28,1.98,0.0,0.0,1.0
03-29,1.92,-0.006,-0.236,0.336
03-30,2.0,-0.004,-0.158,0.252
03-31,1.32,0.0,0.0,1.0
04-01,1.27,-0.002,-0.088,0.707
04-02,1.21,-0.0,-0.014,0.901
04-03,1.07,0.003,0.114,0.461
04-04,1.06,0.001,0.054,0.834
04-05,1.0,0.003,0.124,0.56
04-06,0.99,0.0,0.0,1.0
04-07,0.94,0.002,0.092,0.737
04-08,0.89,0.002,0.064,0.8
04-09,0.84,0.004,0.186,0.467
04-10,0.85,0.002,0.09,0.551
04-11,0.76,0.003,0.128,0.466
04-12,0.84,0.006,0.244,0.393
04-13,0.74,0.007,0.306,0.176
04-14,0.88,0.002,0.084,0.621
04-15,0.79,0.007,0.31,0.196
04-16,0.68,0.006,0.268,0.183
04-17,0.78,0.008,0.332,0.022
04-18,0.76,0.005,0.222,0.482
04-19,0.74,0.007,0.284,0.259
04-20,0.7,0.007,0.28,0.316
04-21,0.68,0.005,0.21,0.266
04-22,0.61,0.003,0.124,0.387
04-23,0.69,0.003,0.116,0.22
04-24,0.79,0.006,0.234,0.272
04-25,0.68,0.007,0.28,0.133
04-26,0.85,0.001,0.058,0.613
04-27,0.82,0.007,0.274,0.031
04-28,0.94,0.002,0.07,0.447
04-29,1.0,-0.001,-0.046,0.87
04-30,1.05,0.003,0.13,0.262
05-01,1.02,0.0,0.0,1.0
05-02,0.93,0.007,0.285,0.113
05-03,1.08,0.001,0.058,0.728
05-04,0.92,0.008,0.315,0.077
05-05,0.8,0.006,0.24,0.098
05-06,1.01,0.006,0.232,0.271
05-07,0.91,-0.002,-0.076,0.758
05-08,0.82,-0.001,-0.06,0.585
05-09,1.1,-0.008,-0.315,0.214
05-10,1.08,-0.005,-0.228,0.129
05-11,1.13,0.007,0.288,0.51
05-12,1.42,0.012,0.516,0.11
05-13,1.47,-0.01,-0.42,0.348
05-14,1.65,-0.001,-0.024,0.886
05-15,1.62,0.005,0.21,0.334
05-16,1.64,-0.001,-0.046,0.842
05-17,1.58,-0.002,-0.086,0.828
05-18,1.37,-0.01,-0.42,0.285
05-19,1.42,0.0,0.0,0.968
05-20,1.36,0.001,0.05,0.8
05-21,1.44,0.003,0.126,0.511
05-22,1.39,0.006,0.248,0.083
05-23,1.12,0.005,0.21,0.185
05-24,1.04,0.003,0.132,0.218
05-25,1.28,0.02,0.84,0.062
05-26,1.19,0.021,0.903,0.019
05-27,1.1,0.017,0.708,0.099
05-28,1.15,0.014,0.584,0.17
05-29,1.02,0.016,0.688,0.031
05-30,0.91,0.006,0.248,0.09
05-31,0.88,0.003,0.116,0.391
06-01,0.85,-0.002,-0.105,0.823
06-02,0.74,-0.002,-0.094,0.652
06-03,1.19,-0.005,-0.19,0.345
06-04,1.05,-0.009,-0.36,0.361
06-05,1.1,-0.006,-0.272,0.496
06-06,1.05,-0.015,-0.63,0.233
06-07,1.25,-0.015,-0.614,0.11
06-08,1.1,-0.006,-0.246,0.371
06-09,0.88,-0.002,-0.106,0.656
06-10,0.68,-0.005,-0.216,0.27
06-11,0.86,-0.012,-0.5,0.229
06-12,0.95,-0.008,-0.336,0.237
06-13,0.85,-0.001,-0.036,0.85
06-14,0.68,-0.004,-0.164,0.521
06-15,0.65,-0.003,-0.134,0.357
06-16,0.73,-0.01,-0.42,0.165
06-17,0.57,-0.006,-0.262,0.076
06-18,0.62,-0.006,-0.248,0.041
06-19,0.55,-0.004,-0.186,0.005
06-20,0.57,-0.001,-0.048,0.315
06-21,0.44,-0.002,-0.064,0.264
06-22,0.42,-0.004,-0.18,0.009
06-23,0.42,-0.007,-0.29,0.026
06-24,0.51,-0.003,-0.132,0.074
06-25,0.37,-0.0,-0.014,0.528
06-26,0.4,-0.008,-0.326,0.009
06-27,0.32,-0.005,-0.21,0.019
06-28,0.31,-0.006,-0.272,0.004
06-29,0.31,-0.005,-0.21,0.051
06-30,0.32,-0.001,-0.038,0.576
07-01,0.33,0.0,0.0,0.952
07-02,0.28,0.0,0.0,0.983
07-03,0.45,-0.0,-0.012,0.739
07-04,0.31,0.0,0.0,0.828
07-05,0.23,0.0,0.014,0.626
07-06,0.25,0.0,0.0,1.0
07-07,0.22,0.0,0.0,0.954
07-08,0.2,0.0,0.0,0.946
07-09,0.18,0.0,0.0,0.576
07-10,0.16,0.0,0.0,0.505
07-11,0.16,0.0,0.014,0.404
07-12,0.17,0.0,0.0,0.876
07-13,0.16,0.0,0.0,0.751
07-14,0.18,0.0,0.0,0.914
07-15,0.13,0.0,0.0,0.98
07-16,0.12,0.0,0.0,0.582
07-17,0.12,0.0,0.0,0.629
07-18,0.08,0.0,0.0,0.533
07-19,0.07,0.0,0.0,0.769
07-20,0.07,0.0,0.0,0.333
07-21,0.06,0.0,0.0,0.366
07-22,0.05,0.0,0.0,0.839
07-23,0.05,0.0,0.0,0.856
07-24,0.05,0.0,0.0,0.806
07-25,0.09,0.0,0.0,0.375
07-26,0.05,0.0,0.0,0.532
07-27,0.05,0.0,0.0,1.0
07-28,0.05,0.0,0.0,0.706
07-29,0.04,0.0,0.0,0.779
07-30,0.04,0.0,0.0,0.741
07-31,0.05,0.0,0.0,0.613
08-01,0.04,0.0,0.0,0.563
08-02,0.04,0.0,0.0,0.973
08-03,0.03,0.0,0.0,0.888
08-04,0.03,0.0,0.0,0.762
08-05,0.03,0.0,0.0,0.475
08-06,0.07,0.0,0.0,0.351
08-07,0.03,0.0,0.0,0.293
08-08,0.03,0.0,0.0,0.325
08-09,0.03,0.0,0.0,0.262
08-10,0.06,0.0,0.0,0.832
08-11,0.05,0.0,0.0,0.928
08-12,0.03,0.0,0.0,1.0
08-13,0.03,0.0,0.0,0.871
08-14,0.03,0.0,0.0,0.752
08-15,0.03,0.0,0.0,0.634
08-16,0.02,0.0,0.0,0.976
08-17,0.02,0.0,0.0,0.829
08-18,0.02,0.0,0.0,0.43
08-19,0.02,0.0,0.0,0.204
08-20,0.02,0.0,0.0,0.212
08-21,0.03,0.0,0.0,0.126
08-22,0.02,0.0,0.0,0.225
08-23,0.03,0.0,0.0,0.252
08-24,0.02,0.0,0.0,0.244
08-25,0.02,0.0,0.0,0.327
08-26,0.02,0.0,0.0,0.56
08-27,0.01,0.0,0.0,0.483
08-28,0.02,0.0,0.0,0.393
08-29,0.02,0.0,0.0,0.583
08-30,0.01,0.0,0.0,0.524
08-31,0.01,0.0,0.0,0.487
09-01,0.01,0.0,0.0,0.548
09-02,0.02,0.0,0.0,0.864
09-03,0.02,0.0,0.0,0.333
09-04,0.02,0.0,0.0,0.348
09-05,0.03,0.0,0.0,0.039
09-06,0.03,0.0,0.0,0.14
09-07,0.02,0.0,0.0,0.007
09-08,0.04,0.0,0.0,0.238
09-09,0.05,0.0,0.0,0.366
09-10,0.07,0.0,0.016,0.19
09-11,0.07,0.001,0.026,0.161
09-12,0.04,0.001,0.026,0.082
09-13,0.03,0.001,0.026,0.043
09-14,0.03,0.001,0.028,0.033
09-15,0.04,0.0,0.016,0.032
09-16,0.05,0.0,0.0,0.103
09-17,0.05,0.0,0.0,0.128
09-18,0.05,0.0,0.0,0.2
09-19,0.05,0.0,0.0,0.581
09-20,0.07,0.0,0.0,0.254
09-21,0.04,0.0,0.0,0.023
09-22,0.04,0.001,0.046,0.03
09-23,0.08,0.0,0.016,0.033
09-24,0.07,0.0,0.016,0.014
09-25,0.07,0.0,0.0,0.043
09-26,0.06,0.0,0.014,0.141
09-27,0.05,0.0,0.02,0.074
09-28,0.06,0.001,0.038,0.037
09-29,0.05,0.001,0.026,0.0
09-30,0.05,0.001,0.024,0.001
10-01,0.05,0.0,0.016,0.109
10-02,0.04,0.001,0.028,0.037
10-03,0.03,0.001,0.03,0.025
10-04,0.03,0.001,0.036,0.001
10-05,0.04,0.001,0.022,0.055
10-06,0.05,0.0,0.0,0.001
10-07,0.04,0.0,0.0,0.893
10-08,0.04,0.0,0.0,0.85
10-09,0.05,0.0,0.0,0.63
10-10,0.06,0.0,0.0,0.16
10-11,0.06,0.0,0.02,0.06
10-12,0.06,0.0,0.014,0.038
10-13,0.08,0.001,0.046,0.003
