,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.021544516129032257,44.50969225806451,0.024312286997017596,-2.0,43.0,-0.905,-0.232,1.873,0.968
01-02,-0.020785862068965516,43.16218413793103,0.005186043236228954,-3.0,43.0,-0.873,-0.214,2.027,1.154
01-03,-0.019976470588235293,41.54340117647059,0.000315571471123155,-3.0,43.0,-0.839,-0.212,2.01,1.171
01-04,-0.01897148148148149,39.47116296296298,0.000691037857918797,-3.0,43.0,-0.797,-0.214,1.927,1.13
01-05,-0.018571875000000005,38.67195000000001,0.0010857398109966887,-3.0,43.0,-0.78,-0.216,1.918,1.138
01-06,-0.018571875000000005,38.67195000000001,0.0019680699248865174,-3.0,43.0,-0.78,-0.215,1.918,1.138
01-07,-0.018571875000000005,38.58705000000001,0.0015415046747511152,-3.0,43.0,-0.78,-0.226,1.833,1.053
01-08,-0.018112000000000007,37.610700000000016,0.002156888764886844,-3.0,43.0,-0.761,-0.232,1.767,1.006
01-09,-0.01906088235294118,39.768824705882366,0.007330436173353494,-3.0,43.0,-0.8,-0.244,2.047,1.247
01-10,-0.018571875000000005,38.80779000000001,0.005440265163917157,-3.0,43.0,-0.78,-0.243,2.054,1.274
01-11,-0.022993749999999993,47.57229999999999,0.011029688796170278,-2.0,43.0,-0.966,-0.255,2.068,1.102
01-12,-0.022993749999999993,47.527019999999986,0.0036338653314569314,-3.0,43.0,-0.965,-0.277,2.022,1.057
01-13,-0.022511363636363635,46.66412727272727,0.0021497252413551493,-3.0,43.0,-0.945,-0.27,2.114,1.169
01-14,-0.02497058823529407,51.582576470588144,0.0007400586779520157,-3.0,43.0,-1.049,-0.323,2.166,1.117
01-15,-0.02138222222222223,44.547344444444455,0.0014191911356473685,-3.0,43.0,-0.898,-0.274,2.232,1.334
01-16,-0.0148575,31.61959,0.0018686540171402033,-3.0,43.0,-0.624,-0.159,2.217,1.593
01-17,-0.016980000000000002,35.680640000000004,0.00044835842991242103,-3.0,43.0,-0.713,-0.201,2.077,1.364
01-18,-0.017950285714285717,37.626871428571434,0.00011753106431933169,-3.0,43.0,-0.754,-0.203,2.103,1.349
01-19,-0.021727096774193554,45.20879354838711,0.0004283856969100608,-3.0,43.0,-0.913,-0.237,2.211,1.298
01-20,-0.02134291666666667,44.46873333333334,0.001025429326149574,-3.0,43.0,-0.896,-0.244,2.231,1.335
01-21,-0.021224999999999994,44.17629999999998,0.0026460132383667734,-3.0,43.0,-0.891,-0.258,2.172,1.281
01-22,-0.017760689655172412,37.377859310344824,0.015109703513672912,-2.0,43.0,-0.745,-0.216,2.229,1.484
01-23,-0.01633681818181818,34.65463636363636,0.01010697402734273,-2.0,43.0,-0.686,-0.206,2.324,1.638
01-24,-0.015832702702702706,33.42000540540541,0.007997753697478682,-3.0,43.0,-0.665,-0.206,2.087,1.422
01-25,-0.011566086956521737,25.198073913043473,0.1628780496941924,-0.0,43.0,-0.486,-0.128,2.309,1.823
01-26,-0.013120909090909101,28.307718181818203,0.13949998429279864,-0.0,43.0,-0.551,-0.147,2.341,1.79
01-27,-0.016171428571428587,34.35215714285717,0.09153660061935054,-1.0,43.0,-0.679,-0.15,2.349,1.67
01-28,-0.01212857142857143,26.29474285714286,0.1553777495447426,-0.0,43.0,-0.509,-0.134,2.292,1.783
01-29,-0.014150000000000024,30.394200000000048,0.03682322041913899,-2.0,43.0,-0.594,-0.134,2.391,1.797
01-30,-0.016647058823529407,35.36001764705882,0.01018524293788925,-2.0,43.0,-0.699,-0.178,2.415,1.716
01-31,-0.015383589743589745,32.73402948717949,0.06643889895872923,-1.0,43.0,-0.646,-0.163,2.29,1.644
02-01,-0.015673846153846156,33.11927230769231,0.044825588225528845,-2.0,43.0,-0.659,-0.168,2.101,1.442
02-02,-0.0144478947368421,30.6503894736842,0.036891096029806114,-2.0,43.0,-0.607,-0.169,2.058,1.451
