,mean,slp,chg,pvalue
0,0.169,-0.001,-0.047,0.0
1,0.169,-0.001,-0.045,0.001
2,0.169,-0.001,-0.045,0.0
3,0.169,-0.001,-0.037,0.003
4,0.169,-0.001,-0.047,0.002
5,0.175,-0.001,-0.04,0.007
6,0.174,-0.001,-0.035,0.021
7,0.174,-0.001,-0.045,0.001
8,0.169,-0.001,-0.037,0.011
9,0.169,-0.001,-0.039,0.006
10,0.169,-0.001,-0.049,0.001
11,0.169,-0.001,-0.056,0.001
12,0.164,-0.001,-0.057,0.0
13,0.164,-0.002,-0.075,0.0
14,0.159,-0.002,-0.072,0.0
15,0.17,-0.002,-0.065,0.0
16,0.169,-0.002,-0.066,0.0
17,0.169,-0.002,-0.068,0.0
18,0.169,-0.001,-0.053,0.001
19,0.169,-0.001,-0.045,0.003
20,0.169,-0.001,-0.035,0.012
21,0.164,-0.001,-0.037,0.011
22,0.16,-0.001,-0.045,0.014
23,0.16,-0.001,-0.049,0.006
24,0.16,-0.001,-0.047,0.009
25,0.16,-0.001,-0.047,0.002
26,0.16,-0.001,-0.039,0.017
27,0.16,-0.001,-0.053,0.006
28,0.16,-0.001,-0.039,0.008
29,0.16,-0.001,-0.039,0.005
30,0.16,-0.001,-0.036,0.001
31,0.159,-0.001,-0.033,0.009
32,0.159,-0.001,-0.033,0.006
33,0.159,-0.001,-0.035,0.002
34,0.154,-0.001,-0.045,0.001
35,0.154,-0.001,-0.058,0.0
36,0.154,-0.001,-0.053,0.001
37,0.154,-0.001,-0.062,0.0
38,0.159,-0.002,-0.066,0.0
39,0.159,-0.002,-0.076,0.0
40,0.159,-0.002,-0.084,0.0
41,0.159,-0.002,-0.078,0.0
42,0.154,-0.002,-0.07,0.0
43,0.159,-0.002,-0.07,0.0
44,0.159,-0.002,-0.076,0.0
45,0.159,-0.002,-0.07,0.0
46,0.16,-0.002,-0.067,0.0
47,0.154,-0.002,-0.07,0.0
48,0.154,-0.002,-0.07,0.0
49,0.159,-0.002,-0.078,0.0
50,0.159,-0.002,-0.07,0.0
51,0.159,-0.002,-0.07,0.0
52,0.159,-0.002,-0.072,0.0
53,0.159,-0.002,-0.07,0.0
54,0.164,-0.002,-0.073,0.0
55,0.164,-0.002,-0.084,0.0
56,0.164,-0.002,-0.07,0.0
57,0.164,-0.002,-0.07,0.0
58,0.159,-0.002,-0.07,0.0
59,0.159,-0.002,-0.072,0.0
60,0.159,-0.002,-0.078,0.0
61,0.16,-0.002,-0.073,0.0
62,0.159,-0.002,-0.082,0.0
63,0.169,-0.002,-0.07,0.0
64,0.159,-0.001,-0.062,0.001
65,0.164,-0.002,-0.07,0.0
66,0.169,-0.002,-0.084,0.0
67,0.169,-0.002,-0.08,0.0
68,0.169,-0.002,-0.088,0.0
69,0.169,-0.001,-0.06,0.0
70,0.169,-0.001,-0.056,0.0
71,0.169,-0.002,-0.064,0.0
72,0.174,-0.001,-0.053,0.001
73,0.18,-0.001,-0.039,0.013
74,0.18,-0.001,-0.039,0.022
75,0.18,-0.001,-0.043,0.0
76,0.189,-0.001,-0.056,0.0
77,0.18,-0.001,-0.045,0.0
78,0.184,-0.001,-0.045,0.0
79,0.18,-0.001,-0.041,0.005
80,0.179,-0.001,-0.056,0.001
81,0.19,-0.001,-0.053,0.0
82,0.18,-0.002,-0.067,0.0
83,0.184,-0.002,-0.063,0.001
84,0.184,-0.002,-0.065,0.001
85,0.189,-0.002,-0.07,0.001
86,0.189,-0.001,-0.06,0.002
87,0.194,-0.002,-0.065,0.0
88,0.189,-0.001,-0.06,0.004
89,0.199,-0.002,-0.078,0.0
90,0.2,-0.002,-0.065,0.003
91,0.199,-0.002,-0.066,0.016
92,0.21,-0.001,-0.057,0.011
93,0.209,-0.001,-0.058,0.049
94,0.219,-0.001,-0.06,0.045
95,0.229,-0.002,-0.08,0.018
96,0.249,-0.002,-0.066,0.067
97,0.24,-0.001,-0.057,0.129
98,0.249,-0.001,-0.054,0.143
99,0.244,-0.002,-0.07,0.031
100,0.259,-0.002,-0.07,0.074
101,0.269,-0.002,-0.07,0.095
102,0.284,-0.001,-0.056,0.206
103,0.284,-0.003,-0.117,0.018
104,0.278,-0.003,-0.14,0.01
105,0.308,-0.004,-0.158,0.011
106,0.342,-0.005,-0.21,0.0
107,0.358,-0.005,-0.223,0.0
108,0.338,-0.004,-0.16,0.004
109,0.358,-0.003,-0.14,0.004
110,0.418,-0.003,-0.143,0.003
111,0.442,-0.005,-0.21,0.002
112,0.462,-0.006,-0.25,0.001
113,0.452,-0.006,-0.262,0.011
114,0.502,-0.007,-0.28,0.01
115,0.566,-0.007,-0.3,0.003
116,0.621,-0.008,-0.324,0.0
117,0.644,-0.011,-0.48,0.0
118,0.673,-0.014,-0.588,0.0
119,0.688,-0.014,-0.598,0.0
120,0.739,-0.012,-0.51,0.0
121,0.867,-0.015,-0.617,0.0
122,0.852,-0.017,-0.7,0.0
123,0.97,-0.02,-0.84,0.0
124,0.995,-0.019,-0.805,0.005
125,0.962,-0.017,-0.707,0.006
126,0.933,-0.013,-0.56,0.003
127,0.984,-0.012,-0.504,0.008
128,0.945,-0.009,-0.392,0.059
129,1.0,-0.01,-0.42,0.105
130,1.08,-0.01,-0.42,0.071
131,1.22,-0.008,-0.347,0.148
132,1.224,-0.01,-0.439,0.11
133,1.274,-0.011,-0.457,0.095
134,1.284,-0.013,-0.541,0.063
135,1.384,-0.013,-0.545,0.046
136,1.546,-0.018,-0.735,0.013
137,1.51,-0.021,-0.893,0.003
138,1.443,-0.025,-1.034,0.001
139,1.471,-0.028,-1.166,0.0
140,1.437,-0.035,-1.47,0.0
141,1.389,-0.043,-1.8,0.0
142,1.423,-0.043,-1.82,0.0
143,1.308,-0.043,-1.795,0.0
144,1.255,-0.041,-1.707,0.001
145,1.243,-0.044,-1.842,0.001
146,1.234,-0.041,-1.736,0.002
147,1.31,-0.04,-1.68,0.006
148,1.241,-0.039,-1.624,0.003
149,1.255,-0.039,-1.654,0.001
150,1.143,-0.034,-1.442,0.001
151,1.05,-0.031,-1.313,0.001
152,1.012,-0.027,-1.131,0.003
153,0.932,-0.027,-1.155,0.001
154,0.888,-0.025,-1.057,0.001
155,0.844,-0.023,-0.948,0.002
156,0.818,-0.024,-1.02,0.001
157,0.774,-0.023,-0.971,0.003
158,0.729,-0.022,-0.934,0.002
159,0.704,-0.021,-0.881,0.004
160,0.681,-0.019,-0.807,0.005
161,0.682,-0.016,-0.682,0.001
162,0.663,-0.015,-0.614,0.001
163,0.612,-0.015,-0.63,0.0
164,0.598,-0.014,-0.576,0.0
165,0.584,-0.013,-0.543,0.0
166,0.573,-0.014,-0.578,0.0
167,0.574,-0.013,-0.567,0.0
168,0.564,-0.013,-0.54,0.001
169,0.539,-0.012,-0.514,0.0
170,0.52,-0.011,-0.473,0.0
171,0.514,-0.011,-0.455,0.0
172,0.49,-0.01,-0.42,0.0
173,0.481,-0.009,-0.373,0.0
174,0.451,-0.008,-0.354,0.0
175,0.446,-0.008,-0.35,0.0
176,0.461,-0.008,-0.35,0.0
177,0.446,-0.008,-0.336,0.0
178,0.452,-0.007,-0.315,0.0
179,0.452,-0.008,-0.315,0.0
180,0.416,-0.007,-0.3,0.0
181,0.436,-0.007,-0.3,0.0
182,0.432,-0.007,-0.28,0.0
183,0.432,-0.007,-0.289,0.0
184,0.417,-0.007,-0.287,0.0
185,0.392,-0.007,-0.289,0.0
186,0.392,-0.006,-0.262,0.0
187,0.392,-0.006,-0.245,0.0
188,0.387,-0.006,-0.264,0.0
189,0.376,-0.006,-0.261,0.0
190,0.387,-0.006,-0.24,0.0
191,0.372,-0.006,-0.238,0.0
192,0.372,-0.006,-0.252,0.0
193,0.382,-0.006,-0.272,0.0
194,0.367,-0.006,-0.236,0.0
195,0.368,-0.006,-0.245,0.0
196,0.367,-0.006,-0.25,0.0
197,0.352,-0.006,-0.245,0.0
198,0.367,-0.006,-0.256,0.0
199,0.353,-0.005,-0.223,0.0
200,0.337,-0.006,-0.238,0.0
201,0.342,-0.005,-0.21,0.0
202,0.353,-0.005,-0.205,0.0
203,0.358,-0.005,-0.211,0.0
204,0.338,-0.004,-0.18,0.0
205,0.338,-0.005,-0.19,0.0
206,0.338,-0.005,-0.211,0.0
207,0.342,-0.007,-0.284,0.0
208,0.342,-0.005,-0.221,0.0
209,0.358,-0.005,-0.196,0.0
210,0.338,-0.005,-0.223,0.0
211,0.348,-0.005,-0.223,0.0
212,0.338,-0.005,-0.229,0.0
213,0.342,-0.006,-0.243,0.0
214,0.337,-0.006,-0.252,0.0
215,0.327,-0.005,-0.21,0.0
216,0.327,-0.005,-0.21,0.0
217,0.327,-0.005,-0.21,0.0
218,0.338,-0.005,-0.211,0.0
219,0.342,-0.005,-0.21,0.0
220,0.338,-0.005,-0.193,0.0
221,0.338,-0.005,-0.211,0.0
222,0.337,-0.005,-0.226,0.0
223,0.332,-0.005,-0.211,0.0
224,0.332,-0.005,-0.211,0.0
225,0.323,-0.005,-0.19,0.0
226,0.338,-0.005,-0.201,0.0
227,0.332,-0.005,-0.211,0.0
228,0.322,-0.005,-0.191,0.0
229,0.308,-0.004,-0.184,0.0
230,0.308,-0.005,-0.19,0.0
231,0.308,-0.004,-0.184,0.0
232,0.308,-0.004,-0.173,0.0
233,0.308,-0.005,-0.199,0.0
234,0.308,-0.004,-0.177,0.0
235,0.308,-0.004,-0.175,0.0
236,0.303,-0.004,-0.168,0.0
237,0.303,-0.004,-0.168,0.0
238,0.308,-0.004,-0.153,0.0
239,0.303,-0.003,-0.14,0.0
240,0.294,-0.003,-0.125,0.0
241,0.294,-0.003,-0.12,0.0
242,0.288,-0.003,-0.105,0.001
243,0.294,-0.003,-0.115,0.0
244,0.294,-0.003,-0.117,0.0
245,0.289,-0.003,-0.12,0.0
246,0.283,-0.004,-0.15,0.0
247,0.288,-0.004,-0.152,0.0
248,0.288,-0.004,-0.158,0.0
249,0.288,-0.004,-0.155,0.0
250,0.283,-0.004,-0.156,0.0
251,0.283,-0.004,-0.166,0.0
252,0.283,-0.004,-0.168,0.0
253,0.283,-0.003,-0.14,0.0
254,0.284,-0.003,-0.125,0.0
255,0.283,-0.003,-0.14,0.0
256,0.288,-0.003,-0.135,0.0
257,0.288,-0.003,-0.125,0.0
258,0.274,-0.003,-0.131,0.0
259,0.273,-0.003,-0.14,0.0
260,0.268,-0.003,-0.14,0.0
261,0.268,-0.003,-0.136,0.0
262,0.268,-0.003,-0.136,0.0
263,0.274,-0.003,-0.129,0.0
264,0.274,-0.003,-0.117,0.0
265,0.264,-0.003,-0.117,0.0
266,0.264,-0.003,-0.115,0.0
267,0.264,-0.003,-0.115,0.0
268,0.258,-0.003,-0.117,0.0
269,0.248,-0.003,-0.105,0.0
270,0.248,-0.002,-0.101,0.0
271,0.248,-0.003,-0.109,0.0
272,0.248,-0.003,-0.115,0.0
273,0.248,-0.003,-0.105,0.0
274,0.249,-0.003,-0.112,0.0
275,0.248,-0.002,-0.105,0.0
276,0.244,-0.003,-0.115,0.0
277,0.244,-0.003,-0.115,0.0
278,0.254,-0.003,-0.112,0.0
279,0.244,-0.003,-0.105,0.0
280,0.244,-0.003,-0.112,0.0
281,0.248,-0.003,-0.115,0.0
282,0.249,-0.003,-0.108,0.0
283,0.248,-0.002,-0.105,0.0
284,0.248,-0.003,-0.125,0.0
285,0.248,-0.003,-0.115,0.0
286,0.248,-0.003,-0.105,0.0
287,0.244,-0.002,-0.105,0.0
288,0.244,-0.002,-0.097,0.0
289,0.244,-0.002,-0.105,0.0
290,0.244,-0.003,-0.108,0.0
291,0.248,-0.002,-0.105,0.0
292,0.238,-0.003,-0.105,0.0
293,0.248,-0.002,-0.105,0.0
294,0.244,-0.003,-0.108,0.0
295,0.234,-0.002,-0.1,0.0
296,0.233,-0.002,-0.101,0.0
297,0.239,-0.002,-0.094,0.0
298,0.234,-0.002,-0.1,0.0
299,0.239,-0.002,-0.094,0.0
300,0.239,-0.002,-0.1,0.0
301,0.233,-0.002,-0.105,0.0
302,0.238,-0.002,-0.101,0.0
303,0.228,-0.003,-0.105,0.0
304,0.228,-0.003,-0.105,0.0
305,0.228,-0.003,-0.105,0.0
306,0.224,-0.002,-0.09,0.0
307,0.219,-0.002,-0.09,0.0
308,0.219,-0.002,-0.097,0.0
309,0.219,-0.002,-0.097,0.0
310,0.229,-0.002,-0.088,0.0
311,0.219,-0.002,-0.074,0.0
312,0.209,-0.002,-0.076,0.0
313,0.21,-0.002,-0.075,0.0
314,0.204,-0.002,-0.076,0.0
315,0.204,-0.002,-0.07,0.0
316,0.209,-0.002,-0.068,0.0
317,0.214,-0.001,-0.043,0.003
318,0.2,-0.0,-0.02,0.13
319,0.21,-0.001,-0.035,0.019
320,0.2,-0.001,-0.026,0.026
321,0.2,-0.001,-0.055,0.0
322,0.2,-0.001,-0.039,0.019
323,0.2,-0.001,-0.041,0.019
324,0.2,-0.001,-0.033,0.012
325,0.2,-0.001,-0.039,0.003
326,0.2,-0.001,-0.041,0.002
327,0.2,-0.001,-0.035,0.002
328,0.19,-0.001,-0.033,0.007
329,0.19,-0.001,-0.03,0.003
330,0.2,-0.001,-0.045,0.002
331,0.199,-0.001,-0.048,0.003
332,0.189,-0.001,-0.058,0.001
333,0.189,-0.002,-0.072,0.0
334,0.19,-0.002,-0.073,0.0
335,0.189,-0.002,-0.07,0.0
336,0.184,-0.001,-0.057,0.0
337,0.184,-0.002,-0.07,0.0
338,0.184,-0.001,-0.053,0.0
339,0.18,-0.001,-0.043,0.005
340,0.195,-0.001,-0.042,0.006
341,0.2,-0.001,-0.041,0.003
342,0.179,-0.001,-0.06,0.001
343,0.175,-0.001,-0.042,0.021
344,0.18,-0.001,-0.049,0.008
345,0.18,-0.001,-0.041,0.024
346,0.184,-0.001,-0.023,0.153
347,0.18,-0.001,-0.021,0.249
348,0.18,-0.001,-0.033,0.026
349,0.18,-0.001,-0.028,0.022
350,0.18,-0.001,-0.025,0.033
351,0.18,-0.001,-0.037,0.018
352,0.179,-0.001,-0.06,0.0
353,0.179,-0.001,-0.06,0.001
354,0.179,-0.001,-0.058,0.0
355,0.174,-0.001,-0.053,0.003
356,0.169,-0.001,-0.047,0.008
357,0.169,-0.001,-0.045,0.017
358,0.169,-0.001,-0.023,0.111
359,0.159,-0.001,-0.033,0.022
360,0.169,-0.001,-0.033,0.034
361,0.169,-0.001,-0.039,0.005
362,0.169,-0.001,-0.041,0.002
363,0.17,-0.001,-0.03,0.026
364,0.169,-0.001,-0.047,0.0
