,mean,slp,chg,pvalue
0,2.996,-0.003,-0.133,0.559
1,2.821,-0.009,-0.378,0.416
2,2.98,-0.019,-0.805,0.13
3,3.12,-0.019,-0.809,0.064
4,3.234,-0.016,-0.676,0.035
5,3.024,-0.006,-0.252,0.348
6,2.884,-0.006,-0.266,0.488
7,2.878,-0.011,-0.463,0.175
8,2.884,-0.006,-0.254,0.401
9,2.89,0.0,0.0,0.957
10,2.912,0.001,0.053,0.896
11,2.865,0.005,0.22,0.416
12,2.72,0.001,0.027,0.879
13,2.834,0.004,0.166,0.456
14,2.87,0.01,0.42,0.409
15,2.7,0.01,0.401,0.38
16,2.763,0.013,0.546,0.241
17,3.082,0.002,0.065,0.894
18,3.162,-0.008,-0.342,0.322
19,3.16,-0.01,-0.428,0.202
20,3.09,-0.02,-0.84,0.193
21,3.232,-0.018,-0.741,0.07
22,3.444,-0.005,-0.217,0.709
23,3.628,0.008,0.327,0.588
24,3.479,-0.001,-0.057,0.95
25,3.224,-0.005,-0.227,0.716
26,2.91,0.0,0.006,0.979
27,2.806,0.006,0.246,0.552
28,2.786,0.006,0.258,0.588
29,2.742,0.002,0.072,0.84
30,2.66,0.0,0.0,1.0
31,3.074,-0.005,-0.227,0.507
32,3.459,-0.021,-0.882,0.065
33,3.512,-0.028,-1.195,0.016
34,3.321,-0.019,-0.806,0.004
35,3.395,-0.005,-0.214,0.442
36,3.095,-0.015,-0.63,0.245
37,3.367,-0.003,-0.107,0.824
38,3.113,0.003,0.122,0.749
39,3.141,0.001,0.046,0.781
40,3.056,-0.004,-0.18,0.542
41,3.05,-0.01,-0.441,0.319
42,3.125,-0.015,-0.64,0.081
43,2.968,-0.002,-0.097,0.722
44,3.417,-0.003,-0.13,0.842
45,3.306,-0.004,-0.176,0.727
46,3.394,-0.006,-0.242,0.466
47,3.209,-0.021,-0.878,0.005
48,3.206,-0.024,-0.996,0.001
49,3.093,-0.017,-0.695,0.02
50,3.09,-0.02,-0.851,0.04
51,3.288,-0.023,-0.947,0.075
52,3.182,-0.019,-0.787,0.015
53,3.056,-0.024,-1.023,0.035
54,3.165,-0.035,-1.47,0.006
55,3.112,-0.028,-1.184,0.018
56,3.118,-0.023,-0.963,0.037
57,3.052,-0.029,-1.215,0.01
58,3.198,-0.031,-1.317,0.001
59,3.64,-0.01,-0.422,0.387
60,3.438,-0.013,-0.533,0.071
61,3.382,-0.018,-0.75,0.167
62,3.038,-0.022,-0.93,0.112
63,3.52,-0.02,-0.84,0.217
64,3.736,-0.023,-0.977,0.051
65,3.723,-0.037,-1.538,0.008
66,3.814,-0.036,-1.501,0.003
67,3.678,-0.032,-1.34,0.002
68,3.456,-0.024,-0.987,0.015
69,3.376,-0.023,-0.983,0.038
70,3.359,-0.011,-0.445,0.336
71,3.324,-0.017,-0.703,0.087
72,3.665,-0.015,-0.622,0.058
73,3.576,-0.014,-0.593,0.124
74,3.65,0.0,0.0,1.0
75,3.642,-0.008,-0.34,0.404
76,3.653,-0.027,-1.128,0.131
77,3.839,-0.041,-1.738,0.01
78,3.868,-0.012,-0.507,0.187
79,3.847,-0.033,-1.386,0.063
80,3.56,-0.03,-1.277,0.006
81,3.589,-0.031,-1.31,0.002
82,3.562,-0.028,-1.172,0.02
83,3.721,-0.019,-0.815,0.013
84,3.786,-0.034,-1.434,0.003
85,3.542,-0.027,-1.153,0.1
86,3.554,-0.016,-0.662,0.213
87,3.572,-0.017,-0.731,0.325
88,3.986,-0.034,-1.416,0.1
89,4.027,-0.023,-0.962,0.216
90,3.468,-0.011,-0.473,0.414
91,3.125,-0.014,-0.607,0.205
92,3.29,-0.02,-0.84,0.185
93,3.646,-0.034,-1.415,0.011
94,3.597,-0.022,-0.941,0.019
95,3.428,-0.022,-0.928,0.002
96,3.472,-0.008,-0.33,0.27
97,3.352,-0.018,-0.763,0.066
98,3.55,-0.02,-0.833,0.171
99,3.202,-0.027,-1.151,0.031
100,3.398,-0.022,-0.915,0.013
101,3.662,-0.018,-0.752,0.022
102,3.362,-0.038,-1.609,0.008
103,3.537,-0.033,-1.365,0.047
104,3.414,-0.037,-1.537,0.106
105,3.884,-0.026,-1.085,0.21
106,3.54,-0.03,-1.244,0.032
107,3.584,-0.036,-1.529,0.001
108,3.746,-0.014,-0.57,0.044
109,3.636,-0.014,-0.582,0.4
110,3.744,-0.017,-0.709,0.224
111,3.556,-0.015,-0.613,0.26
112,3.534,-0.006,-0.235,0.746
113,3.684,0.003,0.135,0.949
114,3.682,0.002,0.065,0.964
115,3.66,-0.02,-0.84,0.484
116,3.543,-0.027,-1.136,0.456
117,3.663,-0.017,-0.72,0.625
118,3.566,-0.024,-0.998,0.019
119,3.673,-0.036,-1.523,0.022
120,3.857,-0.023,-0.97,0.098
121,3.651,-0.029,-1.234,0.035
122,3.383,-0.037,-1.554,0.014
123,3.37,-0.029,-1.233,0.026
124,3.26,-0.021,-0.867,0.458
125,3.266,-0.013,-0.563,0.43
126,3.394,-0.006,-0.26,0.627
127,3.268,-0.012,-0.498,0.257
128,3.625,0.004,0.187,0.76
129,3.561,-0.009,-0.388,0.495
130,3.216,-0.014,-0.59,0.235
131,3.423,0.003,0.128,0.882
132,2.879,-0.011,-0.454,0.469
133,3.296,-0.014,-0.59,0.04
134,3.335,-0.005,-0.22,0.678
135,3.784,-0.007,-0.285,0.496
136,3.766,0.006,0.237,0.64
137,3.66,0.01,0.431,0.434
138,3.66,0.011,0.455,0.36
139,3.445,-0.005,-0.198,0.605
140,3.244,-0.006,-0.269,0.531
141,3.287,0.007,0.29,0.677
142,3.439,-0.011,-0.475,0.51
143,3.349,-0.021,-0.894,0.195
144,3.354,-0.016,-0.668,0.291
145,3.188,-0.012,-0.506,0.148
146,3.434,-0.016,-0.672,0.077
147,3.27,-0.04,-1.693,0.0
148,2.908,-0.032,-1.358,0.014
149,2.914,-0.026,-1.088,0.045
150,2.806,-0.023,-0.981,0.071
151,2.778,-0.022,-0.909,0.033
152,2.853,-0.007,-0.288,0.556
153,3.048,-0.012,-0.486,0.064
154,3.166,-0.034,-1.409,0.001
155,2.941,-0.029,-1.228,0.001
156,2.918,-0.022,-0.915,0.037
157,2.809,-0.021,-0.866,0.0
158,3.198,-0.002,-0.097,0.947
159,3.173,0.003,0.138,0.678
160,3.05,-0.01,-0.422,0.277
161,2.901,-0.009,-0.392,0.174
162,2.864,0.003,0.147,0.774
163,2.83,0.001,0.027,0.967
164,2.657,-0.003,-0.144,0.504
165,2.761,-0.009,-0.376,0.142
166,3.106,-0.003,-0.131,0.541
167,3.101,-0.009,-0.369,0.327
168,2.628,-0.002,-0.074,0.667
169,2.75,-0.02,-0.828,0.036
170,2.67,-0.02,-0.855,0.001
171,2.7,-0.021,-0.865,0.0
172,2.7,-0.02,-0.861,0.041
173,2.848,-0.012,-0.521,0.063
174,2.68,-0.01,-0.42,0.142
175,2.607,-0.023,-0.97,0.006
176,2.556,-0.024,-1.025,0.0
177,2.608,-0.012,-0.498,0.106
178,2.618,-0.012,-0.487,0.013
179,2.526,-0.024,-1.015,0.0
180,2.384,-0.026,-1.082,0.0
181,2.486,-0.034,-1.43,0.0
182,2.528,-0.023,-0.949,0.0
183,2.478,-0.012,-0.517,0.048
184,2.586,-0.013,-0.555,0.024
185,2.406,-0.023,-0.971,0.004
186,2.594,-0.005,-0.227,0.38
187,2.514,-0.007,-0.287,0.192
188,2.37,-0.009,-0.383,0.01
189,2.306,-0.013,-0.555,0.001
190,2.196,-0.014,-0.598,0.001
191,2.165,-0.016,-0.651,0.0
192,2.272,-0.018,-0.766,0.016
193,2.333,-0.017,-0.704,0.039
194,2.252,-0.007,-0.309,0.287
195,2.229,-0.011,-0.458,0.127
196,2.108,-0.013,-0.529,0.166
197,2.206,-0.014,-0.567,0.045
198,2.122,-0.028,-1.163,0.01
199,1.994,-0.015,-0.639,0.004
200,1.935,-0.015,-0.636,0.034
201,1.932,-0.018,-0.754,0.023
202,1.998,-0.022,-0.912,0.027
203,2.148,-0.023,-0.953,0.008
204,2.055,-0.015,-0.62,0.012
205,2.222,-0.018,-0.767,0.011
206,2.153,-0.027,-1.146,0.006
207,2.205,-0.035,-1.47,0.0
208,2.206,-0.034,-1.414,0.0
209,2.129,-0.021,-0.884,0.001
210,1.962,-0.017,-0.735,0.003
211,2.034,-0.007,-0.289,0.221
212,1.974,-0.006,-0.263,0.173
213,1.938,-0.003,-0.113,0.704
214,1.884,-0.006,-0.267,0.568
215,1.892,-0.008,-0.328,0.472
216,1.805,-0.005,-0.206,0.608
217,1.839,-0.001,-0.038,0.953
218,1.973,-0.007,-0.294,0.019
219,1.946,-0.014,-0.584,0.0
220,1.834,-0.016,-0.689,0.001
221,1.801,-0.009,-0.364,0.317
222,1.95,0.001,0.035,0.979
223,2.262,0.001,0.045,0.787
224,2.02,0.0,0.0,1.0
225,1.982,0.002,0.087,0.692
226,1.871,0.001,0.04,0.863
227,1.82,-0.001,-0.025,1.0
228,1.911,-0.009,-0.378,0.341
229,1.897,-0.003,-0.13,0.736
230,1.952,0.002,0.065,0.867
231,2.158,-0.002,-0.063,0.89
232,2.083,-0.007,-0.296,0.41
233,1.918,-0.011,-0.471,0.131
234,1.898,-0.012,-0.512,0.068
235,1.91,-0.009,-0.387,0.106
236,1.887,-0.013,-0.542,0.011
237,1.74,-0.01,-0.42,0.021
238,1.811,-0.01,-0.401,0.01
239,1.872,-0.008,-0.341,0.061
240,1.803,-0.017,-0.7,0.006
241,1.6,-0.009,-0.395,0.02
242,1.632,-0.007,-0.309,0.094
243,1.778,-0.002,-0.078,0.704
244,1.824,-0.006,-0.258,0.109
245,1.808,-0.011,-0.481,0.024
246,1.747,-0.033,-1.4,0.0
247,1.829,-0.031,-1.286,0.0
248,1.883,-0.017,-0.726,0.029
249,1.764,-0.016,-0.668,0.046
250,1.761,-0.019,-0.782,0.002
251,1.74,-0.011,-0.451,0.002
252,1.715,-0.015,-0.616,0.022
253,1.618,-0.012,-0.494,0.058
254,1.574,-0.005,-0.229,0.25
255,1.508,-0.002,-0.076,0.612
256,1.636,-0.005,-0.191,0.476
257,1.634,-0.006,-0.243,0.142
258,1.694,-0.006,-0.262,0.102
259,1.72,-0.01,-0.42,0.219
260,1.661,-0.009,-0.366,0.2
261,1.665,-0.005,-0.214,0.379
262,1.575,-0.005,-0.21,0.128
263,1.523,-0.007,-0.28,0.088
264,1.552,-0.008,-0.34,0.25
265,1.468,-0.002,-0.09,0.506
266,1.536,-0.004,-0.154,0.494
267,1.573,-0.007,-0.294,0.261
268,1.696,-0.004,-0.178,0.414
269,1.846,0.016,0.684,0.022
270,1.745,0.015,0.642,0.002
271,1.641,0.011,0.46,0.085
272,1.538,0.008,0.322,0.179
273,1.697,-0.003,-0.118,0.561
274,1.697,-0.003,-0.138,0.615
275,1.726,-0.004,-0.176,0.381
276,1.724,-0.007,-0.275,0.194
277,1.662,-0.008,-0.315,0.12
278,1.672,-0.009,-0.363,0.087
279,1.702,0.002,0.088,0.732
280,1.706,0.006,0.246,0.296
281,1.735,0.004,0.179,0.254
282,1.67,0.0,0.0,1.0
283,1.668,-0.003,-0.107,0.678
284,1.702,0.002,0.078,0.828
285,1.747,-0.003,-0.142,0.53
286,1.947,-0.003,-0.13,0.443
287,1.803,0.003,0.142,0.316
288,1.739,0.009,0.366,0.023
289,1.666,0.006,0.267,0.042
290,1.614,0.003,0.143,0.34
291,1.61,0.0,0.0,0.915
292,1.756,0.006,0.273,0.181
293,1.772,-0.008,-0.355,0.23
294,1.831,-0.009,-0.366,0.264
295,1.776,-0.005,-0.193,0.685
296,1.721,-0.009,-0.388,0.311
297,1.883,-0.017,-0.718,0.004
298,1.901,-0.019,-0.804,0.0
299,1.944,-0.006,-0.265,0.428
300,1.974,0.004,0.168,0.742
301,1.918,-0.002,-0.063,0.739
302,1.866,-0.004,-0.185,0.303
303,1.865,-0.005,-0.206,0.491
304,1.837,-0.003,-0.11,0.645
305,1.967,-0.003,-0.12,0.754
306,1.838,-0.003,-0.119,0.639
307,1.85,-0.009,-0.397,0.391
308,1.848,-0.021,-0.899,0.012
309,1.89,-0.02,-0.848,0.0
310,1.817,-0.013,-0.562,0.002
311,1.8,-0.01,-0.413,0.038
312,1.823,-0.007,-0.29,0.048
313,1.829,-0.021,-0.876,0.001
314,1.905,-0.015,-0.622,0.0
315,1.86,-0.009,-0.399,0.048
316,1.863,-0.007,-0.292,0.018
317,1.812,-0.007,-0.311,0.036
318,1.818,-0.012,-0.519,0.114
319,1.93,-0.01,-0.405,0.283
320,2.234,-0.006,-0.235,0.404
321,2.118,-0.012,-0.513,0.087
322,1.912,-0.008,-0.351,0.215
323,1.82,-0.01,-0.437,0.093
324,1.962,-0.018,-0.745,0.047
