,mean,slp,chg,pvalue
0,3.976,0.008,0.345,0.015
1,3.97,0.005,0.218,0.085
2,3.797,0.003,0.14,0.113
3,3.77,0.005,0.197,0.097
4,3.798,0.004,0.161,0.165
5,3.853,0.002,0.064,0.42
6,3.743,0.002,0.066,0.306
7,3.74,0.0,0.0,0.915
8,3.76,0.0,0.0,0.582
9,3.79,0.0,0.0,0.819
10,3.82,0.0,0.0,0.717
11,3.79,0.0,0.0,0.918
12,3.79,0.0,0.0,0.928
13,3.68,0.0,0.0,0.451
14,3.68,0.0,0.0,0.359
15,3.702,-0.004,-0.159,0.062
16,3.676,-0.002,-0.075,0.171
17,3.706,-0.002,-0.063,0.336
18,3.68,0.0,0.0,0.84
19,3.678,-0.001,-0.04,0.305
20,3.676,-0.002,-0.079,0.182
21,3.752,-0.004,-0.171,0.072
22,3.71,0.0,0.0,0.382
23,3.68,0.0,0.0,0.821
24,3.71,0.0,0.0,0.539
25,3.68,0.0,0.0,0.677
26,3.68,0.0,0.0,0.36
27,3.68,0.0,0.0,0.635
28,3.71,0.0,0.0,0.681
29,3.71,0.0,0.0,0.74
30,3.74,0.0,0.0,0.565
31,3.76,0.0,0.0,0.355
32,3.68,0.0,0.0,0.244
33,3.68,0.0,0.0,0.575
34,3.68,0.0,0.0,0.142
35,3.676,-0.002,-0.079,0.116
36,3.68,0.0,0.0,0.442
37,3.68,0.0,0.0,0.411
38,3.68,0.0,0.0,0.316
39,3.673,-0.003,-0.135,0.162
40,3.676,-0.002,-0.073,0.164
41,3.671,-0.004,-0.18,0.035
42,3.678,-0.001,-0.047,0.212
43,3.672,-0.004,-0.165,0.024
44,3.67,-0.005,-0.201,0.028
45,3.671,-0.005,-0.194,0.08
46,3.672,-0.004,-0.171,0.119
47,3.676,-0.002,-0.063,0.119
48,3.672,-0.004,-0.168,0.007
49,3.673,-0.003,-0.14,0.01
50,3.672,-0.004,-0.164,0.024
51,3.732,-0.004,-0.149,0.046
52,3.673,-0.004,-0.151,0.024
53,3.672,-0.005,-0.189,0.028
54,3.778,-0.005,-0.231,0.038
55,3.78,-0.005,-0.218,0.041
56,3.669,-0.006,-0.238,0.044
57,3.807,-0.007,-0.28,0.005
58,3.804,-0.008,-0.333,0.003
59,3.774,-0.008,-0.325,0.014
60,3.808,-0.006,-0.267,0.014
61,3.671,-0.004,-0.18,0.005
62,3.7,-0.005,-0.231,0.046
63,3.698,-0.006,-0.252,0.057
64,3.729,-0.006,-0.238,0.031
65,3.732,-0.004,-0.157,0.01
66,3.732,-0.004,-0.157,0.022
67,3.74,0.0,0.0,0.65
68,3.794,0.002,0.079,0.375
69,3.794,0.002,0.084,0.195
70,3.971,0.006,0.24,0.027
71,4.04,0.01,0.42,0.005
72,4.011,0.011,0.446,0.023
73,4.034,0.007,0.315,0.036
74,4.014,0.012,0.521,0.045
75,4.072,0.011,0.475,0.022
76,4.11,0.015,0.63,0.049
77,4.24,0.01,0.42,0.157
78,4.209,0.01,0.4,0.094
79,4.345,0.008,0.321,0.257
80,4.456,0.008,0.321,0.144
81,4.564,0.002,0.084,0.422
82,4.48,0.005,0.191,0.447
83,4.674,0.002,0.093,0.726
84,4.708,0.004,0.168,0.49
85,4.61,0.0,0.0,0.906
86,4.847,0.003,0.14,0.5
87,4.996,0.008,0.333,0.165
88,5.102,0.006,0.257,0.434
89,5.276,0.008,0.34,0.392
90,5.254,0.007,0.3,0.271
91,5.592,0.006,0.263,0.332
92,5.636,0.003,0.118,0.862
93,5.724,-0.008,-0.343,0.468
94,5.676,-0.022,-0.924,0.012
95,5.96,-0.035,-1.47,0.0
96,6.009,-0.035,-1.484,0.001
97,6.682,-0.039,-1.629,0.001
98,6.46,-0.04,-1.68,0.004
99,6.499,-0.035,-1.483,0.001
100,6.804,-0.038,-1.605,0.007
101,6.599,-0.041,-1.702,0.002
102,6.426,-0.042,-1.753,0.004
103,6.604,-0.053,-2.209,0.002
104,6.817,-0.056,-2.37,0.0
105,6.744,-0.053,-2.231,0.0
106,6.784,-0.063,-2.642,0.0
107,6.854,-0.053,-2.228,0.0
108,6.924,-0.047,-1.995,0.0
109,7.033,-0.049,-2.04,0.002
110,6.846,-0.042,-1.753,0.003
111,6.718,-0.021,-0.878,0.013
112,6.748,-0.006,-0.261,0.8
113,6.79,0.0,0.0,0.97
114,6.773,0.007,0.28,0.417
115,6.768,0.004,0.157,0.868
116,7.306,0.003,0.126,0.693
117,7.66,0.01,0.42,0.397
118,7.537,0.018,0.77,0.249
119,7.392,0.016,0.683,0.395
120,7.339,0.019,0.814,0.23
121,7.056,0.033,1.395,0.064
122,6.717,0.033,1.4,0.036
123,6.432,0.031,1.302,0.025
124,6.22,0.025,1.063,0.02
125,6.524,0.022,0.921,0.05
126,6.384,0.022,0.907,0.033
127,6.138,0.014,0.571,0.214
128,6.35,0.005,0.21,0.596
129,6.019,-0.006,-0.24,0.849
130,5.877,-0.007,-0.274,0.518
131,6.033,-0.013,-0.56,0.232
132,6.01,-0.01,-0.42,0.426
133,6.183,-0.009,-0.364,0.767
134,6.126,-0.007,-0.285,0.651
135,5.97,0.0,0.0,1.0
136,5.786,-0.007,-0.302,0.682
137,5.662,0.001,0.033,0.914
138,5.645,-0.007,-0.308,0.559
139,5.391,-0.009,-0.392,0.585
140,5.407,-0.011,-0.48,0.634
141,5.24,-0.01,-0.42,0.537
142,5.17,-0.005,-0.21,0.833
143,5.494,0.017,0.703,0.262
144,5.574,0.027,1.143,0.09
145,5.637,0.028,1.19,0.108
146,5.463,0.056,2.37,0.028
147,5.548,0.044,1.843,0.03
148,5.642,0.031,1.295,0.074
149,5.674,0.037,1.552,0.025
150,5.478,0.024,1.008,0.063
151,5.272,0.016,0.672,0.144
152,5.11,0.01,0.42,0.356
153,4.949,0.014,0.6,0.258
154,4.863,0.026,1.112,0.132
155,4.902,0.031,1.302,0.096
156,5.15,0.03,1.26,0.018
157,5.02,0.02,0.84,0.14
158,4.865,0.013,0.526,0.225
159,4.841,0.015,0.644,0.178
160,4.813,0.016,0.69,0.395
161,4.961,0.006,0.238,0.701
162,4.79,0.005,0.201,0.672
163,4.866,0.013,0.544,0.437
164,5.018,0.004,0.157,0.664
165,4.919,0.024,1.024,0.118
166,4.814,0.017,0.714,0.053
167,4.868,0.014,0.577,0.208
168,4.89,0.01,0.42,0.306
169,4.829,0.01,0.405,0.278
170,4.752,0.011,0.473,0.288
171,4.665,0.012,0.518,0.339
172,4.641,0.015,0.65,0.169
173,4.743,0.022,0.91,0.001
174,4.744,0.022,0.924,0.0
175,4.617,0.018,0.77,0.037
176,4.663,0.011,0.476,0.092
177,4.481,0.006,0.238,0.461
178,4.623,0.006,0.271,0.385
179,4.456,0.008,0.325,0.237
180,4.594,0.018,0.735,0.192
181,4.465,0.012,0.52,0.297
182,4.538,0.004,0.177,0.67
183,4.483,-0.008,-0.356,0.466
184,4.426,-0.007,-0.309,0.425
185,4.39,-0.01,-0.42,0.313
186,4.368,-0.011,-0.467,0.264
187,4.316,-0.008,-0.315,0.301
188,4.469,-0.001,-0.033,0.831
189,4.506,0.003,0.129,0.762
